Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,015590,1941,null,null,null,null,null,null,null,null,null,null,17.7,20.2,null
IDCJAC0004,015590,1942,21.4,19.8,18.7,11.8,11.7,7.8,2.9,8.5,11.7,15.0,16.2,20.8,13.9
IDCJAC0004,015590,1943,21.1,21.2,20.1,15.3,6.1,3.0,6.1,6.0,9.3,15.1,15.1,18.0,13.0
IDCJAC0004,015590,1944,20.8,18.5,15.7,10.7,5.9,2.8,1.7,4.6,11.0,13.6,17.8,21.4,12.0
IDCJAC0004,015590,1945,20.5,19.9,16.1,10.4,8.3,7.3,3.8,9.9,10.6,12.8,14.8,19.2,12.8
IDCJAC0004,015590,1946,22.2,20.6,14.4,8.4,9.3,3.5,4.9,5.4,8.7,10.8,19.5,20.5,12.4
IDCJAC0004,015590,1947,23.7,22.2,19.6,11.1,6.6,5.6,6.5,6.7,10.2,15.2,17.3,19.6,13.7
IDCJAC0004,015590,1948,17.0,21.5,14.6,11.4,5.8,1.8,4.6,5.3,7.9,14.3,18.0,21.8,12.0
IDCJAC0004,015590,1949,19.6,20.0,15.9,8.9,8.6,1.7,2.8,4.8,8.4,16.8,18.9,21.4,12.3
IDCJAC0004,015590,1950,21.5,20.0,16.1,11.0,11.4,6.8,3.6,4.0,10.7,14.7,18.6,20.6,13.2
IDCJAC0004,015590,1951,20.3,21.2,19.3,12.0,6.1,7.8,3.6,3.7,10.2,13.2,17.7,18.8,12.8
IDCJAC0004,015590,1952,20.8,19.1,16.0,13.0,9.5,4.2,4.2,5.3,9.3,14.4,17.9,20.7,12.9
IDCJAC0004,015590,1953,20.0,17.3,18.3,15.5,7.6,5.6,2.9,5.2,7.8,14.9,18.7,21.4,12.9
IDCJAC0004,015590,1954,20.0,16.2,16.7,14.9,8.5,5.1,4.5,6.5,7.8,15.9,17.3,20.4,12.8
IDCJAC0004,015590,1955,21.4,22.3,17.9,13.6,8.8,9.0,5.3,10.8,12.3,16.8,16.8,18.5,14.5
IDCJAC0004,015590,1956,19.3,22.7,16.1,14.0,9.5,5.5,6.5,3.8,7.6,14.0,17.0,20.2,13.0
IDCJAC0004,015590,1957,22.8,21.0,18.4,16.2,7.7,9.7,3.0,6.6,9.2,16.2,17.6,20.4,14.1
IDCJAC0004,015590,1958,20.7,19.3,19.1,13.5,12.9,4.8,7.3,8.1,8.3,15.9,19.2,19.9,14.1
IDCJAC0004,015590,1959,22.1,21.2,18.6,13.7,8.5,5.2,5.5,6.9,10.9,17.2,19.6,19.5,14.1
IDCJAC0004,015590,1960,22.9,23.2,16.6,13.4,7.2,5.0,6.6,3.6,11.8,14.5,16.4,21.3,13.5
IDCJAC0004,015590,1961,21.7,21.5,17.0,17.9,7.7,5.5,2.3,4.7,11.7,15.5,18.7,19.9,13.7
IDCJAC0004,015590,1962,23.3,22.6,17.8,11.7,7.2,7.2,5.8,6.2,9.5,16.8,18.6,21.0,14.0
IDCJAC0004,015590,1963,22.6,22.0,19.2,13.6,10.7,7.5,5.2,6.9,10.4,14.5,18.1,21.4,14.3
IDCJAC0004,015590,1964,21.7,20.0,17.3,14.6,8.5,6.7,6.3,7.1,12.5,15.1,18.8,19.5,14.0
IDCJAC0004,015590,1965,20.5,20.6,19.5,11.8,9.8,5.8,3.1,8.3,12.9,16.4,19.7,22.2,14.2
IDCJAC0004,015590,1966,21.9,20.9,17.8,14.2,6.7,7.9,4.7,4.9,9.9,12.6,17.8,18.2,13.1
IDCJAC0004,015590,1967,22.8,20.5,15.5,11.7,9.0,4.1,1.2,5.1,9.0,17.2,17.4,20.3,12.8
IDCJAC0004,015590,1968,22.0,23.2,20.2,15.2,9.4,9.3,4.1,5.8,10.2,13.9,17.6,17.7,14.1
IDCJAC0004,015590,1969,22.8,21.4,18.0,11.3,8.8,4.0,5.2,4.6,7.9,15.4,16.1,20.9,13.0
IDCJAC0004,015590,1970,21.3,21.0,16.9,12.5,10.0,6.5,1.5,5.2,9.8,15.3,17.9,19.8,13.1
IDCJAC0004,015590,1971,23.2,21.1,20.8,13.2,8.6,3.6,3.0,8.9,13.1,17.6,19.3,21.3,14.5
IDCJAC0004,015590,1972,21.0,20.5,16.9,11.4,6.9,5.1,2.9,9.4,9.7,15.1,17.7,20.3,13.1
IDCJAC0004,015590,1973,24.1,20.8,19.0,16.3,11.5,9.0,9.1,9.2,9.5,14.1,18.4,21.1,15.2
IDCJAC0004,015590,1974,22.3,19.8,17.3,14.0,9.2,3.1,5.9,7.4,10.5,13.9,14.9,17.0,12.9
IDCJAC0004,015590,1975,16.8,19.1,14.8,9.6,4.9,1.8,7.4,4.5,10.8,11.9,16.3,18.6,11.4
IDCJAC0004,015590,1976,16.9,18.8,14.9,8.7,1.4,-0.1,0.5,1.7,7.2,12.8,15.2,18.7,9.7
IDCJAC0004,015590,1977,19.3,20.7,15.0,8.6,7.5,0.9,-1.0,4.4,8.0,13.9,17.6,19.1,11.2
IDCJAC0004,015590,1978,20.4,19.7,16.3,8.3,9.7,5.8,3.7,5.1,7.0,11.6,15.0,17.3,11.7
IDCJAC0004,015590,1979,20.9,19.3,17.2,14.0,8.9,5.2,1.4,7.2,10.6,12.1,18.9,20.4,13.0
IDCJAC0004,015590,1980,21.3,21.3,17.4,14.5,9.3,6.7,4.3,5.7,10.2,16.8,19.7,19.8,13.9
IDCJAC0004,015590,1981,22.2,21.2,15.8,13.1,8.0,7.3,4.9,8.8,10.6,12.9,18.8,20.5,13.7
IDCJAC0004,015590,1982,22.7,20.5,17.2,9.9,5.4,1.5,1.4,4.6,9.1,10.9,16.2,21.0,11.7
IDCJAC0004,015590,1983,18.5,23.3,20.2,12.4,6.4,2.2,0.6,5.8,11.0,13.6,18.9,19.0,12.7
IDCJAC0004,015590,1984,19.6,18.7,15.7,12.0,8.1,1.7,2.3,5.4,8.4,13.8,16.8,21.0,12.0
IDCJAC0004,015590,1985,20.3,21.2,18.1,11.6,6.7,2.9,2.7,7.5,7.8,15.2,18.7,21.8,12.9
IDCJAC0004,015590,1986,20.7,21.4,18.1,11.8,10.1,6.2,6.4,7.4,11.0,15.1,15.9,18.7,13.6
IDCJAC0004,015590,1987,22.6,21.2,14.5,13.1,7.3,5.6,3.5,4.3,8.9,16.1,21.7,21.1,13.3
IDCJAC0004,015590,1988,22.5,18.1,17.9,12.2,11.6,4.9,4.1,4.8,10.3,16.5,18.1,21.1,13.5
IDCJAC0004,015590,1989,19.4,19.7,18.8,12.7,8.3,3.9,2.2,3.0,9.4,17.6,16.4,20.2,12.6
IDCJAC0004,015590,1990,23.2,19.2,18.4,13.4,10.2,5.3,6.1,7.2,9.5,15.6,19.9,21.6,14.1
IDCJAC0004,015590,1991,22.8,21.8,17.4,12.5,6.4,10.0,4.5,7.4,12.5,15.9,20.7,19.5,14.3
IDCJAC0004,015590,1992,20.5,23.5,19.4,16.1,11.8,6.9,3.3,7.7,12.5,13.7,17.2,20.2,14.4
IDCJAC0004,015590,1993,22.9,23.0,19.3,15.0,12.0,6.6,5.6,6.8,11.0,14.9,19.6,20.7,14.8
IDCJAC0004,015590,1994,23.0,22.4,15.2,10.9,6.4,3.8,1.1,2.5,10.1,15.0,17.8,21.4,12.5
IDCJAC0004,015590,1995,22.6,20.8,15.5,12.1,8.0,6.4,5.2,6.2,12.9,14.2,19.4,20.5,13.6
IDCJAC0004,015590,1996,20.6,19.3,17.5,11.9,7.3,9.8,8.6,8.9,13.7,15.2,19.0,22.5,14.5
IDCJAC0004,015590,1997,22.1,22.1,14.2,10.6,10.0,3.5,1.1,5.0,12.8,15.1,18.2,21.0,13.0
IDCJAC0004,015590,1998,22.5,20.2,19.9,13.7,8.3,6.4,5.9,7.2,11.3,17.4,17.9,20.4,14.3
IDCJAC0004,015590,1999,23.1,21.5,20.9,10.5,9.2,5.4,3.8,6.6,12.1,16.2,16.0,20.1,13.8
IDCJAC0004,015590,2000,22.2,21.7,18.7,14.8,6.4,1.9,5.0,4.5,10.1,13.0,18.3,19.2,13.0
IDCJAC0004,015590,2001,22.6,21.0,15.8,8.9,5.4,3.8,3.9,3.4,9.6,12.6,16.0,19.5,11.9
IDCJAC0004,015590,2002,18.6,18.4,15.3,13.1,7.8,1.4,0.1,2.9,11.6,12.1,17.8,18.5,11.5
IDCJAC0004,015590,2003,21.1,21.5,14.6,12.9,7.2,3.8,2.4,6.1,12.2,13.1,18.3,22.6,13.0
IDCJAC0004,015590,2004,22.7,22.9,18.4,13.1,10.3,6.7,4.3,6.5,7.7,16.3,18.0,19.5,13.9
IDCJAC0004,015590,2005,20.2,18.3,17.6,15.5,7.6,6.2,5.2,5.6,13.6,18.4,18.4,21.5,14.0
IDCJAC0004,015590,2006,26.3,24.1,20.5,13.2,5.5,0.8,4.9,5.6,11.2,17.4,19.2,21.1,14.2
IDCJAC0004,015590,2007,22.3,21.2,20.7,13.6,11.4,1.6,2.9,5.5,11.8,15.8,16.3,21.3,13.7
IDCJAC0004,015590,2008,23.1,21.1,17.1,11.3,6.7,5.7,4.3,5.0,12.9,16.8,19.5,20.9,13.7
IDCJAC0004,015590,2009,22.4,20.8,19.7,13.4,7.2,6.4,5.2,10.4,14.2,13.1,19.0,20.2,14.3
IDCJAC0004,015590,2010,21.4,21.4,17.4,14.8,8.2,3.2,6.6,5.8,9.8,12.3,14.3,18.1,12.8
IDCJAC0004,015590,2011,22.4,21.5,17.8,9.7,5.5,2.4,3.5,5.1,8.9,15.2,17.6,19.1,12.4
IDCJAC0004,015590,2012,21.6,18.0,15.0,13.0,4.5,2.1,-0.3,4.3,9.6,13.5,20.2,21.2,11.9
IDCJAC0004,015590,2013,21.9,20.2,19.0,12.6,10.3,7.2,4.6,7.1,13.4,13.9,18.2,20.0,14.0
IDCJAC0004,015590,2014,22.2,20.2,17.5,14.6,10.3,3.2,3.4,2.5,9.9,14.9,19.2,21.8,13.3
IDCJAC0004,015590,2015,20.7,20.0,17.7,11.1,6.7,4.9,2.2,5.8,7.0,15.6,19.1,21.7,12.7
IDCJAC0004,015590,2016,20.2,20.7,20.2,12.9,11.1,8.5,4.9,6.2,10.2,12.2,17.2,22.0,13.9
IDCJAC0004,015590,2017,23.3,20.1,19.3,12.1,6.9,2.3,4.7,5.9,9.8,15.1,18.1,21.3,13.2
IDCJAC0004,015590,2018,23.0,23.3,17.2,14.5,6.0,2.6,2.4,5.0,8.7,null,null,null,null
