Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,040913,1999,null,null,null,null,null,null,null,null,null,null,null,18.3,null
IDCJAC0004,040913,2000,20.0,19.8,20.1,17.7,14.6,10.7,9.2,9.8,13.4,16.6,17.7,20.4,15.8
IDCJAC0004,040913,2001,21.1,20.3,20.8,17.3,12.9,11.8,9.9,9.5,12.9,15.9,18.0,21.0,15.9
IDCJAC0004,040913,2002,21.6,21.8,19.7,17.3,13.4,11.2,8.0,11.3,14.2,15.9,18.6,20.1,16.1
IDCJAC0004,040913,2003,20.2,21.2,19.2,17.0,13.6,11.8,9.9,10.8,13.5,15.7,17.2,20.6,15.9
IDCJAC0004,040913,2004,22.4,22.3,20.3,17.8,12.2,10.7,9.8,9.9,13.0,17.1,18.5,20.3,16.2
IDCJAC0004,040913,2005,21.5,21.9,18.9,17.7,13.7,12.8,11.3,10.6,13.6,18.3,19.8,21.9,16.8
IDCJAC0004,040913,2006,22.5,22.2,19.8,16.9,12.4,11.4,10.7,11.1,14.3,16.1,18.1,18.7,16.2
IDCJAC0004,040913,2007,21.3,20.8,20.6,17.3,16.0,12.2,8.3,11.4,13.8,17.5,18.3,20.5,16.5
IDCJAC0004,040913,2008,21.5,20.9,18.1,15.6,12.3,12.4,10.4,8.9,14.5,14.7,19.3,20.7,15.8
IDCJAC0004,040913,2009,21.3,21.5,20.1,17.8,14.0,11.3,10.2,12.1,13.6,15.6,19.7,21.6,16.6
IDCJAC0004,040913,2010,21.9,22.0,20.4,18.1,14.0,11.7,11.9,10.9,15.5,16.0,18.5,20.5,16.8
IDCJAC0004,040913,2011,21.2,21.7,20.3,17.4,12.8,10.3,9.5,11.2,12.6,15.9,19.9,18.8,16.0
IDCJAC0004,040913,2012,20.7,21.1,19.7,17.3,12.7,12.1,11.1,9.6,13.4,15.4,18.4,21.0,16.0
IDCJAC0004,040913,2013,22.3,20.6,19.9,16.6,13.5,12.2,12.6,10.8,14.9,17.0,18.1,19.6,16.5
IDCJAC0004,040913,2014,21.5,21.2,20.1,17.9,15.1,12.6,8.5,11.9,12.9,16.6,20.7,21.2,16.7
IDCJAC0004,040913,2015,22.5,20.9,21.3,17.0,13.9,12.5,10.2,11.6,12.8,16.3,19.8,20.0,16.6
IDCJAC0004,040913,2016,20.9,22.0,20.7,18.5,15.0,13.1,12.3,11.8,15.2,15.1,19.4,21.2,17.1
IDCJAC0004,040913,2017,23.0,22.7,22.0,16.5,15.1,12.9,10.3,10.9,14.2,18.9,17.7,20.8,17.1
IDCJAC0004,040913,2018,21.6,21.2,20.8,18.0,13.9,11.4,10.8,9.6,13.9,null,null,null,null
