Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,054038,2001,07,5.2,Y
IDCJAC0004,054038,2001,08,4.0,Y
IDCJAC0004,054038,2001,09,8.6,Y
IDCJAC0004,054038,2001,10,10.2,Y
IDCJAC0004,054038,2001,11,14.5,Y
IDCJAC0004,054038,2001,12,17.5,Y
IDCJAC0004,054038,2002,01,18.5,Y
IDCJAC0004,054038,2002,02,19.4,Y
IDCJAC0004,054038,2002,03,16.5,Y
IDCJAC0004,054038,2002,04,13.2,Y
IDCJAC0004,054038,2002,05,6.5,Y
IDCJAC0004,054038,2002,06,5.1,Y
IDCJAC0004,054038,2002,07,1.3,Y
IDCJAC0004,054038,2002,08,5.8,Y
IDCJAC0004,054038,2002,09,9.0,Y
IDCJAC0004,054038,2002,10,12.9,Y
IDCJAC0004,054038,2002,11,18.5,Y
IDCJAC0004,054038,2002,12,17.8,Y
IDCJAC0004,054038,2003,01,20.9,Y
IDCJAC0004,054038,2003,02,20.8,Y
IDCJAC0004,054038,2003,03,15.4,Y
IDCJAC0004,054038,2003,04,12.8,Y
IDCJAC0004,054038,2003,05,7.6,Y
IDCJAC0004,054038,2003,06,6.5,Y
IDCJAC0004,054038,2003,07,4.3,Y
IDCJAC0004,054038,2003,08,5.8,Y
IDCJAC0004,054038,2003,09,6.9,Y
IDCJAC0004,054038,2003,10,10.7,Y
IDCJAC0004,054038,2003,11,14.5,Y
IDCJAC0004,054038,2003,12,19.9,Y
IDCJAC0004,054038,2004,01,20.6,Y
IDCJAC0004,054038,2004,02,20.7,Y
IDCJAC0004,054038,2004,03,16.7,Y
IDCJAC0004,054038,2004,04,12.4,Y
IDCJAC0004,054038,2004,05,5.9,Y
IDCJAC0004,054038,2004,06,3.9,Y
IDCJAC0004,054038,2004,07,2.9,Y
IDCJAC0004,054038,2004,08,4.6,Y
IDCJAC0004,054038,2004,09,7.5,Y
IDCJAC0004,054038,2004,10,12.4,Y
IDCJAC0004,054038,2004,11,15.3,Y
IDCJAC0004,054038,2004,12,18.3,Y
IDCJAC0004,054038,2005,01,18.7,Y
IDCJAC0004,054038,2005,02,18.5,Y
IDCJAC0004,054038,2005,03,15.4,Y
IDCJAC0004,054038,2005,04,13.3,Y
IDCJAC0004,054038,2005,05,7.8,Y
IDCJAC0004,054038,2005,06,7.7,Y
IDCJAC0004,054038,2005,07,6.0,Y
IDCJAC0004,054038,2005,08,4.6,Y
IDCJAC0004,054038,2005,09,9.0,Y
IDCJAC0004,054038,2005,10,12.8,Y
IDCJAC0004,054038,2005,11,16.0,Y
IDCJAC0004,054038,2005,12,17.6,Y
IDCJAC0004,054038,2006,01,21.7,Y
IDCJAC0004,054038,2006,02,20.6,Y
IDCJAC0004,054038,2006,03,16.7,Y
IDCJAC0004,054038,2006,04,10.3,Y
IDCJAC0004,054038,2006,05,3.3,Y
IDCJAC0004,054038,2006,06,4.0,Y
IDCJAC0004,054038,2006,07,4.1,Y
IDCJAC0004,054038,2006,08,3.8,Y
IDCJAC0004,054038,2006,09,8.3,Y
IDCJAC0004,054038,2006,10,12.8,Y
IDCJAC0004,054038,2006,11,16.4,Y
IDCJAC0004,054038,2006,12,18.0,Y
IDCJAC0004,054038,2007,01,20.4,Y
IDCJAC0004,054038,2007,02,20.4,Y
IDCJAC0004,054038,2007,03,17.9,Y
IDCJAC0004,054038,2007,04,13.0,Y
IDCJAC0004,054038,2007,05,9.9,Y
IDCJAC0004,054038,2007,06,5.1,Y
IDCJAC0004,054038,2007,07,2.4,Y
IDCJAC0004,054038,2007,08,6.2,Y
IDCJAC0004,054038,2007,09,7.3,Y
IDCJAC0004,054038,2007,10,13.3,Y
IDCJAC0004,054038,2007,11,16.1,Y
IDCJAC0004,054038,2007,12,18.3,Y
IDCJAC0004,054038,2008,01,19.1,Y
IDCJAC0004,054038,2008,02,17.4,Y
IDCJAC0004,054038,2008,03,13.8,Y
IDCJAC0004,054038,2008,04,10.6,Y
IDCJAC0004,054038,2008,05,7.6,Y
IDCJAC0004,054038,2008,06,7.2,Y
IDCJAC0004,054038,2008,07,4.1,Y
IDCJAC0004,054038,2008,08,2.3,Y
IDCJAC0004,054038,2008,09,9.6,Y
IDCJAC0004,054038,2008,10,13.2,Y
IDCJAC0004,054038,2008,11,16.1,Y
IDCJAC0004,054038,2008,12,17.6,Y
IDCJAC0004,054038,2009,01,20.7,Y
IDCJAC0004,054038,2009,02,19.4,Y
IDCJAC0004,054038,2009,03,15.7,Y
IDCJAC0004,054038,2009,04,13.1,Y
