Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,040913,1999,12,18.3,Y
IDCJAC0004,040913,2000,01,20.0,Y
IDCJAC0004,040913,2000,02,19.8,Y
IDCJAC0004,040913,2000,03,20.1,Y
IDCJAC0004,040913,2000,04,17.7,Y
IDCJAC0004,040913,2000,05,14.6,Y
IDCJAC0004,040913,2000,06,10.7,Y
IDCJAC0004,040913,2000,07,9.2,Y
IDCJAC0004,040913,2000,08,9.8,Y
IDCJAC0004,040913,2000,09,13.4,Y
IDCJAC0004,040913,2000,10,16.6,Y
IDCJAC0004,040913,2000,11,17.7,Y
IDCJAC0004,040913,2000,12,20.4,Y
IDCJAC0004,040913,2001,01,21.1,Y
IDCJAC0004,040913,2001,02,20.3,Y
IDCJAC0004,040913,2001,03,20.8,Y
IDCJAC0004,040913,2001,04,17.3,Y
IDCJAC0004,040913,2001,05,12.9,Y
IDCJAC0004,040913,2001,06,11.8,Y
IDCJAC0004,040913,2001,07,9.9,Y
IDCJAC0004,040913,2001,08,9.5,Y
IDCJAC0004,040913,2001,09,12.9,Y
IDCJAC0004,040913,2001,10,15.9,Y
IDCJAC0004,040913,2001,11,18.0,Y
IDCJAC0004,040913,2001,12,21.0,Y
IDCJAC0004,040913,2002,01,21.6,Y
IDCJAC0004,040913,2002,02,21.8,Y
IDCJAC0004,040913,2002,03,19.7,Y
IDCJAC0004,040913,2002,04,17.3,Y
IDCJAC0004,040913,2002,05,13.4,Y
IDCJAC0004,040913,2002,06,11.2,Y
IDCJAC0004,040913,2002,07,8.0,Y
IDCJAC0004,040913,2002,08,11.3,Y
IDCJAC0004,040913,2002,09,14.2,Y
IDCJAC0004,040913,2002,10,15.9,Y
IDCJAC0004,040913,2002,11,18.6,Y
IDCJAC0004,040913,2002,12,20.1,Y
IDCJAC0004,040913,2003,01,20.2,Y
IDCJAC0004,040913,2003,02,21.2,Y
IDCJAC0004,040913,2003,03,19.2,Y
IDCJAC0004,040913,2003,04,17.0,Y
IDCJAC0004,040913,2003,05,13.6,Y
IDCJAC0004,040913,2003,06,11.8,Y
IDCJAC0004,040913,2003,07,9.9,Y
IDCJAC0004,040913,2003,08,10.8,Y
IDCJAC0004,040913,2003,09,13.5,Y
IDCJAC0004,040913,2003,10,15.7,Y
IDCJAC0004,040913,2003,11,17.2,Y
IDCJAC0004,040913,2003,12,20.6,Y
IDCJAC0004,040913,2004,01,22.4,Y
IDCJAC0004,040913,2004,02,22.3,Y
IDCJAC0004,040913,2004,03,20.3,Y
IDCJAC0004,040913,2004,04,17.8,Y
IDCJAC0004,040913,2004,05,12.2,Y
IDCJAC0004,040913,2004,06,10.7,Y
IDCJAC0004,040913,2004,07,9.8,Y
IDCJAC0004,040913,2004,08,9.9,Y
IDCJAC0004,040913,2004,09,13.0,Y
IDCJAC0004,040913,2004,10,17.1,Y
IDCJAC0004,040913,2004,11,18.5,Y
IDCJAC0004,040913,2004,12,20.3,Y
IDCJAC0004,040913,2005,01,21.5,Y
IDCJAC0004,040913,2005,02,21.9,Y
IDCJAC0004,040913,2005,03,18.9,Y
IDCJAC0004,040913,2005,04,17.7,Y
IDCJAC0004,040913,2005,05,13.7,Y
IDCJAC0004,040913,2005,06,12.8,Y
IDCJAC0004,040913,2005,07,11.3,Y
IDCJAC0004,040913,2005,08,10.6,Y
IDCJAC0004,040913,2005,09,13.6,Y
IDCJAC0004,040913,2005,10,18.3,Y
IDCJAC0004,040913,2005,11,19.8,Y
IDCJAC0004,040913,2005,12,21.9,Y
IDCJAC0004,040913,2006,01,22.5,Y
IDCJAC0004,040913,2006,02,22.2,Y
IDCJAC0004,040913,2006,03,19.8,Y
IDCJAC0004,040913,2006,04,16.9,Y
IDCJAC0004,040913,2006,05,12.4,Y
IDCJAC0004,040913,2006,06,11.4,Y
IDCJAC0004,040913,2006,07,10.7,Y
IDCJAC0004,040913,2006,08,11.1,Y
IDCJAC0004,040913,2006,09,14.3,Y
IDCJAC0004,040913,2006,10,16.1,Y
IDCJAC0004,040913,2006,11,18.1,Y
IDCJAC0004,040913,2006,12,18.7,Y
IDCJAC0004,040913,2007,01,21.3,Y
IDCJAC0004,040913,2007,02,20.8,Y
IDCJAC0004,040913,2007,03,20.6,Y
IDCJAC0004,040913,2007,04,17.3,Y
IDCJAC0004,040913,2007,05,16.0,Y
IDCJAC0004,040913,2007,06,12.2,Y
IDCJAC0004,040913,2007,07,8.3,Y
IDCJAC0004,040913,2007,08,11.4,Y
IDCJAC0004,040913,2007,09,13.8,Y
IDCJAC0004,040913,2007,10,17.5,Y
IDCJAC0004,040913,2007,11,18.3,Y
IDCJAC0004,040913,2007,12,20.5,Y
IDCJAC0004,040913,2008,01,21.5,Y
IDCJAC0004,040913,2008,02,20.9,Y
IDCJAC0004,040913,2008,03,18.1,Y
IDCJAC0004,040913,2008,04,15.6,Y
IDCJAC0004,040913,2008,05,12.3,Y
IDCJAC0004,040913,2008,06,12.4,Y
IDCJAC0004,040913,2008,07,10.4,Y
IDCJAC0004,040913,2008,08,8.9,Y
IDCJAC0004,040913,2008,09,14.5,Y
IDCJAC0004,040913,2008,10,14.7,Y
IDCJAC0004,040913,2008,11,19.3,Y
IDCJAC0004,040913,2008,12,20.7,Y
IDCJAC0004,040913,2009,01,21.3,Y
IDCJAC0004,040913,2009,02,21.5,Y
IDCJAC0004,040913,2009,03,20.1,Y
IDCJAC0004,040913,2009,04,17.8,Y
IDCJAC0004,040913,2009,05,14.0,Y
IDCJAC0004,040913,2009,06,11.3,Y
IDCJAC0004,040913,2009,07,10.2,Y
IDCJAC0004,040913,2009,08,12.1,Y
IDCJAC0004,040913,2009,09,13.6,Y
IDCJAC0004,040913,2009,10,15.6,Y
IDCJAC0004,040913,2009,11,19.7,Y
IDCJAC0004,040913,2009,12,21.6,Y
IDCJAC0004,040913,2010,01,21.9,Y
IDCJAC0004,040913,2010,02,22.0,Y
IDCJAC0004,040913,2010,03,20.4,Y
IDCJAC0004,040913,2010,04,18.1,Y
IDCJAC0004,040913,2010,05,14.0,Y
IDCJAC0004,040913,2010,06,11.7,Y
IDCJAC0004,040913,2010,07,11.9,Y
IDCJAC0004,040913,2010,08,10.9,Y
IDCJAC0004,040913,2010,09,15.5,Y
IDCJAC0004,040913,2010,10,16.0,Y
IDCJAC0004,040913,2010,11,18.5,Y
IDCJAC0004,040913,2010,12,20.5,Y
IDCJAC0004,040913,2011,01,21.2,Y
IDCJAC0004,040913,2011,02,21.7,Y
IDCJAC0004,040913,2011,03,20.3,Y
IDCJAC0004,040913,2011,04,17.4,Y
IDCJAC0004,040913,2011,05,12.8,Y
