Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,014015,1941,null,24.1,24.2,24.0,21.8,20.2,18.4,19.1,22.0,24.6,24.5,24.9,null
IDCJAC0004,014015,1942,24.8,23.7,24.7,23.6,23.7,21.6,18.1,18.5,22.9,24.1,23.9,24.3,22.8
IDCJAC0004,014015,1943,23.8,23.8,24.0,23.8,21.2,17.9,20.0,21.1,22.3,24.6,23.7,24.6,22.6
IDCJAC0004,014015,1944,24.1,24.1,23.5,23.1,20.5,20.0,18.2,19.2,22.7,24.2,24.3,25.1,22.4
IDCJAC0004,014015,1945,24.8,24.5,24.1,22.8,21.5,19.9,19.0,21.8,23.5,24.4,24.3,23.8,22.9
IDCJAC0004,014015,1946,24.1,24.1,null,null,null,19.2,19.8,20.5,22.9,24.2,25.8,26.2,null
IDCJAC0004,014015,1947,25.4,24.6,24.4,22.8,21.3,20.8,20.4,22.4,23.6,25.1,25.3,24.9,23.4
IDCJAC0004,014015,1948,24.6,25.1,24.4,22.6,21.8,19.1,20.3,20.1,22.5,25.3,25.7,24.8,23.0
IDCJAC0004,014015,1949,25.2,24.0,24.3,22.9,20.7,16.8,18.1,19.4,23.0,25.4,25.4,24.6,22.5
IDCJAC0004,014015,1950,24.3,23.8,24.2,23.4,22.0,20.1,19.2,20.2,22.6,24.1,24.6,24.0,22.7
IDCJAC0004,014015,1951,24.8,24.4,24.6,24.4,21.1,21.4,19.0,21.4,23.1,25.5,25.6,25.7,23.4
IDCJAC0004,014015,1952,25.7,25.4,24.7,24.6,22.5,19.3,20.2,20.4,24.0,25.9,25.5,26.5,23.7
IDCJAC0004,014015,1953,24.6,24.6,24.6,24.1,20.8,19.8,19.2,20.0,23.0,25.9,25.8,25.8,23.2
IDCJAC0004,014015,1954,24.6,24.0,24.9,24.4,22.2,19.2,18.8,21.4,23.3,24.1,25.6,24.0,23.0
IDCJAC0004,014015,1955,24.9,24.4,24.3,23.9,22.8,21.8,21.4,22.3,24.1,26.0,24.3,25.8,23.8
IDCJAC0004,014015,1956,24.1,24.3,24.7,23.7,23.1,19.7,21.6,20.7,21.7,25.6,25.2,24.7,23.3
IDCJAC0004,014015,1957,24.2,24.3,23.9,24.7,21.5,22.0,20.1,20.1,22.3,25.0,25.1,24.2,23.1
IDCJAC0004,014015,1958,25.1,25.0,24.8,24.6,24.0,21.4,21.2,20.9,21.9,24.9,24.8,24.2,23.6
IDCJAC0004,014015,1959,24.8,24.7,24.7,23.2,21.6,19.8,18.7,19.5,23.2,25.2,25.1,25.1,23.0
IDCJAC0004,014015,1960,24.8,24.0,23.3,24.1,20.7,18.0,19.1,19.7,22.9,24.4,25.3,24.9,22.6
IDCJAC0004,014015,1961,24.3,24.2,24.4,24.3,21.1,18.4,18.5,19.0,22.8,24.6,24.7,25.9,22.7
IDCJAC0004,014015,1962,24.1,24.7,24.8,23.6,21.8,22.2,20.5,20.0,23.0,25.5,25.1,25.2,23.4
IDCJAC0004,014015,1963,24.9,23.9,24.3,23.6,21.0,19.4,17.1,19.3,22.1,24.4,25.5,24.8,22.5
IDCJAC0004,014015,1964,24.9,26.0,24.2,24.2,21.8,18.8,19.3,20.6,24.1,25.3,24.4,24.7,23.2
IDCJAC0004,014015,1965,24.2,24.4,23.5,22.5,21.6,20.2,15.9,19.3,22.4,24.3,25.9,24.8,22.4
IDCJAC0004,014015,1966,25.1,25.0,23.8,24.3,21.8,20.4,18.3,20.8,23.4,23.7,25.2,24.2,23.0
IDCJAC0004,014015,1967,24.2,23.4,24.0,23.6,21.3,17.0,18.0,19.5,21.5,25.3,25.5,25.8,22.4
