Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,031209,2000,null,null,null,null,null,null,16.0,18.1,20.8,23.5,23.4,23.8,null
IDCJAC0004,031209,2001,24.1,24.1,23.4,23.8,17.0,21.0,16.2,17.5,21.7,22.3,24.2,24.6,21.7
IDCJAC0004,031209,2002,24.2,24.5,23.7,23.2,20.6,19.1,17.1,18.2,19.0,22.7,24.3,24.9,21.8
IDCJAC0004,031209,2003,24.3,24.8,24.5,23.4,20.5,20.6,19.8,19.6,20.6,21.9,23.9,25.1,22.4
IDCJAC0004,031209,2004,24.7,24.7,23.7,23.6,22.4,17.9,17.3,15.4,21.5,21.7,23.3,23.7,21.7
IDCJAC0004,031209,2005,24.4,24.1,24.3,23.3,20.0,20.8,19.5,19.0,20.6,23.1,24.0,25.1,22.4
IDCJAC0004,031209,2006,24.6,24.3,23.8,23.8,22.2,20.0,17.9,16.7,19.8,21.3,22.8,24.8,21.8
IDCJAC0004,031209,2007,24.7,24.3,23.5,22.5,22.7,19.6,14.7,20.0,19.7,23.2,23.5,25.0,21.9
IDCJAC0004,031209,2008,24.3,24.3,23.3,20.3,18.9,20.8,17.9,19.4,22.2,23.8,24.5,24.8,22.0
IDCJAC0004,031209,2009,23.8,24.4,23.5,22.5,21.1,20.7,16.5,18.8,20.9,21.3,23.5,23.9,21.7
IDCJAC0004,031209,2010,24.5,24.5,24.0,24.0,22.5,20.5,22.1,20.9,23.9,24.0,24.1,24.2,23.3
IDCJAC0004,031209,2011,24.0,23.6,24.1,22.5,18.1,15.4,17.2,16.7,20.3,22.3,24.6,24.8,21.1
IDCJAC0004,031209,2012,23.7,24.5,24.0,21.9,21.9,16.0,18.5,16.5,21.2,22.2,23.6,23.7,21.5
IDCJAC0004,031209,2013,24.5,24.5,23.7,22.4,22.4,19.8,19.7,17.5,19.8,22.6,24.3,23.8,22.1
IDCJAC0004,031209,2014,24.1,24.1,23.7,24.0,21.8,19.4,17.2,18.9,19.0,22.0,24.1,24.8,21.9
IDCJAC0004,031209,2015,24.9,24.2,23.1,23.0,21.0,20.8,17.5,17.4,20.6,22.1,23.9,24.7,21.9
IDCJAC0004,031209,2016,24.7,24.3,24.4,24.2,23.6,20.9,20.0,19.3,22.2,23.1,23.5,24.7,22.9
IDCJAC0004,031209,2017,24.5,24.1,24.3,23.2,21.9,20.2,21.3,21.2,21.9,23.0,23.8,24.5,22.8
IDCJAC0004,031209,2018,24.1,23.7,23.9,23.2,22.4,18.8,18.2,17.4,20.5,null,null,null,null
