Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,069147,1998,02,13.6,Y
IDCJAC0004,069147,1998,03,12.7,Y
IDCJAC0004,069147,1998,04,10.2,Y
IDCJAC0004,069147,1998,05,8.9,Y
IDCJAC0004,069147,1998,06,7.1,Y
IDCJAC0004,069147,1998,07,4.6,Y
IDCJAC0004,069147,1998,08,6.3,Y
IDCJAC0004,069147,1998,09,7.8,Y
IDCJAC0004,069147,1998,10,8.8,Y
IDCJAC0004,069147,1998,11,11.1,Y
IDCJAC0004,069147,1998,12,14.0,Y
IDCJAC0004,069147,1999,01,16.5,Y
IDCJAC0004,069147,1999,02,12.9,Y
IDCJAC0004,069147,1999,03,11.6,Y
IDCJAC0004,069147,1999,04,9.8,Y
IDCJAC0004,069147,1999,05,6.8,Y
IDCJAC0004,069147,1999,06,5.3,Y
IDCJAC0004,069147,1999,07,2.7,Y
IDCJAC0004,069147,1999,08,4.3,Y
IDCJAC0004,069147,1999,09,7.4,Y
IDCJAC0004,069147,1999,10,10.6,Y
IDCJAC0004,069147,1999,11,9.1,Y
IDCJAC0004,069147,1999,12,13.1,Y
IDCJAC0004,069147,2000,01,13.7,Y
IDCJAC0004,069147,2000,02,15.3,Y
IDCJAC0004,069147,2000,03,14.9,Y
IDCJAC0004,069147,2000,04,10.5,Y
IDCJAC0004,069147,2000,05,6.9,Y
IDCJAC0004,069147,2000,06,4.0,Y
IDCJAC0004,069147,2000,07,4.0,Y
IDCJAC0004,069147,2000,08,4.2,Y
IDCJAC0004,069147,2000,09,6.0,Y
IDCJAC0004,069147,2000,10,9.0,Y
IDCJAC0004,069147,2000,11,13.8,Y
IDCJAC0004,069147,2000,12,13.0,Y
IDCJAC0004,069147,2001,01,16.0,Y
IDCJAC0004,069147,2001,02,16.0,Y
IDCJAC0004,069147,2001,03,13.1,Y
IDCJAC0004,069147,2001,04,10.3,Y
IDCJAC0004,069147,2001,05,8.2,Y
IDCJAC0004,069147,2001,06,4.9,Y
IDCJAC0004,069147,2001,07,6.7,Y
IDCJAC0004,069147,2001,08,5.3,Y
IDCJAC0004,069147,2001,09,8.3,Y
IDCJAC0004,069147,2001,10,8.7,Y
IDCJAC0004,069147,2001,11,10.9,Y
IDCJAC0004,069147,2001,12,13.0,Y
IDCJAC0004,069147,2002,01,14.6,Y
IDCJAC0004,069147,2002,02,15.0,Y
IDCJAC0004,069147,2002,03,12.4,Y
IDCJAC0004,069147,2002,04,12.3,Y
IDCJAC0004,069147,2002,05,7.8,Y
IDCJAC0004,069147,2002,06,4.6,Y
IDCJAC0004,069147,2002,07,2.8,Y
IDCJAC0004,069147,2002,08,4.5,Y
IDCJAC0004,069147,2002,09,5.1,Y
