Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,075041,1981,07,3.6,Y
IDCJAC0004,075041,1981,08,4.5,Y
IDCJAC0004,075041,1981,09,7.1,Y
IDCJAC0004,075041,1981,10,10.5,Y
IDCJAC0004,075041,1981,11,13.0,Y
IDCJAC0004,075041,1981,12,14.5,Y
IDCJAC0004,075041,1982,01,17.9,Y
IDCJAC0004,075041,1982,02,18.4,Y
IDCJAC0004,075041,1982,03,14.2,Y
IDCJAC0004,075041,1982,04,8.8,Y
IDCJAC0004,075041,1982,05,5.3,Y
IDCJAC0004,075041,1982,06,2.0,Y
IDCJAC0004,075041,1982,07,1.0,Y
IDCJAC0004,075041,1982,08,5.4,Y
IDCJAC0004,075041,1982,09,6.3,Y
IDCJAC0004,075041,1982,10,8.6,Y
IDCJAC0004,075041,1982,11,13.1,Y
IDCJAC0004,075041,1982,12,16.2,Y
IDCJAC0004,075041,1983,01,14.2,Y
IDCJAC0004,075041,1983,02,19.9,Y
IDCJAC0004,075041,1983,03,17.1,Y
IDCJAC0004,075041,1983,04,8.5,Y
IDCJAC0004,075041,1983,05,8.6,Y
IDCJAC0004,075041,1983,06,3.8,Y
IDCJAC0004,075041,1983,07,3.2,Y
IDCJAC0004,075041,1983,08,3.6,Y
IDCJAC0004,075041,1983,09,5.9,Y
IDCJAC0004,075041,1983,10,9.8,Y
IDCJAC0004,075041,1983,11,12.2,Y
IDCJAC0004,075041,1983,12,15.7,Y
IDCJAC0004,075041,1984,01,15.7,Y
IDCJAC0004,075041,1984,02,15.4,Y
IDCJAC0004,075041,1984,03,10.4,Y
IDCJAC0004,075041,1984,04,9.5,Y
IDCJAC0004,075041,1984,05,3.0,Y
IDCJAC0004,075041,1984,06,1.5,Y
IDCJAC0004,075041,1984,07,2.8,Y
IDCJAC0004,075041,1984,08,3.5,Y
IDCJAC0004,075041,1984,09,5.2,Y
IDCJAC0004,075041,1984,10,8.7,Y
IDCJAC0004,075041,1984,11,12.6,Y
IDCJAC0004,075041,1984,12,13.3,Y
IDCJAC0004,075041,1985,01,14.8,Y
IDCJAC0004,075041,1985,02,16.6,Y
IDCJAC0004,075041,1985,03,16.3,Y
IDCJAC0004,075041,1985,04,11.8,Y
IDCJAC0004,075041,1985,05,8.4,Y
IDCJAC0004,075041,1985,06,3.0,Y
IDCJAC0004,075041,1985,07,2.3,Y
IDCJAC0004,075041,1985,08,4.5,Y
IDCJAC0004,075041,1985,09,4.6,Y
IDCJAC0004,075041,1985,10,10.3,Y
IDCJAC0004,075041,1985,11,13.3,Y
IDCJAC0004,075041,1985,12,14.0,Y
IDCJAC0004,075041,1986,01,14.9,Y
IDCJAC0004,075041,1986,02,16.2,Y
IDCJAC0004,075041,1986,03,15.5,Y
IDCJAC0004,075041,1986,04,9.6,Y
IDCJAC0004,075041,1986,05,8.6,Y
IDCJAC0004,075041,1986,06,3.9,Y
IDCJAC0004,075041,1986,07,4.4,Y
IDCJAC0004,075041,1986,08,4.9,Y
IDCJAC0004,075041,1986,09,6.8,Y
IDCJAC0004,075041,1986,10,7.6,Y
IDCJAC0004,075041,1986,11,11.1,Y
IDCJAC0004,075041,1986,12,12.6,Y
IDCJAC0004,075041,1987,01,14.2,Y
IDCJAC0004,075041,1987,02,17.1,Y
IDCJAC0004,075041,1987,03,11.6,Y
IDCJAC0004,075041,1987,04,9.6,Y
IDCJAC0004,075041,1987,05,7.4,Y
IDCJAC0004,075041,1987,06,6.3,Y
IDCJAC0004,075041,1987,07,3.3,Y
IDCJAC0004,075041,1987,08,5.6,Y
IDCJAC0004,075041,1987,09,5.1,Y
IDCJAC0004,075041,1987,10,9.2,Y
IDCJAC0004,075041,1987,11,13.4,Y
IDCJAC0004,075041,1987,12,15.2,Y
IDCJAC0004,075041,1988,01,16.6,Y
IDCJAC0004,075041,1988,02,15.6,Y
IDCJAC0004,075041,1988,03,14.8,Y
IDCJAC0004,075041,1988,04,12.8,Y
IDCJAC0004,075041,1988,05,9.8,Y
IDCJAC0004,075041,1988,06,5.2,Y
IDCJAC0004,075041,1988,07,5.2,Y
IDCJAC0004,075041,1988,08,3.9,Y
IDCJAC0004,075041,1988,09,6.6,Y
IDCJAC0004,075041,1988,10,8.3,Y
IDCJAC0004,075041,1988,11,11.7,Y
IDCJAC0004,075041,1988,12,16.9,Y
IDCJAC0004,075041,1989,01,14.1,Y
IDCJAC0004,075041,1989,02,15.6,Y
IDCJAC0004,075041,1989,03,15.8,Y
IDCJAC0004,075041,1989,04,11.0,Y
IDCJAC0004,075041,1989,05,9.0,Y
IDCJAC0004,075041,1989,06,5.3,Y
IDCJAC0004,075041,1989,07,3.5,Y
IDCJAC0004,075041,1989,08,3.1,Y
IDCJAC0004,075041,1989,09,4.3,Y
IDCJAC0004,075041,1989,10,7.7,Y
IDCJAC0004,075041,1989,11,12.4,Y
IDCJAC0004,075041,1989,12,14.2,Y
IDCJAC0004,075041,1990,01,15.9,Y
IDCJAC0004,075041,1990,02,16.4,Y
IDCJAC0004,075041,1990,03,15.3,Y
IDCJAC0004,075041,1990,04,12.6,Y
IDCJAC0004,075041,1990,05,7.3,Y
IDCJAC0004,075041,1990,06,4.2,Y
IDCJAC0004,075041,1990,07,4.0,Y
IDCJAC0004,075041,1990,08,3.7,Y
IDCJAC0004,075041,1990,09,6.5,Y
IDCJAC0004,075041,1990,10,6.2,Y
IDCJAC0004,075041,1990,11,13.4,Y
IDCJAC0004,075041,1990,12,16.4,Y
IDCJAC0004,075041,1991,01,17.0,Y
IDCJAC0004,075041,1991,02,17.9,Y
IDCJAC0004,075041,1991,03,13.6,Y
IDCJAC0004,075041,1991,04,8.4,Y
IDCJAC0004,075041,1991,05,6.3,Y
IDCJAC0004,075041,1991,06,7.8,Y
IDCJAC0004,075041,1991,07,2.7,Y
IDCJAC0004,075041,1991,08,2.5,Y
IDCJAC0004,075041,1991,09,5.3,Y
IDCJAC0004,075041,1991,11,11.9,Y
IDCJAC0004,075041,1991,12,13.8,Y
IDCJAC0004,075041,1992,01,12.9,Y
IDCJAC0004,075041,1992,02,16.1,Y
IDCJAC0004,075041,1992,03,14.2,Y
IDCJAC0004,075041,1992,04,13.9,Y
IDCJAC0004,075041,1992,05,7.8,Y
IDCJAC0004,075041,1992,06,5.5,Y
IDCJAC0004,075041,1992,07,3.5,Y
IDCJAC0004,075041,1992,08,4.1,Y
IDCJAC0004,075041,1992,09,2.0,Y
IDCJAC0004,075041,1992,10,6.4,Y
IDCJAC0004,075041,1992,11,6.0,Y
IDCJAC0004,075041,1992,12,16.4,Y
IDCJAC0004,075041,1993,01,12.5,Y
IDCJAC0004,075041,1993,02,14.4,Y
IDCJAC0004,075041,1993,04,10.7,Y
IDCJAC0004,075041,1993,05,7.2,Y
IDCJAC0004,075041,1993,06,4.1,Y
IDCJAC0004,075041,1993,07,6.0,Y
IDCJAC0004,075041,1993,08,5.5,Y
IDCJAC0004,075041,1993,09,7.4,Y
IDCJAC0004,075041,1993,10,9.4,Y
IDCJAC0004,075041,1993,11,11.9,Y
IDCJAC0004,075041,1993,12,15.2,Y
IDCJAC0004,075041,1994,01,15.4,Y
IDCJAC0004,075041,1994,02,19.5,Y
IDCJAC0004,075041,1994,03,11.7,Y
IDCJAC0004,075041,1994,04,9.3,Y
IDCJAC0004,075041,1994,05,7.0,Y
IDCJAC0004,075041,1994,06,6.6,Y
IDCJAC0004,075041,1994,07,5.1,Y
IDCJAC0004,075041,1994,08,1.4,Y
IDCJAC0004,075041,1994,09,4.1,Y
IDCJAC0004,075041,1994,10,9.1,Y
IDCJAC0004,075041,1994,11,13.9,Y
IDCJAC0004,075041,1994,12,17.0,Y
IDCJAC0004,075041,1995,01,19.6,Y
IDCJAC0004,075041,1995,02,14.8,Y
IDCJAC0004,075041,1995,03,10.3,Y
IDCJAC0004,075041,1995,04,8.3,Y
IDCJAC0004,075041,1995,05,11.8,Y
IDCJAC0004,075041,1995,06,4.1,Y
IDCJAC0004,075041,1995,07,5.7,Y
IDCJAC0004,075041,1995,08,3.3,Y
IDCJAC0004,075041,1995,09,8.4,Y
IDCJAC0004,075041,1995,11,13.7,Y
IDCJAC0004,075041,1996,01,18.0,Y
IDCJAC0004,075041,1996,02,15.4,Y
IDCJAC0004,075041,1996,03,15.3,Y
IDCJAC0004,075041,1996,04,10.0,Y
IDCJAC0004,075041,1996,05,8.8,Y
IDCJAC0004,075041,1996,06,7.5,Y
IDCJAC0004,075041,1996,07,5.3,Y
IDCJAC0004,075041,1996,08,5.6,Y
IDCJAC0004,075041,1996,09,6.4,Y
IDCJAC0004,075041,1996,10,9.3,Y
IDCJAC0004,075041,1996,11,12.6,Y
IDCJAC0004,075041,1996,12,16.0,Y
IDCJAC0004,075041,1997,01,16.2,Y
IDCJAC0004,075041,1997,02,20.0,Y
IDCJAC0004,075041,1997,03,15.8,Y
IDCJAC0004,075041,1997,04,9.6,Y
IDCJAC0004,075041,1997,05,11.0,Y
IDCJAC0004,075041,1997,06,6.6,Y
IDCJAC0004,075041,1997,07,1.2,Y
IDCJAC0004,075041,1997,08,4.9,Y
IDCJAC0004,075041,1997,09,5.7,Y
IDCJAC0004,075041,2000,06,4.7,Y
IDCJAC0004,075041,2000,07,2.8,Y
IDCJAC0004,075041,2000,08,3.2,Y
IDCJAC0004,075041,2000,09,5.9,Y
IDCJAC0004,075041,2000,10,8.5,Y
IDCJAC0004,075041,2000,11,14.8,Y
IDCJAC0004,075041,2000,12,15.1,Y
IDCJAC0004,075041,2001,01,19.5,Y
IDCJAC0004,075041,2001,02,19.3,Y
IDCJAC0004,075041,2001,03,13.7,Y
IDCJAC0004,075041,2001,04,8.9,Y
IDCJAC0004,075041,2001,05,4.8,Y
IDCJAC0004,075041,2001,06,4.2,Y
IDCJAC0004,075041,2001,07,2.7,Y
IDCJAC0004,075041,2001,08,3.9,Y
IDCJAC0004,075041,2001,09,8.0,Y
IDCJAC0004,075041,2001,10,7.8,Y
IDCJAC0004,075041,2001,11,11.7,Y
IDCJAC0004,075041,2001,12,13.2,Y
IDCJAC0004,075041,2002,01,15.7,Y
IDCJAC0004,075041,2002,02,16.2,Y
IDCJAC0004,075041,2002,03,13.9,Y
IDCJAC0004,075041,2002,04,12.3,Y
IDCJAC0004,075041,2002,05,7.0,Y
IDCJAC0004,075041,2002,06,4.5,Y
IDCJAC0004,075041,2002,07,2.7,Y
IDCJAC0004,075041,2002,08,3.6,Y
IDCJAC0004,075041,2002,09,6.9,Y
IDCJAC0004,075041,2002,10,8.6,Y
IDCJAC0004,075041,2002,11,14.6,Y
IDCJAC0004,075041,2002,12,16.3,Y
IDCJAC0004,075041,2003,01,18.7,Y
IDCJAC0004,075041,2003,02,19.0,Y
IDCJAC0004,075041,2003,03,13.7,Y
IDCJAC0004,075041,2003,04,11.4,Y
IDCJAC0004,075041,2003,05,7.5,Y
IDCJAC0004,075041,2003,06,5.7,Y
IDCJAC0004,075041,2003,07,3.6,Y
IDCJAC0004,075041,2003,08,4.0,Y
IDCJAC0004,075041,2003,09,5.4,Y
IDCJAC0004,075041,2003,10,7.6,Y
IDCJAC0004,075041,2003,11,12.7,Y
IDCJAC0004,075041,2003,12,17.7,Y
IDCJAC0004,075041,2004,01,16.1,Y
IDCJAC0004,075041,2004,02,18.6,Y
IDCJAC0004,075041,2004,03,12.6,Y
IDCJAC0004,075041,2004,04,10.4,Y
IDCJAC0004,075041,2004,05,4.8,Y
IDCJAC0004,075041,2004,06,4.8,Y
IDCJAC0004,075041,2004,07,3.1,Y
IDCJAC0004,075041,2004,08,4.6,Y
IDCJAC0004,075041,2004,09,5.6,Y
IDCJAC0004,075041,2004,10,9.8,Y
IDCJAC0004,075041,2004,11,13.0,Y
IDCJAC0004,075041,2004,12,15.9,Y
IDCJAC0004,075041,2005,01,18.9,Y
IDCJAC0004,075041,2005,02,15.0,Y
IDCJAC0004,075041,2005,03,13.9,Y
IDCJAC0004,075041,2005,04,13.3,Y
IDCJAC0004,075041,2005,05,6.5,Y
IDCJAC0004,075041,2005,06,7.2,Y
IDCJAC0004,075041,2005,07,5.4,Y
IDCJAC0004,075041,2005,08,4.5,Y
IDCJAC0004,075041,2005,09,5.9,Y
IDCJAC0004,075041,2005,10,8.9,Y
IDCJAC0004,075041,2005,11,13.0,Y
