Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,014015,1941,02,24.1,Y
IDCJAC0004,014015,1941,03,24.2,Y
IDCJAC0004,014015,1941,04,24.0,Y
IDCJAC0004,014015,1941,05,21.8,Y
IDCJAC0004,014015,1941,06,20.2,Y
IDCJAC0004,014015,1941,07,18.4,Y
IDCJAC0004,014015,1941,08,19.1,Y
IDCJAC0004,014015,1941,09,22.0,Y
IDCJAC0004,014015,1941,10,24.6,Y
IDCJAC0004,014015,1941,11,24.5,Y
IDCJAC0004,014015,1941,12,24.9,Y
IDCJAC0004,014015,1942,01,24.8,Y
IDCJAC0004,014015,1942,02,23.7,Y
IDCJAC0004,014015,1942,03,24.7,Y
IDCJAC0004,014015,1942,04,23.6,Y
IDCJAC0004,014015,1942,05,23.7,Y
IDCJAC0004,014015,1942,06,21.6,Y
IDCJAC0004,014015,1942,07,18.1,Y
IDCJAC0004,014015,1942,08,18.5,Y
IDCJAC0004,014015,1942,09,22.9,Y
IDCJAC0004,014015,1942,10,24.1,Y
IDCJAC0004,014015,1942,11,23.9,Y
IDCJAC0004,014015,1942,12,24.3,Y
IDCJAC0004,014015,1943,01,23.8,Y
IDCJAC0004,014015,1943,02,23.8,Y
IDCJAC0004,014015,1943,03,24.0,Y
IDCJAC0004,014015,1943,04,23.8,Y
IDCJAC0004,014015,1943,05,21.2,Y
IDCJAC0004,014015,1943,06,17.9,Y
IDCJAC0004,014015,1943,07,20.0,Y
IDCJAC0004,014015,1943,08,21.1,Y
IDCJAC0004,014015,1943,09,22.3,Y
IDCJAC0004,014015,1943,10,24.6,Y
IDCJAC0004,014015,1943,11,23.7,Y
IDCJAC0004,014015,1943,12,24.6,Y
IDCJAC0004,014015,1944,01,24.1,Y
IDCJAC0004,014015,1944,02,24.1,Y
IDCJAC0004,014015,1944,03,23.5,Y
IDCJAC0004,014015,1944,04,23.1,Y
IDCJAC0004,014015,1944,05,20.5,Y
IDCJAC0004,014015,1944,06,20.0,Y
IDCJAC0004,014015,1944,07,18.2,Y
IDCJAC0004,014015,1944,08,19.2,Y
IDCJAC0004,014015,1944,09,22.7,Y
IDCJAC0004,014015,1944,10,24.2,Y
IDCJAC0004,014015,1944,11,24.3,Y
IDCJAC0004,014015,1944,12,25.1,Y
IDCJAC0004,014015,1945,01,24.8,Y
IDCJAC0004,014015,1945,02,24.5,Y
IDCJAC0004,014015,1945,03,24.1,Y
IDCJAC0004,014015,1945,04,22.8,Y
IDCJAC0004,014015,1945,05,21.5,Y
IDCJAC0004,014015,1945,06,19.9,Y
IDCJAC0004,014015,1945,07,19.0,Y
IDCJAC0004,014015,1945,08,21.8,Y
IDCJAC0004,014015,1945,09,23.5,Y
IDCJAC0004,014015,1945,10,24.4,Y
IDCJAC0004,014015,1945,11,24.3,Y
IDCJAC0004,014015,1945,12,23.8,Y
IDCJAC0004,014015,1946,01,24.1,Y
IDCJAC0004,014015,1946,02,24.1,Y
IDCJAC0004,014015,1946,06,19.2,Y
IDCJAC0004,014015,1946,07,19.8,Y
IDCJAC0004,014015,1946,08,20.5,Y
IDCJAC0004,014015,1946,09,22.9,Y
IDCJAC0004,014015,1946,10,24.2,Y
IDCJAC0004,014015,1946,11,25.8,Y
IDCJAC0004,014015,1946,12,26.2,Y
IDCJAC0004,014015,1947,01,25.4,Y
IDCJAC0004,014015,1947,02,24.6,Y
IDCJAC0004,014015,1947,03,24.4,Y
IDCJAC0004,014015,1947,04,22.8,Y
IDCJAC0004,014015,1947,05,21.3,Y
IDCJAC0004,014015,1947,06,20.8,Y
IDCJAC0004,014015,1947,07,20.4,Y
IDCJAC0004,014015,1947,08,22.4,Y
IDCJAC0004,014015,1947,09,23.6,Y
IDCJAC0004,014015,1947,10,25.1,Y
IDCJAC0004,014015,1947,11,25.3,Y
IDCJAC0004,014015,1947,12,24.9,Y
IDCJAC0004,014015,1948,01,24.6,Y
IDCJAC0004,014015,1948,02,25.1,Y
IDCJAC0004,014015,1948,03,24.4,Y
IDCJAC0004,014015,1948,04,22.6,Y
IDCJAC0004,014015,1948,05,21.8,Y
IDCJAC0004,014015,1948,06,19.1,Y
IDCJAC0004,014015,1948,07,20.3,Y
IDCJAC0004,014015,1948,08,20.1,Y
IDCJAC0004,014015,1948,09,22.5,Y
IDCJAC0004,014015,1948,10,25.3,Y
IDCJAC0004,014015,1948,11,25.7,Y
IDCJAC0004,014015,1948,12,24.8,Y
IDCJAC0004,014015,1949,01,25.2,Y
IDCJAC0004,014015,1949,02,24.0,Y
IDCJAC0004,014015,1949,03,24.3,Y
IDCJAC0004,014015,1949,04,22.9,Y
IDCJAC0004,014015,1949,05,20.7,Y
IDCJAC0004,014015,1949,06,16.8,Y
IDCJAC0004,014015,1949,07,18.1,Y
IDCJAC0004,014015,1949,08,19.4,Y
IDCJAC0004,014015,1949,09,23.0,Y
IDCJAC0004,014015,1949,10,25.4,Y
IDCJAC0004,014015,1949,11,25.4,Y
IDCJAC0004,014015,1949,12,24.6,Y
IDCJAC0004,014015,1950,01,24.3,Y
IDCJAC0004,014015,1950,02,23.8,Y
IDCJAC0004,014015,1950,03,24.2,Y
IDCJAC0004,014015,1950,04,23.4,Y
IDCJAC0004,014015,1950,05,22.0,Y
