Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,069134,1985,01,9.4,Y
IDCJAC0001,069134,1985,02,57.1,Y
IDCJAC0001,069134,1985,03,71.0,Y
IDCJAC0001,069134,1985,04,139.0,Y
IDCJAC0001,069134,1985,05,100.4,Y
IDCJAC0001,069134,1985,06,45.6,Y
IDCJAC0001,069134,1985,07,13.0,Y
IDCJAC0001,069134,1985,08,15.4,Y
IDCJAC0001,069134,1985,09,152.6,Y
IDCJAC0001,069134,1985,10,204.7,Y
IDCJAC0001,069134,1985,11,120.2,Y
IDCJAC0001,069134,1985,12,94.9,Y
IDCJAC0001,069134,1986,01,90.6,Y
IDCJAC0001,069134,1986,02,78.8,Y
IDCJAC0001,069134,1986,03,31.9,Y
IDCJAC0001,069134,1986,04,73.3,Y
IDCJAC0001,069134,1986,05,19.5,Y
IDCJAC0001,069134,1986,06,31.0,Y
IDCJAC0001,069134,1986,07,13.6,Y
IDCJAC0001,069134,1986,08,100.5,Y
IDCJAC0001,069134,1986,09,53.4,Y
IDCJAC0001,069134,1986,10,45.1,Y
IDCJAC0001,069134,1986,11,118.3,Y
IDCJAC0001,069134,1986,12,40.9,Y
IDCJAC0001,069134,1987,01,33.5,Y
IDCJAC0001,069134,1987,02,82.4,N
IDCJAC0001,069134,1987,03,67.7,N
IDCJAC0001,069134,1991,11,18.9,Y
IDCJAC0001,069134,1991,12,221.6,Y
IDCJAC0001,069134,1992,01,158.1,Y
IDCJAC0001,069134,1992,02,231.6,Y
IDCJAC0001,069134,1992,03,22.2,Y
IDCJAC0001,069134,1992,04,89.8,Y
IDCJAC0001,069134,1992,05,60.4,Y
IDCJAC0001,069134,1992,06,99.2,Y
IDCJAC0001,069134,1992,07,5.7,Y
IDCJAC0001,069134,1992,08,28.3,Y
IDCJAC0001,069134,1992,09,85.8,Y
IDCJAC0001,069134,1992,10,120.8,Y
IDCJAC0001,069134,1992,11,199.8,Y
