Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,015590,1951,06,54.7,Y
IDCJAC0001,015590,1951,07,0.0,Y
IDCJAC0001,015590,1951,08,0.0,Y
IDCJAC0001,015590,1951,09,11.2,Y
IDCJAC0001,015590,1951,10,0.3,Y
IDCJAC0001,015590,1951,11,54.4,Y
IDCJAC0001,015590,1951,12,3.6,Y
IDCJAC0001,015590,1952,01,52.3,Y
IDCJAC0001,015590,1952,02,1.8,Y
IDCJAC0001,015590,1952,03,0.0,Y
IDCJAC0001,015590,1952,04,7.9,Y
IDCJAC0001,015590,1952,05,28.8,Y
IDCJAC0001,015590,1952,06,0.0,Y
IDCJAC0001,015590,1952,07,27.2,Y
IDCJAC0001,015590,1952,08,0.3,Y
IDCJAC0001,015590,1952,09,0.0,Y
IDCJAC0001,015590,1952,10,58.9,Y
IDCJAC0001,015590,1952,11,21.0,Y
IDCJAC0001,015590,1952,12,9.7,Y
IDCJAC0001,015590,1953,01,46.2,Y
IDCJAC0001,015590,1953,02,47.6,Y
IDCJAC0001,015590,1953,03,4.1,Y
IDCJAC0001,015590,1953,04,68.0,Y
IDCJAC0001,015590,1953,05,2.3,Y
IDCJAC0001,015590,1953,06,0.0,Y
IDCJAC0001,015590,1953,07,15.3,Y
IDCJAC0001,015590,1953,08,0.8,Y
IDCJAC0001,015590,1953,09,0.8,Y
IDCJAC0001,015590,1953,10,1.3,Y
IDCJAC0001,015590,1953,11,18.6,Y
IDCJAC0001,015590,1953,12,119.8,Y
IDCJAC0001,015590,1954,01,31.0,Y
IDCJAC0001,015590,1954,02,0.0,Y
IDCJAC0001,015590,1954,03,0.0,Y
IDCJAC0001,015590,1954,04,31.0,Y
IDCJAC0001,015590,1954,05,2.5,Y
IDCJAC0001,015590,1954,06,2.8,Y
IDCJAC0001,015590,1954,07,4.5,Y
IDCJAC0001,015590,1954,08,42.7,Y
IDCJAC0001,015590,1954,09,0.0,Y
IDCJAC0001,015590,1954,10,69.6,Y
IDCJAC0001,015590,1954,11,27.7,Y
IDCJAC0001,015590,1954,12,13.3,Y
IDCJAC0001,015590,1955,01,1.5,Y
IDCJAC0001,015590,1955,02,5.3,Y
IDCJAC0001,015590,1955,03,52.7,Y
IDCJAC0001,015590,1955,04,17.0,Y
IDCJAC0001,015590,1955,05,11.8,Y
IDCJAC0001,015590,1955,06,18.3,Y
IDCJAC0001,015590,1955,07,91.0,Y
IDCJAC0001,015590,1955,08,16.9,Y
IDCJAC0001,015590,1955,09,1.0,Y
IDCJAC0001,015590,1955,10,17.9,Y
IDCJAC0001,015590,1955,11,7.8,Y
IDCJAC0001,015590,1955,12,0.0,Y
IDCJAC0001,015590,1956,01,2.6,Y
IDCJAC0001,015590,1956,02,106.0,Y
IDCJAC0001,015590,1956,03,11.2,Y
IDCJAC0001,015590,1956,04,0.0,Y
IDCJAC0001,015590,1956,05,22.6,Y
IDCJAC0001,015590,1956,06,37.4,Y
IDCJAC0001,015590,1956,07,41.8,Y
IDCJAC0001,015590,1956,08,0.0,Y
IDCJAC0001,015590,1956,09,20.4,Y
IDCJAC0001,015590,1956,10,20.7,Y
IDCJAC0001,015590,1956,11,0.3,Y
IDCJAC0001,015590,1956,12,13.2,Y
IDCJAC0001,015590,1957,01,2.3,Y
IDCJAC0001,015590,1957,02,17.5,Y
IDCJAC0001,015590,1957,03,0.8,Y
IDCJAC0001,015590,1957,04,15.9,Y
IDCJAC0001,015590,1957,05,0.0,Y
IDCJAC0001,015590,1957,06,43.2,Y
IDCJAC0001,015590,1957,07,22.4,Y
IDCJAC0001,015590,1957,08,1.1,Y
IDCJAC0001,015590,1957,09,0.0,Y
IDCJAC0001,015590,1957,10,7.7,Y
IDCJAC0001,015590,1957,11,4.0,Y
IDCJAC0001,015590,1957,12,123.0,Y
IDCJAC0001,015590,1958,01,3.6,Y
IDCJAC0001,015590,1958,02,1.0,Y
IDCJAC0001,015590,1958,03,3.8,Y
IDCJAC0001,015590,1958,04,0.0,Y
IDCJAC0001,015590,1958,05,61.5,Y
IDCJAC0001,015590,1958,06,15.5,Y
IDCJAC0001,015590,1958,07,4.8,Y
IDCJAC0001,015590,1958,08,0.3,Y
IDCJAC0001,015590,1958,09,2.1,Y
IDCJAC0001,015590,1958,10,18.8,Y
IDCJAC0001,015590,1958,11,26.1,Y
IDCJAC0001,015590,1958,12,39.4,Y
IDCJAC0001,015590,1959,01,2.1,Y
IDCJAC0001,015590,1959,02,2.0,Y
IDCJAC0001,015590,1959,03,39.4,Y
IDCJAC0001,015590,1959,04,0.0,Y
IDCJAC0001,015590,1959,05,48.3,Y
IDCJAC0001,015590,1959,06,1.5,Y
IDCJAC0001,015590,1959,07,1.3,Y
IDCJAC0001,015590,1959,08,0.0,Y
IDCJAC0001,015590,1959,09,0.3,Y
IDCJAC0001,015590,1959,10,21.6,Y
IDCJAC0001,015590,1959,11,24.9,Y
IDCJAC0001,015590,1959,12,13.5,Y
IDCJAC0001,015590,1960,01,106.3,Y
IDCJAC0001,015590,1960,02,28.5,Y
IDCJAC0001,015590,1960,03,0.0,Y
IDCJAC0001,015590,1960,04,7.9,Y
IDCJAC0001,015590,1960,05,22.2,Y
IDCJAC0001,015590,1960,06,1.1,Y
IDCJAC0001,015590,1960,07,1.4,Y
IDCJAC0001,015590,1960,08,6.9,Y
IDCJAC0001,015590,1960,09,3.0,Y
IDCJAC0001,015590,1960,10,25.4,Y
IDCJAC0001,015590,1960,11,16.0,Y
IDCJAC0001,015590,1960,12,13.3,Y
IDCJAC0001,015590,1961,01,21.4,Y
IDCJAC0001,015590,1961,02,1.5,Y
IDCJAC0001,015590,1961,03,0.0,Y
IDCJAC0001,015590,1961,04,62.2,Y
IDCJAC0001,015590,1961,05,0.0,Y
IDCJAC0001,015590,1961,06,0.0,Y
IDCJAC0001,015590,1961,07,0.0,Y
IDCJAC0001,015590,1961,08,0.5,Y
IDCJAC0001,015590,1961,09,0.3,Y
IDCJAC0001,015590,1961,10,0.3,Y
IDCJAC0001,015590,1961,11,4.9,Y
IDCJAC0001,015590,1961,12,1.8,Y
IDCJAC0001,015590,1962,01,28.4,Y
IDCJAC0001,015590,1962,02,4.8,Y
IDCJAC0001,015590,1962,03,39.1,Y
IDCJAC0001,015590,1962,04,0.0,Y
IDCJAC0001,015590,1962,05,2.3,Y
IDCJAC0001,015590,1962,06,21.5,Y
IDCJAC0001,015590,1962,07,20.2,Y
IDCJAC0001,015590,1962,08,29.6,Y
IDCJAC0001,015590,1962,09,0.0,Y
IDCJAC0001,015590,1962,10,40.9,Y
IDCJAC0001,015590,1962,11,6.7,Y
IDCJAC0001,015590,1962,12,2.3,Y
IDCJAC0001,015590,1963,01,10.2,Y
IDCJAC0001,015590,1963,02,0.5,Y
IDCJAC0001,015590,1963,03,18.8,Y
IDCJAC0001,015590,1963,04,6.9,Y
IDCJAC0001,015590,1963,05,27.0,Y
IDCJAC0001,015590,1963,06,11.5,Y
IDCJAC0001,015590,1963,07,0.0,Y
IDCJAC0001,015590,1963,08,1.6,Y
IDCJAC0001,015590,1963,09,0.0,Y
IDCJAC0001,015590,1963,10,7.1,Y
IDCJAC0001,015590,1963,11,8.7,Y
IDCJAC0001,015590,1963,12,15.8,Y
IDCJAC0001,015590,1964,01,5.4,Y
IDCJAC0001,015590,1964,02,0.0,Y
IDCJAC0001,015590,1964,03,0.0,Y
IDCJAC0001,015590,1964,04,13.2,Y
IDCJAC0001,015590,1964,05,23.2,Y
IDCJAC0001,015590,1964,06,14.0,Y
IDCJAC0001,015590,1964,07,0.0,Y
IDCJAC0001,015590,1964,08,3.9,Y
IDCJAC0001,015590,1964,09,23.7,Y
IDCJAC0001,015590,1964,10,17.8,Y
IDCJAC0001,015590,1964,11,17.8,Y
IDCJAC0001,015590,1964,12,4.5,Y
IDCJAC0001,015590,1965,01,0.0,Y
IDCJAC0001,015590,1965,02,0.0,Y
IDCJAC0001,015590,1965,03,11.9,Y
IDCJAC0001,015590,1965,04,0.0,Y
IDCJAC0001,015590,1965,05,0.0,Y
IDCJAC0001,015590,1965,06,4.4,Y
IDCJAC0001,015590,1965,07,0.0,Y
IDCJAC0001,015590,1965,08,8.1,Y
IDCJAC0001,015590,1965,09,0.5,Y
IDCJAC0001,015590,1965,10,6.4,Y
IDCJAC0001,015590,1965,11,10.2,Y
IDCJAC0001,015590,1965,12,40.6,Y
IDCJAC0001,015590,1966,01,182.4,Y
IDCJAC0001,015590,1966,02,7.1,Y
IDCJAC0001,015590,1966,03,0.0,Y
IDCJAC0001,015590,1966,04,0.0,Y
IDCJAC0001,015590,1966,05,9.9,Y
IDCJAC0001,015590,1966,06,55.2,Y
IDCJAC0001,015590,1966,07,0.3,Y
IDCJAC0001,015590,1966,08,63.5,Y
IDCJAC0001,015590,1966,09,0.0,Y
IDCJAC0001,015590,1966,10,36.9,Y
IDCJAC0001,015590,1966,11,18.1,Y
IDCJAC0001,015590,1966,12,16.0,Y
IDCJAC0001,015590,1967,01,7.1,Y
IDCJAC0001,015590,1967,02,155.1,Y
IDCJAC0001,015590,1967,03,22.1,Y
IDCJAC0001,015590,1967,04,0.0,Y
IDCJAC0001,015590,1967,05,37.9,Y
IDCJAC0001,015590,1967,06,2.3,Y
IDCJAC0001,015590,1967,07,0.0,Y
IDCJAC0001,015590,1967,08,0.0,Y
IDCJAC0001,015590,1967,09,0.0,Y
IDCJAC0001,015590,1967,10,1.0,Y
IDCJAC0001,015590,1967,11,2.8,Y
IDCJAC0001,015590,1967,12,7.9,Y
IDCJAC0001,015590,1968,01,77.0,Y
IDCJAC0001,015590,1968,02,22.9,Y
IDCJAC0001,015590,1968,03,24.1,Y
IDCJAC0001,015590,1968,04,38.8,Y
IDCJAC0001,015590,1968,05,67.9,Y
IDCJAC0001,015590,1968,06,9.8,Y
IDCJAC0001,015590,1968,07,61.0,Y
IDCJAC0001,015590,1968,08,11.9,Y
IDCJAC0001,015590,1968,09,33.1,Y
IDCJAC0001,015590,1968,10,21.5,Y
IDCJAC0001,015590,1968,11,47.5,Y
IDCJAC0001,015590,1968,12,48.0,Y
IDCJAC0001,015590,1969,01,29.1,Y
IDCJAC0001,015590,1969,02,45.6,Y
IDCJAC0001,015590,1969,03,26.7,Y
IDCJAC0001,015590,1969,04,0.3,Y
IDCJAC0001,015590,1969,05,3.3,Y
IDCJAC0001,015590,1969,06,3.8,Y
IDCJAC0001,015590,1969,07,45.5,Y
IDCJAC0001,015590,1969,08,0.3,Y
IDCJAC0001,015590,1969,09,0.0,Y
IDCJAC0001,015590,1969,10,6.6,Y
