Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,032037,1920,01,385.6,Y
IDCJAC0001,032037,1920,02,334.2,Y
IDCJAC0001,032037,1920,03,299.4,Y
IDCJAC0001,032037,1920,04,643.3,Y
IDCJAC0001,032037,1920,05,651.3,Y
IDCJAC0001,032037,1920,06,115.1,Y
IDCJAC0001,032037,1920,07,161.4,Y
IDCJAC0001,032037,1920,08,50.8,Y
IDCJAC0001,032037,1920,09,73.8,Y
IDCJAC0001,032037,1920,10,83.8,Y
IDCJAC0001,032037,1920,11,180.8,Y
IDCJAC0001,032037,1920,12,168.2,Y
IDCJAC0001,032037,1921,01,443.2,Y
IDCJAC0001,032037,1921,02,568.9,Y
IDCJAC0001,032037,1921,03,1576.9,Y
IDCJAC0001,032037,1921,04,458.3,Y
IDCJAC0001,032037,1921,05,481.5,Y
IDCJAC0001,032037,1921,06,321.8,Y
IDCJAC0001,032037,1921,07,180.6,Y
IDCJAC0001,032037,1921,08,125.0,Y
IDCJAC0001,032037,1921,09,244.4,Y
IDCJAC0001,032037,1921,10,198.0,Y
IDCJAC0001,032037,1921,11,32.2,Y
IDCJAC0001,032037,1921,12,513.3,Y
IDCJAC0001,032037,1922,01,189.8,Y
IDCJAC0001,032037,1922,02,1060.0,Y
IDCJAC0001,032037,1922,03,459.8,Y
IDCJAC0001,032037,1922,04,273.5,Y
IDCJAC0001,032037,1922,05,237.2,Y
IDCJAC0001,032037,1922,06,147.6,Y
IDCJAC0001,032037,1922,07,80.7,Y
IDCJAC0001,032037,1922,08,15.8,Y
IDCJAC0001,032037,1922,09,41.9,Y
IDCJAC0001,032037,1922,10,114.8,Y
IDCJAC0001,032037,1922,11,42.3,Y
IDCJAC0001,032037,1922,12,58.1,Y
IDCJAC0001,032037,1923,01,211.8,Y
IDCJAC0001,032037,1923,02,265.5,Y
IDCJAC0001,032037,1923,03,670.7,Y
IDCJAC0001,032037,1923,04,363.9,Y
IDCJAC0001,032037,1923,05,53.1,Y
IDCJAC0001,032037,1923,06,74.5,Y
IDCJAC0001,032037,1923,07,41.5,Y
IDCJAC0001,032037,1923,08,51.1,Y
IDCJAC0001,032037,1923,09,36.4,Y
IDCJAC0001,032037,1923,10,0.0,Y
IDCJAC0001,032037,1923,11,27.4,Y
IDCJAC0001,032037,1923,12,357.7,Y
IDCJAC0001,032037,1924,01,255.3,Y
IDCJAC0001,032037,1924,02,305.4,Y
IDCJAC0001,032037,1924,03,1122.2,Y
IDCJAC0001,032037,1924,04,539.1,Y
IDCJAC0001,032037,1924,05,341.0,Y
IDCJAC0001,032037,1924,06,143.8,Y
IDCJAC0001,032037,1924,07,201.1,Y
IDCJAC0001,032037,1924,08,118.5,Y
IDCJAC0001,032037,1924,09,130.9,Y
IDCJAC0001,032037,1924,10,37.0,Y
IDCJAC0001,032037,1924,11,148.5,Y
IDCJAC0001,032037,1924,12,384.1,Y
IDCJAC0001,032037,1925,01,463.2,Y
IDCJAC0001,032037,1925,02,545.6,Y
IDCJAC0001,032037,1925,03,803.0,Y
IDCJAC0001,032037,1925,04,432.0,Y
IDCJAC0001,032037,1925,05,44.2,Y
IDCJAC0001,032037,1925,06,314.8,Y
IDCJAC0001,032037,1925,07,20.6,Y
IDCJAC0001,032037,1925,08,149.6,Y
IDCJAC0001,032037,1925,09,58.1,Y
IDCJAC0001,032037,1925,10,54.8,Y
IDCJAC0001,032037,1925,11,82.1,Y
IDCJAC0001,032037,1925,12,54.0,Y
IDCJAC0001,032037,1926,01,358.4,Y
IDCJAC0001,032037,1926,02,209.9,Y
IDCJAC0001,032037,1926,03,382.7,Y
IDCJAC0001,032037,1926,04,294.1,Y
IDCJAC0001,032037,1926,05,16.1,Y
IDCJAC0001,032037,1926,06,76.9,Y
IDCJAC0001,032037,1926,07,55.6,Y
IDCJAC0001,032037,1926,08,69.0,Y
IDCJAC0001,032037,1926,09,257.2,Y
IDCJAC0001,032037,1926,10,8.4,Y
IDCJAC0001,032037,1926,11,56.0,Y
IDCJAC0001,032037,1926,12,185.4,Y
IDCJAC0001,032037,1927,01,533.8,Y
IDCJAC0001,032037,1927,02,1055.6,Y
IDCJAC0001,032037,1927,03,467.9,Y
IDCJAC0001,032037,1927,04,341.0,Y
IDCJAC0001,032037,1927,05,142.2,Y
IDCJAC0001,032037,1927,06,222.3,Y
IDCJAC0001,032037,1927,07,124.5,Y
IDCJAC0001,032037,1927,08,5.1,Y
IDCJAC0001,032037,1927,09,60.5,Y
IDCJAC0001,032037,1927,10,85.1,Y
IDCJAC0001,032037,1927,11,40.0,Y
IDCJAC0001,032037,1927,12,430.4,Y
IDCJAC0001,032037,1928,01,282.5,Y
IDCJAC0001,032037,1928,02,681.4,Y
