Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,031108,1965,01,76.1,Y
IDCJAC0001,031108,1965,02,85.9,Y
IDCJAC0001,031108,1965,03,196.8,Y
IDCJAC0001,031108,1965,04,49.3,Y
IDCJAC0001,031108,1965,05,30.6,Y
IDCJAC0001,031108,1965,06,27.8,Y
IDCJAC0001,031108,1965,07,0.8,Y
IDCJAC0001,031108,1965,08,0.8,Y
IDCJAC0001,031108,1965,09,0.8,Y
IDCJAC0001,031108,1965,10,16.4,Y
IDCJAC0001,031108,1965,11,4.1,Y
IDCJAC0001,031108,1965,12,160.5,Y
IDCJAC0001,031108,1966,01,163.4,Y
IDCJAC0001,031108,1966,02,110.8,Y
IDCJAC0001,031108,1966,03,76.8,Y
IDCJAC0001,031108,1966,04,31.2,Y
IDCJAC0001,031108,1966,05,8.0,Y
IDCJAC0001,031108,1966,06,15.6,Y
IDCJAC0001,031108,1966,07,2.0,Y
IDCJAC0001,031108,1966,08,8.8,Y
IDCJAC0001,031108,1966,09,0.0,Y
IDCJAC0001,031108,1966,10,7.9,Y
IDCJAC0001,031108,1966,11,127.9,Y
IDCJAC0001,031108,1966,12,9.8,Y
IDCJAC0001,031108,1967,01,117.3,Y
IDCJAC0001,031108,1967,02,235.5,Y
IDCJAC0001,031108,1967,03,577.6,Y
IDCJAC0001,031108,1967,04,26.7,Y
IDCJAC0001,031108,1967,05,24.1,Y
IDCJAC0001,031108,1967,06,67.5,Y
IDCJAC0001,031108,1967,07,9.2,Y
IDCJAC0001,031108,1967,08,5.6,Y
IDCJAC0001,031108,1967,09,0.0,Y
IDCJAC0001,031108,1967,10,39.7,Y
IDCJAC0001,031108,1967,11,50.9,Y
IDCJAC0001,031108,1967,12,175.1,Y
IDCJAC0001,031108,1968,01,377.3,Y
IDCJAC0001,031108,1968,02,207.4,Y
IDCJAC0001,031108,1968,03,31.3,Y
IDCJAC0001,031108,1968,04,30.3,Y
IDCJAC0001,031108,1968,05,27.1,Y
IDCJAC0001,031108,1968,06,1.3,Y
IDCJAC0001,031108,1968,07,14.9,Y
IDCJAC0001,031108,1968,08,0.0,Y
IDCJAC0001,031108,1968,09,5.7,Y
IDCJAC0001,031108,1968,10,7.1,Y
IDCJAC0001,031108,1968,11,40.9,Y
IDCJAC0001,031108,1968,12,23.9,Y
IDCJAC0001,031108,1969,01,190.4,Y
IDCJAC0001,031108,1969,02,63.6,Y
IDCJAC0001,031108,1969,03,126.8,Y
IDCJAC0001,031108,1969,04,12.5,Y
IDCJAC0001,031108,1969,05,8.8,Y
IDCJAC0001,031108,1969,06,35.1,Y
IDCJAC0001,031108,1969,07,27.5,Y
IDCJAC0001,031108,1969,08,1.8,Y
IDCJAC0001,031108,1969,09,4.6,Y
IDCJAC0001,031108,1969,10,20.5,Y
IDCJAC0001,031108,1969,11,41.9,Y
IDCJAC0001,031108,1969,12,176.2,Y
IDCJAC0001,031108,1970,01,105.7,Y
IDCJAC0001,031108,1970,02,275.4,Y
IDCJAC0001,031108,1970,03,109.1,Y
IDCJAC0001,031108,1970,04,44.9,Y
IDCJAC0001,031108,1970,05,5.5,Y
IDCJAC0001,031108,1970,06,28.0,Y
IDCJAC0001,031108,1970,07,4.9,Y
IDCJAC0001,031108,1970,08,80.1,Y
IDCJAC0001,031108,1970,09,0.9,Y
IDCJAC0001,031108,1970,10,47.8,Y
IDCJAC0001,031108,1970,11,139.4,Y
IDCJAC0001,031108,1970,12,172.8,Y
IDCJAC0001,031108,1971,01,133.2,Y
IDCJAC0001,031108,1971,02,328.0,Y
IDCJAC0001,031108,1971,03,218.0,Y
IDCJAC0001,031108,1971,04,111.6,Y
IDCJAC0001,031108,1971,05,5.8,Y
IDCJAC0001,031108,1971,06,18.9,Y
IDCJAC0001,031108,1971,07,4.8,Y
IDCJAC0001,031108,1971,08,10.8,Y
IDCJAC0001,031108,1971,09,1.3,Y
IDCJAC0001,031108,1971,10,5.6,Y
IDCJAC0001,031108,1971,11,40.8,Y
IDCJAC0001,031108,1971,12,156.5,Y
IDCJAC0001,031108,1972,01,306.8,Y
IDCJAC0001,031108,1972,02,343.2,Y
IDCJAC0001,031108,1972,03,649.1,Y
IDCJAC0001,031108,1972,04,16.9,Y
IDCJAC0001,031108,1972,05,22.2,Y
IDCJAC0001,031108,1972,06,25.5,Y
IDCJAC0001,031108,1972,07,0.5,Y
IDCJAC0001,031108,1972,08,1.1,Y
IDCJAC0001,031108,1972,09,28.0,Y
IDCJAC0001,031108,1972,10,7.6,Y
IDCJAC0001,031108,1972,11,37.2,Y
IDCJAC0001,031108,1972,12,34.4,Y
IDCJAC0001,031108,1973,01,36.6,Y
IDCJAC0001,031108,1973,02,277.2,Y
IDCJAC0001,031108,1973,03,402.4,Y
IDCJAC0001,031108,1973,04,78.2,Y
IDCJAC0001,031108,1973,05,18.6,Y
IDCJAC0001,031108,1973,06,28.4,Y
IDCJAC0001,031108,1973,07,4.8,Y
IDCJAC0001,031108,1973,08,4.3,Y
IDCJAC0001,031108,1973,09,5.9,Y
IDCJAC0001,031108,1973,10,9.5,Y
IDCJAC0001,031108,1973,11,132.9,Y
IDCJAC0001,031108,1973,12,211.5,Y
IDCJAC0001,031108,1974,01,547.2,Y
IDCJAC0001,031108,1974,02,411.2,Y
IDCJAC0001,031108,1974,03,632.2,Y
IDCJAC0001,031108,1974,04,26.0,Y
IDCJAC0001,031108,1974,05,12.6,Y
IDCJAC0001,031108,1974,06,11.8,Y
IDCJAC0001,031108,1974,07,0.8,Y
IDCJAC0001,031108,1974,08,5.8,Y
IDCJAC0001,031108,1974,09,5.2,Y
IDCJAC0001,031108,1974,10,2.5,Y
IDCJAC0001,031108,1974,11,42.8,Y
IDCJAC0001,031108,1974,12,52.4,Y
IDCJAC0001,031108,1975,01,346.1,Y
IDCJAC0001,031108,1975,02,155.8,Y
IDCJAC0001,031108,1975,03,237.9,Y
IDCJAC0001,031108,1975,04,59.3,Y
IDCJAC0001,031108,1975,05,14.6,Y
IDCJAC0001,031108,1975,06,38.5,Y
IDCJAC0001,031108,1975,07,8.6,Y
IDCJAC0001,031108,1975,08,16.8,Y
IDCJAC0001,031108,1975,09,49.8,Y
IDCJAC0001,031108,1975,10,33.1,Y
IDCJAC0001,031108,1975,11,26.0,Y
IDCJAC0001,031108,1975,12,166.8,Y
IDCJAC0001,031108,1976,01,241.3,Y
IDCJAC0001,031108,1976,02,168.6,Y
IDCJAC0001,031108,1976,03,333.1,Y
IDCJAC0001,031108,1976,04,40.7,Y
IDCJAC0001,031108,1976,05,17.2,Y
IDCJAC0001,031108,1976,06,11.4,Y
IDCJAC0001,031108,1976,07,18.5,Y
IDCJAC0001,031108,1976,08,1.8,Y
IDCJAC0001,031108,1976,09,2.2,Y
IDCJAC0001,031108,1976,10,11.0,Y
IDCJAC0001,031108,1976,11,163.0,Y
IDCJAC0001,031108,1976,12,161.0,Y
IDCJAC0001,031108,1977,01,94.1,Y
IDCJAC0001,031108,1977,02,514.0,Y
IDCJAC0001,031108,1977,03,494.9,Y
