Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,069134,1990,01,19.9
IDCJAC0003,069134,1990,02,17.6
IDCJAC0003,069134,1990,03,17.7
IDCJAC0003,069134,1990,04,11.0
IDCJAC0003,069134,1990,05,8.7
IDCJAC0003,069134,1990,06,8.4
IDCJAC0003,069134,1990,07,8.5
IDCJAC0003,069134,1990,08,10.8
IDCJAC0003,069134,1990,09,15.2
IDCJAC0003,069134,1990,10,20.6
IDCJAC0003,069134,1990,11,23.3
IDCJAC0003,069134,1990,12,23.5
IDCJAC0003,069134,1991,01,24.5
IDCJAC0003,069134,1991,02,20.6
IDCJAC0003,069134,1991,03,21.2
IDCJAC0003,069134,1991,04,14.0
IDCJAC0003,069134,1991,05,10.3
IDCJAC0003,069134,1991,06,6.0
IDCJAC0003,069134,1991,07,9.3
IDCJAC0003,069134,1991,08,13.0
IDCJAC0003,069134,1991,09,16.0
IDCJAC0003,069134,1991,10,20.4
IDCJAC0003,069134,1991,11,23.5
IDCJAC0003,069134,1991,12,22.2
IDCJAC0003,069134,1992,01,22.3
IDCJAC0003,069134,1992,02,16.1
IDCJAC0003,069134,1992,03,17.4
IDCJAC0003,069134,1992,04,12.6
IDCJAC0003,069134,1992,05,9.9
IDCJAC0003,069134,1992,06,8.2
IDCJAC0003,069134,1992,07,8.8
IDCJAC0003,069134,1992,08,12.5
IDCJAC0003,069134,1992,09,15.9
IDCJAC0003,069134,1992,10,16.4
IDCJAC0003,069134,1992,11,20.3
IDCJAC0003,069134,1992,12,20.6
IDCJAC0003,069134,1993,01,20.9
IDCJAC0003,069134,1993,02,21.0
IDCJAC0003,069134,1993,03,18.1
IDCJAC0003,069134,1993,04,14.1
IDCJAC0003,069134,1993,05,10.5
IDCJAC0003,069134,1993,06,9.0
IDCJAC0003,069134,1993,07,7.5
IDCJAC0003,069134,1993,08,11.6
IDCJAC0003,069134,1993,09,15.7
IDCJAC0003,069134,1993,10,20.8
IDCJAC0003,069134,1993,11,24.1
IDCJAC0003,069134,1993,12,22.7
