Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,015590,1990,01,26.5
IDCJAC0003,015590,1990,02,28.2
IDCJAC0003,015590,1990,03,25.5
IDCJAC0003,015590,1990,04,17.7
IDCJAC0003,015590,1990,05,15.0
IDCJAC0003,015590,1990,06,13.8
IDCJAC0003,015590,1990,07,15.7
IDCJAC0003,015590,1990,08,16.2
IDCJAC0003,015590,1990,09,22.6
IDCJAC0003,015590,1990,10,26.3
IDCJAC0003,015590,1990,11,28.6
IDCJAC0003,015590,1990,12,30.3
IDCJAC0003,015590,1991,01,25.8
IDCJAC0003,015590,1991,02,24.8
IDCJAC0003,015590,1991,03,25.1
IDCJAC0003,015590,1991,04,20.9
IDCJAC0003,015590,1991,05,17.8
IDCJAC0003,015590,1991,06,12.9
IDCJAC0003,015590,1991,07,15.1
IDCJAC0003,015590,1991,08,18.3
IDCJAC0003,015590,1991,09,20.9
IDCJAC0003,015590,1991,10,26.9
IDCJAC0003,015590,1991,11,25.6
IDCJAC0003,015590,1991,12,29.4
IDCJAC0003,015590,1992,01,28.1
IDCJAC0003,015590,1992,02,26.9
IDCJAC0003,015590,1992,03,24.9
IDCJAC0003,015590,1992,04,18.8
IDCJAC0003,015590,1992,05,12.8
IDCJAC0003,015590,1992,06,14.2
IDCJAC0003,015590,1992,07,16.3
IDCJAC0003,015590,1992,08,15.8
IDCJAC0003,015590,1992,09,19.9
IDCJAC0003,015590,1992,10,24.8
IDCJAC0003,015590,1992,11,28.0
IDCJAC0003,015590,1992,12,28.0
IDCJAC0003,015590,1993,01,27.2
IDCJAC0003,015590,1993,02,24.0
IDCJAC0003,015590,1993,03,23.8
IDCJAC0003,015590,1993,04,18.2
IDCJAC0003,015590,1993,05,14.4
IDCJAC0003,015590,1993,06,13.0
IDCJAC0003,015590,1993,07,14.9
IDCJAC0003,015590,1993,08,16.6
IDCJAC0003,015590,1993,09,20.1
IDCJAC0003,015590,1993,10,25.2
IDCJAC0003,015590,1993,11,27.2
IDCJAC0003,015590,1993,12,27.0
IDCJAC0003,015590,1994,01,29.7
IDCJAC0003,015590,1994,02,20.3
IDCJAC0003,015590,1994,03,25.8
IDCJAC0003,015590,1994,04,21.4
IDCJAC0003,015590,1994,05,17.8
IDCJAC0003,015590,1994,06,14.6
IDCJAC0003,015590,1994,07,16.8
IDCJAC0003,015590,1994,08,20.3
IDCJAC0003,015590,1994,09,21.5
IDCJAC0003,015590,1994,10,23.6
IDCJAC0003,015590,1994,11,26.7
IDCJAC0003,015590,1994,12,29.4
IDCJAC0003,015590,1995,01,25.0
IDCJAC0003,015590,1995,02,26.1
IDCJAC0003,015590,1995,03,24.9
IDCJAC0003,015590,1995,04,20.2
IDCJAC0003,015590,1995,05,15.3
IDCJAC0003,015590,1995,06,13.9
IDCJAC0003,015590,1995,07,15.3
IDCJAC0003,015590,1995,08,20.0
IDCJAC0003,015590,1995,09,21.4
IDCJAC0003,015590,1995,10,25.5
IDCJAC0003,015590,1995,11,25.3
IDCJAC0003,015590,1995,12,29.0
IDCJAC0003,015590,1996,01,30.5
IDCJAC0003,015590,1996,02,28.5
IDCJAC0003,015590,1996,03,25.5
IDCJAC0003,015590,1996,04,21.3
IDCJAC0003,015590,1996,05,17.2
IDCJAC0003,015590,1996,06,14.0
IDCJAC0003,015590,1996,07,15.7
IDCJAC0003,015590,1996,08,17.3
IDCJAC0003,015590,1996,09,24.4
IDCJAC0003,015590,1996,10,26.8
IDCJAC0003,015590,1996,11,31.0
IDCJAC0003,015590,1996,12,27.2
IDCJAC0003,015590,1997,01,25.9
IDCJAC0003,015590,1997,02,23.9
IDCJAC0003,015590,1997,03,26.7
IDCJAC0003,015590,1997,04,21.7
IDCJAC0003,015590,1997,05,13.6
IDCJAC0003,015590,1997,06,15.6
IDCJAC0003,015590,1997,07,15.7
IDCJAC0003,015590,1997,08,19.1
IDCJAC0003,015590,1997,09,21.8
IDCJAC0003,015590,1997,10,25.8
IDCJAC0003,015590,1997,11,27.6
IDCJAC0003,015590,1997,12,25.6
IDCJAC0003,015590,1998,01,28.6
IDCJAC0003,015590,1998,02,26.9
IDCJAC0003,015590,1998,03,24.0
IDCJAC0003,015590,1998,04,18.7
IDCJAC0003,015590,1998,05,17.4
IDCJAC0003,015590,1998,06,12.8
IDCJAC0003,015590,1998,07,13.8
IDCJAC0003,015590,1998,08,19.2
IDCJAC0003,015590,1998,09,22.7
IDCJAC0003,015590,1998,10,24.3
IDCJAC0003,015590,1998,11,25.3
IDCJAC0003,015590,1998,12,26.6
IDCJAC0003,015590,1999,01,27.1
IDCJAC0003,015590,1999,02,25.4
IDCJAC0003,015590,1999,03,24.7
IDCJAC0003,015590,1999,04,21.6
IDCJAC0003,015590,1999,05,17.9
IDCJAC0003,015590,1999,06,14.7
IDCJAC0003,015590,1999,07,17.3
IDCJAC0003,015590,1999,08,17.7
IDCJAC0003,015590,1999,09,22.9
IDCJAC0003,015590,1999,10,23.6
IDCJAC0003,015590,1999,11,27.2
IDCJAC0003,015590,1999,12,26.6
IDCJAC0003,015590,2000,01,28.4
IDCJAC0003,015590,2000,02,21.4
IDCJAC0003,015590,2000,03,23.2
IDCJAC0003,015590,2000,04,14.9
IDCJAC0003,015590,2000,05,17.2
IDCJAC0003,015590,2000,06,16.5
IDCJAC0003,015590,2000,07,16.6
IDCJAC0003,015590,2000,08,19.3
IDCJAC0003,015590,2000,09,23.4
IDCJAC0003,015590,2000,10,21.1
IDCJAC0003,015590,2000,11,24.8
IDCJAC0003,015590,2000,12,25.3
IDCJAC0003,015590,2001,01,25.4
IDCJAC0003,015590,2001,02,25.4
IDCJAC0003,015590,2001,03,18.5
IDCJAC0003,015590,2001,04,21.8
IDCJAC0003,015590,2001,05,17.1
IDCJAC0003,015590,2001,06,14.4
IDCJAC0003,015590,2001,07,14.4
IDCJAC0003,015590,2001,08,21.0
IDCJAC0003,015590,2001,09,21.6
IDCJAC0003,015590,2001,10,22.9
IDCJAC0003,015590,2001,11,26.8
IDCJAC0003,015590,2001,12,22.3
IDCJAC0003,015590,2002,01,27.4
IDCJAC0003,015590,2002,02,22.0
IDCJAC0003,015590,2002,03,24.9
