Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,070351,2007,27.8,22.2,18.5,14.0,10.1,7.6,9.4,12.1,17.4,22.5,22.6,23.2,17.3
IDCJAC0003,070351,2008,25.7,21.7,19.1,14.5,11.0,7.5,8.8,12.6,18.0,22.4,22.3,26.3,17.5
IDCJAC0003,070351,2009,30.6,21.9,18.8,13.0,9.9,7.1,9.3,12.3,16.7,17.8,25.1,27.4,17.5
IDCJAC0003,070351,2010,28.4,20.9,18.2,14.4,10.2,8.6,8.7,12.0,16.9,19.6,20.6,24.8,16.9
IDCJAC0003,070351,2011,23.3,19.3,16.2,13.7,10.3,8.1,8.4,11.8,15.8,19.1,20.7,24.0,15.9
IDCJAC0003,070351,2012,25.1,18.4,14.7,13.4,10.7,7.7,9.3,12.6,17.2,22.1,22.2,25.7,16.6
IDCJAC0003,070351,2013,27.4,20.5,19.7,13.9,10.2,7.2,8.4,12.4,16.2,22.3,22.8,26.7,17.3
IDCJAC0003,070351,2014,26.8,21.4,15.2,11.9,10.3,7.2,9.0,12.5,16.3,20.5,24.3,25.5,16.7
IDCJAC0003,070351,2015,23.2,19.8,18.8,10.0,10.4,8.6,8.7,11.0,17.1,20.2,23.5,27.3,16.6
IDCJAC0003,070351,2016,20.4,24.4,17.5,14.3,10.6,7.6,9.1,11.8,13.8,19.9,26.3,22.9,16.5
IDCJAC0003,070351,2017,23.8,20.7,15.1,12.7,10.3,9.0,9.7,13.0,17.6,20.9,23.7,22.9,16.6
IDCJAC0003,070351,2018,23.5,21.9,18.6,14.0,10.6,8.3,10.5,12.3,17.4,16.1,null,null,null
