Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,032037,1990,26.4,26.0,15.4,17.0,11.3,13.2,13.3,20.2,21.3,26.2,27.7,20.8,19.9
IDCJAC0003,032037,1991,18.3,16.6,22.4,16.8,16.2,16.3,16.6,18.1,24.5,26.0,25.9,27.0,20.4
IDCJAC0003,032037,1992,26.3,21.2,22.9,16.5,14.3,16.4,13.2,17.6,22.8,24.2,26.3,21.5,20.3
IDCJAC0003,032037,1993,22.0,20.5,24.1,16.8,15.2,13.7,13.5,17.5,20.5,26.6,26.3,24.6,20.1
IDCJAC0003,032037,1994,25.2,18.2,17.4,17.4,13.0,14.4,13.5,18.8,22.6,24.6,25.7,25.3,19.7
IDCJAC0003,032037,1995,26.7,20.0,16.3,19.8,12.4,14.7,15.7,12.8,22.5,23.7,24.8,24.8,19.5
IDCJAC0003,032037,1996,21.5,20.8,19.2,19.0,13.7,14.7,17.5,18.2,25.4,23.4,25.3,22.9,20.1
IDCJAC0003,032037,1997,20.8,19.6,17.7,18.1,17.6,12.9,12.9,18.2,23.7,24.6,23.5,21.7,19.3
IDCJAC0003,032037,1998,19.6,20.9,19.7,17.7,13.4,15.6,14.4,17.2,19.7,23.3,20.5,24.7,18.9
IDCJAC0003,032037,1999,19.8,18.2,15.2,13.1,16.2,13.7,15.0,16.0,22.0,24.6,16.6,20.3,17.6
IDCJAC0003,032037,2000,23.8,15.6,19.1,13.2,14.9,10.6,16.8,18.1,20.2,19.8,20.1,19.0,17.6
IDCJAC0003,032037,2001,21.9,13.6,22.4,16.8,19.2,10.9,17.1,18.9,19.6,24.3,23.6,27.2,19.6
IDCJAC0003,032037,2002,25.4,22.0,20.9,17.5,17.3,15.6,15.0,15.5,23.5,25.4,25.4,26.0,20.8
IDCJAC0003,032037,2003,21.4,22.0,18.8,19.1,14.8,12.2,12.8,16.4,24.8,24.3,25.5,23.9,19.7
IDCJAC0003,032037,2004,23.9,19.7,16.8,13.9,13.9,15.4,15.2,21.1,18.8,24.9,25.0,23.2,19.3
IDCJAC0003,032037,2005,21.7,26.3,20.5,16.0,14.7,11.6,12.8,14.8,22.3,24.2,25.3,null,null
IDCJAC0003,032037,2006,22.5,22.8,15.8,14.4,14.5,15.8,17.3,21.2,22.3,24.3,26.7,20.9,19.9
IDCJAC0003,032037,2007,21.2,16.3,22.0,19.1,15.7,11.1,17.5,16.3,22.4,23.2,21.4,22.4,19.0
IDCJAC0003,032037,2008,21.0,18.8,15.7,20.0,16.4,14.2,14.2,17.2,19.4,21.7,23.5,23.4,18.8
IDCJAC0003,032037,2009,15.6,16.1,22.7,19.6,13.8,15.5,15.8,18.9,22.5,23.3,20.3,24.2,19.0
IDCJAC0003,032037,2010,17.1,20.7,19.5,14.0,15.3,14.7,11.8,16.5,19.0,20.9,18.3,20.8,17.4
IDCJAC0003,032037,2011,21.1,17.7,15.8,16.3,17.1,15.1,15.3,17.5,20.2,21.4,23.8,21.7,18.6
IDCJAC0003,032037,2012,24.3,20.0,14.3,17.4,13.9,15.6,15.1,18.8,20.4,23.2,25.5,27.1,19.6
IDCJAC0003,032037,2013,22.8,22.0,18.1,17.1,13.2,14.8,14.5,19.8,22.4,22.6,17.9,23.6,19.1
IDCJAC0003,032037,2014,20.8,16.2,15.9,16.3,15.4,13.1,16.2,16.2,22.4,25.0,24.6,25.0,18.9
IDCJAC0003,032037,2015,20.4,19.2,19.8,18.4,16.2,12.8,15.2,19.5,20.4,21.7,23.4,18.0,18.7
IDCJAC0003,032037,2016,23.4,22.9,17.2,15.9,14.1,14.0,14.5,16.1,19.8,23.6,26.6,24.5,19.4
IDCJAC0003,032037,2017,21.6,20.1,22.2,16.9,15.4,13.2,15.3,18.6,20.8,21.1,22.6,27.3,19.6
IDCJAC0003,032037,2018,20.8,21.8,15.9,18.0,15.1,15.2,15.3,19.2,21.1,23.3,null,null,null
