Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,040913,1990,01,25.8
IDCJAC0003,040913,1990,02,21.9
IDCJAC0003,040913,1990,03,15.7
IDCJAC0003,040913,1990,04,13.5
IDCJAC0003,040913,1990,05,12.1
IDCJAC0003,040913,1990,06,11.3
IDCJAC0003,040913,1990,07,13.2
IDCJAC0003,040913,1990,08,15.2
IDCJAC0003,040913,1990,09,18.8
IDCJAC0003,040913,1990,10,22.1
IDCJAC0003,040913,1990,11,27.4
IDCJAC0003,040913,1990,12,25.9
IDCJAC0003,040913,1991,01,22.0
IDCJAC0003,040913,1991,02,23.0
IDCJAC0003,040913,1991,03,21.8
IDCJAC0003,040913,1991,04,18.4
IDCJAC0003,040913,1991,05,13.1
IDCJAC0003,040913,1991,06,12.1
IDCJAC0003,040913,1991,07,13.8
IDCJAC0003,040913,1991,08,16.7
IDCJAC0003,040913,1991,09,21.1
IDCJAC0003,040913,1991,10,21.3
IDCJAC0003,040913,1991,11,24.3
IDCJAC0003,040913,1991,12,26.4
IDCJAC0003,040913,1992,01,27.1
IDCJAC0003,040913,1992,02,19.0
IDCJAC0003,040913,1992,03,18.7
IDCJAC0003,040913,1992,04,14.4
IDCJAC0003,040913,1992,05,12.0
IDCJAC0003,040913,1992,06,12.7
IDCJAC0003,040913,1992,07,13.3
IDCJAC0003,040913,1992,08,16.1
IDCJAC0003,040913,1992,09,20.0
IDCJAC0003,040913,1992,10,23.2
IDCJAC0003,040913,1992,11,25.1
IDCJAC0003,040913,1992,12,26.0
IDCJAC0003,040913,1993,01,26.9
IDCJAC0003,040913,1993,02,22.5
IDCJAC0003,040913,1993,03,19.6
IDCJAC0003,040913,1993,04,17.3
IDCJAC0003,040913,1993,05,13.6
IDCJAC0003,040913,1993,06,12.4
IDCJAC0003,040913,1993,07,11.0
IDCJAC0003,040913,1993,08,14.5
IDCJAC0003,040913,1993,09,17.3
IDCJAC0003,040913,1993,10,20.2
IDCJAC0003,040913,1993,11,22.5
IDCJAC0003,040913,1993,12,26.4
IDCJAC0003,040913,1994,01,23.4
IDCJAC0003,040913,1994,02,19.2
IDCJAC0003,040913,1994,03,16.7
IDCJAC0003,040913,1994,04,17.8
IDCJAC0003,040913,1994,05,13.8
IDCJAC0003,040913,1994,06,12.0
IDCJAC0003,040913,1994,07,13.0
IDCJAC0003,040913,1994,08,17.4
IDCJAC0003,040913,1994,09,20.8
IDCJAC0003,040913,1994,10,20.9
IDCJAC0003,040913,1994,11,25.1
IDCJAC0003,040913,1994,12,27.0
IDCJAC0003,040913,1995,01,24.6
IDCJAC0003,040913,1995,02,18.8
IDCJAC0003,040913,1995,03,20.3
IDCJAC0003,040913,1995,04,16.7
IDCJAC0003,040913,1995,05,12.5
IDCJAC0003,040913,1995,06,12.0
IDCJAC0003,040913,1995,07,13.4
IDCJAC0003,040913,1995,08,16.6
IDCJAC0003,040913,1995,09,19.5
IDCJAC0003,040913,1995,10,21.4
IDCJAC0003,040913,1995,11,22.8
IDCJAC0003,040913,1995,12,26.4
IDCJAC0003,040913,1996,01,24.0
IDCJAC0003,040913,1996,02,22.5
IDCJAC0003,040913,1996,03,20.5
IDCJAC0003,040913,1996,04,17.3
IDCJAC0003,040913,1996,05,11.0
IDCJAC0003,040913,1996,06,11.7
IDCJAC0003,040913,1996,07,14.2
IDCJAC0003,040913,1996,08,15.7
IDCJAC0003,040913,1996,09,22.0
IDCJAC0003,040913,1996,10,23.5
IDCJAC0003,040913,1996,11,26.0
IDCJAC0003,040913,1996,12,24.0
IDCJAC0003,040913,1997,01,23.0
IDCJAC0003,040913,1997,02,23.1
IDCJAC0003,040913,1997,03,21.3
IDCJAC0003,040913,1997,04,17.4
IDCJAC0003,040913,1997,05,12.4
IDCJAC0003,040913,1997,06,11.8
IDCJAC0003,040913,1997,07,12.3
IDCJAC0003,040913,1997,08,17.3
IDCJAC0003,040913,1997,09,17.5
IDCJAC0003,040913,1997,10,20.7
IDCJAC0003,040913,1997,11,23.0
IDCJAC0003,040913,1997,12,26.2
IDCJAC0003,040913,1998,01,22.5
IDCJAC0003,040913,1998,02,22.6
IDCJAC0003,040913,1998,03,23.2
IDCJAC0003,040913,1998,04,14.3
IDCJAC0003,040913,1998,05,13.5
IDCJAC0003,040913,1998,06,11.8
IDCJAC0003,040913,1998,07,11.6
IDCJAC0003,040913,1998,08,14.0
IDCJAC0003,040913,1998,09,18.1
IDCJAC0003,040913,1998,10,22.7
IDCJAC0003,040913,1998,11,21.7
IDCJAC0003,040913,1998,12,24.1
IDCJAC0003,040913,1999,01,22.9
IDCJAC0003,040913,1999,02,18.8
IDCJAC0003,040913,1999,03,19.1
IDCJAC0003,040913,1999,04,16.0
IDCJAC0003,040913,1999,05,12.6
IDCJAC0003,040913,1999,06,11.8
IDCJAC0003,040913,1999,07,12.5
IDCJAC0003,040913,1999,08,14.9
IDCJAC0003,040913,1999,09,19.7
IDCJAC0003,040913,1999,10,21.1
IDCJAC0003,040913,1999,11,22.3
IDCJAC0003,040913,1999,12,23.4
IDCJAC0003,040913,2000,01,23.0
IDCJAC0003,040913,2000,02,19.9
IDCJAC0003,040913,2000,03,19.5
IDCJAC0003,040913,2000,04,14.7
IDCJAC0003,040913,2000,05,13.0
IDCJAC0003,040913,2000,06,11.9
IDCJAC0003,040913,2000,07,14.0
IDCJAC0003,040913,2000,08,16.2
IDCJAC0003,040913,2000,09,22.1
IDCJAC0003,040913,2000,10,19.8
IDCJAC0003,040913,2000,11,20.6
IDCJAC0003,040913,2000,12,24.0
IDCJAC0003,040913,2001,01,25.5
IDCJAC0003,040913,2001,02,21.4
IDCJAC0003,040913,2001,03,19.1
IDCJAC0003,040913,2001,04,17.0
IDCJAC0003,040913,2001,05,14.5
IDCJAC0003,040913,2001,06,12.3
IDCJAC0003,040913,2001,07,13.7
IDCJAC0003,040913,2001,08,18.0
IDCJAC0003,040913,2001,09,19.0
IDCJAC0003,040913,2001,10,22.8
IDCJAC0003,040913,2001,11,21.5
IDCJAC0003,040913,2001,12,24.5
IDCJAC0003,040913,2002,01,25.7
IDCJAC0003,040913,2002,02,20.6
IDCJAC0003,040913,2002,03,21.1
IDCJAC0003,040913,2002,04,17.1
IDCJAC0003,040913,2002,05,14.3
IDCJAC0003,040913,2002,06,11.9
IDCJAC0003,040913,2002,07,15.1
IDCJAC0003,040913,2002,08,15.3
IDCJAC0003,040913,2002,09,21.1
IDCJAC0003,040913,2002,10,23.4
IDCJAC0003,040913,2002,11,25.8
IDCJAC0003,040913,2002,12,28.0
IDCJAC0003,040913,2003,01,26.3
IDCJAC0003,040913,2003,02,16.6
IDCJAC0003,040913,2003,03,17.9
IDCJAC0003,040913,2003,04,16.0
IDCJAC0003,040913,2003,05,13.7
IDCJAC0003,040913,2003,06,12.0
IDCJAC0003,040913,2003,07,13.4
IDCJAC0003,040913,2003,08,15.3
IDCJAC0003,040913,2003,09,22.4
IDCJAC0003,040913,2003,10,20.5
IDCJAC0003,040913,2003,11,26.3
IDCJAC0003,040913,2003,12,23.2
IDCJAC0003,040913,2004,01,24.0
IDCJAC0003,040913,2004,02,23.9
IDCJAC0003,040913,2004,03,19.0
IDCJAC0003,040913,2004,04,16.6
IDCJAC0003,040913,2004,05,14.4
IDCJAC0003,040913,2004,06,13.4
IDCJAC0003,040913,2004,07,14.0
IDCJAC0003,040913,2004,08,17.7
IDCJAC0003,040913,2004,09,20.8
IDCJAC0003,040913,2004,10,21.9
IDCJAC0003,040913,2004,11,24.5
