Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,066037,1990,20.7,19.2,15.5,10.1,9.4,9.2,9.1,11.4,15.4,19.6,27.2,27.4,16.2
IDCJAC0003,066037,1991,23.1,21.9,21.2,15.2,10.4,7.4,9.8,14.1,17.1,19.8,23.7,23.0,17.2
IDCJAC0003,066037,1992,23.3,17.3,17.8,13.4,9.9,8.8,9.8,13.0,16.2,17.0,21.6,22.9,15.9
IDCJAC0003,066037,1993,21.4,21.3,19.4,14.5,9.9,9.4,7.9,11.4,16.1,22.5,23.7,25.5,16.9
IDCJAC0003,066037,1994,27.1,20.4,19.3,15.3,11.2,8.6,9.8,14.7,18.2,21.2,22.6,23.7,17.7
IDCJAC0003,066037,1995,20.5,21.8,16.5,14.4,8.3,7.4,10.2,14.6,15.1,20.2,18.0,23.5,15.9
IDCJAC0003,066037,1996,19.6,20.8,17.7,14.7,9.3,8.5,10.0,12.7,18.3,19.3,22.9,22.5,16.4
IDCJAC0003,066037,1997,21.0,22.0,20.4,15.2,9.3,9.1,9.8,14.8,14.8,24.0,22.3,22.7,17.1
IDCJAC0003,066037,1998,22.4,22.8,18.8,13.1,8.5,7.9,8.7,10.6,16.3,20.6,20.5,25.0,16.3
IDCJAC0003,066037,1999,24.9,20.3,17.5,12.3,10.5,8.6,9.4,13.6,16.4,16.9,23.1,22.2,16.3
IDCJAC0003,066037,2000,22.1,23.2,14.3,12.1,10.9,9.8,10.5,12.7,17.7,18.7,18.4,25.6,16.3
IDCJAC0003,066037,2001,21.7,19.6,16.0,14.5,10.1,9.7,8.7,14.2,17.5,23.2,18.5,24.3,16.5
IDCJAC0003,066037,2002,27.2,19.0,16.5,13.7,10.3,9.4,11.2,13.9,19.5,22.5,22.6,25.8,17.6
IDCJAC0003,066037,2003,26.0,19.3,18.3,13.1,9.4,10.1,10.2,13.4,18.2,18.2,22.7,21.8,16.7
IDCJAC0003,066037,2004,24.6,20.8,17.0,14.7,11.7,10.1,9.8,13.1,15.3,20.1,22.1,25.1,17.0
IDCJAC0003,066037,2005,25.4,23.8,17.5,14.3,10.4,8.6,10.4,14.1,16.3,18.7,21.5,null,null
IDCJAC0003,066037,2006,21.5,20.7,17.3,16.4,10.7,7.7,8.9,12.7,18.1,20.7,21.8,22.5,16.6
IDCJAC0003,066037,2007,27.9,21.2,17.2,14.1,11.4,7.2,10.1,12.5,17.9,22.1,23.0,22.0,17.2
IDCJAC0003,066037,2008,22.6,17.9,19.1,12.5,11.2,7.4,9.7,12.5,17.6,19.4,20.3,23.8,16.2
IDCJAC0003,066037,2009,26.5,19.0,17.3,12.5,10.3,7.9,10.1,13.8,17.2,18.3,21.8,23.1,16.5
IDCJAC0003,066037,2010,22.9,18.5,17.1,14.1,9.6,8.7,7.9,13.8,16.2,17.2,21.0,23.2,15.8
IDCJAC0003,066037,2011,22.8,17.6,14.1,12.4,10.2,8.7,9.1,11.8,15.4,18.5,18.5,20.1,14.9
IDCJAC0003,066037,2012,23.2,18.3,14.7,13.4,11.3,7.6,9.2,13.8,18.2,21.3,19.7,22.6,16.1
IDCJAC0003,066037,2013,22.2,19.9,18.0,13.6,10.9,6.8,10.1,14.0,17.5,22.0,18.5,24.6,16.5
IDCJAC0003,066037,2014,24.0,17.9,15.3,11.4,11.0,8.7,10.1,11.0,16.3,20.3,21.6,22.0,15.8
IDCJAC0003,066037,2015,22.6,20.1,16.2,11.0,9.9,8.6,9.9,12.4,16.8,19.1,20.4,23.7,15.9
IDCJAC0003,066037,2016,19.8,22.5,17.5,13.9,11.3,8.5,10.1,12.3,15.9,21.1,24.3,22.0,16.6
IDCJAC0003,066037,2017,22.0,19.7,13.0,13.8,11.1,8.9,11.1,13.8,18.0,19.6,22.2,22.3,16.3
IDCJAC0003,066037,2018,22.4,21.5,17.1,14.6,11.4,8.9,11.4,13.2,16.6,15.0,null,null,null
