Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,054038,2000,12,27.6
IDCJAC0003,054038,2001,01,28.5
IDCJAC0003,054038,2001,02,25.0
IDCJAC0003,054038,2001,03,20.7
IDCJAC0003,054038,2001,04,17.4
IDCJAC0003,054038,2001,05,13.6
IDCJAC0003,054038,2001,06,11.7
IDCJAC0003,054038,2001,07,11.1
IDCJAC0003,054038,2001,08,15.5
IDCJAC0003,054038,2001,09,19.3
IDCJAC0003,054038,2001,10,23.5
IDCJAC0003,054038,2001,11,21.5
IDCJAC0003,054038,2001,12,27.6
IDCJAC0003,054038,2002,01,29.1
IDCJAC0003,054038,2002,02,23.4
IDCJAC0003,054038,2002,03,22.9
IDCJAC0003,054038,2002,04,17.2
IDCJAC0003,054038,2002,05,13.4
IDCJAC0003,054038,2002,06,11.8
IDCJAC0003,054038,2002,07,14.3
IDCJAC0003,054038,2002,08,15.6
IDCJAC0003,054038,2002,09,19.8
IDCJAC0003,054038,2002,10,25.8
IDCJAC0003,054038,2002,11,27.4
IDCJAC0003,054038,2002,12,29.1
IDCJAC0003,054038,2003,01,31.1
IDCJAC0003,054038,2003,02,20.6
IDCJAC0003,054038,2003,03,21.2
IDCJAC0003,054038,2003,04,15.9
IDCJAC0003,054038,2003,05,14.5
IDCJAC0003,054038,2003,06,11.2
IDCJAC0003,054038,2003,07,12.3
IDCJAC0003,054038,2003,08,14.5
IDCJAC0003,054038,2003,09,21.5
IDCJAC0003,054038,2003,10,22.5
IDCJAC0003,054038,2003,11,27.8
IDCJAC0003,054038,2003,12,27.9
IDCJAC0003,054038,2004,01,25.8
IDCJAC0003,054038,2004,02,25.5
IDCJAC0003,054038,2004,03,20.6
IDCJAC0003,054038,2004,04,16.9
IDCJAC0003,054038,2004,05,13.9
IDCJAC0003,054038,2004,06,11.8
IDCJAC0003,054038,2004,07,12.7
IDCJAC0003,054038,2004,08,15.6
IDCJAC0003,054038,2004,09,20.5
IDCJAC0003,054038,2004,10,23.1
IDCJAC0003,054038,2004,11,27.5
IDCJAC0003,054038,2004,12,28.3
IDCJAC0003,054038,2005,01,27.8
IDCJAC0003,054038,2005,02,27.0
IDCJAC0003,054038,2005,03,22.5
IDCJAC0003,054038,2005,04,17.8
IDCJAC0003,054038,2005,05,13.7
IDCJAC0003,054038,2005,06,9.3
IDCJAC0003,054038,2005,07,12.6
IDCJAC0003,054038,2005,08,16.5
IDCJAC0003,054038,2005,09,19.3
IDCJAC0003,054038,2005,10,21.2
IDCJAC0003,054038,2005,11,25.3
IDCJAC0003,054038,2006,01,26.5
IDCJAC0003,054038,2006,02,24.5
IDCJAC0003,054038,2006,03,19.5
IDCJAC0003,054038,2006,04,17.9
IDCJAC0003,054038,2006,05,14.8
IDCJAC0003,054038,2006,06,11.3
IDCJAC0003,054038,2006,07,12.1
IDCJAC0003,054038,2006,08,16.2
IDCJAC0003,054038,2006,09,21.1
IDCJAC0003,054038,2006,10,24.8
IDCJAC0003,054038,2006,11,27.1
IDCJAC0003,054038,2006,12,23.8
IDCJAC0003,054038,2007,01,26.3
IDCJAC0003,054038,2007,02,24.4
IDCJAC0003,054038,2007,03,21.7
IDCJAC0003,054038,2007,04,17.3
IDCJAC0003,054038,2007,05,13.5
IDCJAC0003,054038,2007,06,9.6
IDCJAC0003,054038,2007,07,12.5
IDCJAC0003,054038,2007,08,14.8
IDCJAC0003,054038,2007,09,20.7
IDCJAC0003,054038,2007,10,23.0
IDCJAC0003,054038,2007,11,21.8
IDCJAC0003,054038,2007,12,24.1
IDCJAC0003,054038,2008,01,24.0
IDCJAC0003,054038,2008,02,22.2
IDCJAC0003,054038,2008,03,22.5
IDCJAC0003,054038,2008,04,16.9
IDCJAC0003,054038,2008,05,13.5
IDCJAC0003,054038,2008,06,10.5
IDCJAC0003,054038,2008,07,11.4
IDCJAC0003,054038,2008,08,14.7
IDCJAC0003,054038,2008,09,18.1
IDCJAC0003,054038,2008,10,23.9
IDCJAC0003,054038,2008,11,21.6
IDCJAC0003,054038,2008,12,25.8
IDCJAC0003,054038,2009,01,26.5
IDCJAC0003,054038,2009,02,23.8
IDCJAC0003,054038,2009,03,21.5
IDCJAC0003,054038,2009,04,15.7
IDCJAC0003,054038,2009,05,12.3
IDCJAC0003,054038,2009,06,10.0
IDCJAC0003,054038,2009,07,11.7
IDCJAC0003,054038,2009,08,15.3
IDCJAC0003,054038,2009,09,18.8
IDCJAC0003,054038,2009,10,23.4
IDCJAC0003,054038,2009,11,25.3
IDCJAC0003,054038,2009,12,23.6
IDCJAC0003,054038,2010,01,27.2
IDCJAC0003,054038,2010,02,21.1
IDCJAC0003,054038,2010,03,18.6
IDCJAC0003,054038,2010,04,16.1
IDCJAC0003,054038,2010,05,12.1
IDCJAC0003,054038,2010,06,11.0
IDCJAC0003,054038,2010,07,10.1
IDCJAC0003,054038,2010,08,13.8
IDCJAC0003,054038,2010,09,17.2
IDCJAC0003,054038,2010,10,20.1
IDCJAC0003,054038,2010,11,21.6
IDCJAC0003,054038,2010,12,22.3
IDCJAC0003,054038,2011,01,27.3
IDCJAC0003,054038,2011,02,23.8
IDCJAC0003,054038,2011,03,18.1
IDCJAC0003,054038,2011,04,17.6
IDCJAC0003,054038,2011,05,12.2
IDCJAC0003,054038,2011,06,10.7
IDCJAC0003,054038,2011,07,11.3
IDCJAC0003,054038,2011,08,14.1
IDCJAC0003,054038,2011,09,18.4
IDCJAC0003,054038,2011,10,21.6
IDCJAC0003,054038,2011,11,21.5
IDCJAC0003,054038,2011,12,25.5
IDCJAC0003,054038,2012,01,23.4
IDCJAC0003,054038,2012,02,22.4
IDCJAC0003,054038,2012,03,19.9
IDCJAC0003,054038,2012,04,16.2
IDCJAC0003,054038,2012,05,13.6
IDCJAC0003,054038,2012,06,10.1
IDCJAC0003,054038,2012,07,11.5
IDCJAC0003,054038,2012,08,16.2
IDCJAC0003,054038,2012,09,19.7
IDCJAC0003,054038,2012,10,23.9
IDCJAC0003,054038,2012,11,25.3
IDCJAC0003,054038,2012,12,29.0
IDCJAC0003,054038,2013,01,28.0
IDCJAC0003,054038,2013,02,24.6
IDCJAC0003,054038,2013,03,20.8
IDCJAC0003,054038,2013,04,17.5
IDCJAC0003,054038,2013,05,12.6
IDCJAC0003,054038,2013,06,9.5
IDCJAC0003,054038,2013,07,11.9
IDCJAC0003,054038,2013,08,15.9
IDCJAC0003,054038,2013,09,20.4
IDCJAC0003,054038,2013,10,23.8
IDCJAC0003,054038,2013,11,24.2
IDCJAC0003,054038,2013,12,28.2
IDCJAC0003,054038,2014,01,27.7
IDCJAC0003,054038,2014,02,22.7
IDCJAC0003,054038,2014,03,18.3
IDCJAC0003,054038,2014,04,16.1
IDCJAC0003,054038,2014,05,12.5
IDCJAC0003,054038,2014,06,11.1
IDCJAC0003,054038,2014,07,12.4
IDCJAC0003,054038,2014,08,14.1
IDCJAC0003,054038,2014,09,19.7
IDCJAC0003,054038,2014,10,24.3
IDCJAC0003,054038,2014,11,25.3
