Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,066037,1939,04,8.6,30,Y
IDCJAC0008,066037,1939,05,7.2,30,Y
IDCJAC0008,066037,1939,06,4.7,12,Y
IDCJAC0008,066037,1939,07,2.2,24,Y
IDCJAC0008,066037,1939,08,2.5,10,Y
IDCJAC0008,066037,1939,09,3.1,13,Y
IDCJAC0008,066037,1939,10,7.7,18,Y
IDCJAC0008,066037,1939,11,7.2,09,Y
IDCJAC0008,066037,1939,12,10.2,06,Y
IDCJAC0008,066037,1940,01,12.2,09,Y
IDCJAC0008,066037,1940,02,13.7,06,Y
IDCJAC0008,066037,1940,03,12.9,22,Y
IDCJAC0008,066037,1940,04,8.3,16,Y
IDCJAC0008,066037,1940,05,6.6,25,Y
IDCJAC0008,066037,1940,06,3.4,22,Y
IDCJAC0008,066037,1940,07,2.7,19,Y
IDCJAC0008,066037,1940,08,3.0,15,Y
IDCJAC0008,066037,1940,09,4.5,05,Y
IDCJAC0008,066037,1940,10,7.7,04,Y
IDCJAC0008,066037,1940,11,8.3,06,Y
IDCJAC0008,066037,1940,12,13.3,22,Y
IDCJAC0008,066037,1941,01,14.4,20,Y
IDCJAC0008,066037,1941,02,13.3,27,Y
IDCJAC0008,066037,1941,03,10.0,24,Y
IDCJAC0008,066037,1941,04,7.8,28,Y
IDCJAC0008,066037,1941,05,6.1,26,Y
IDCJAC0008,066037,1941,06,3.9,14,Y
IDCJAC0008,066037,1941,07,3.0,27,Y
IDCJAC0008,066037,1941,08,2.4,10,Y
IDCJAC0008,066037,1941,09,5.8,12,Y
IDCJAC0008,066037,1941,10,7.2,03,Y
IDCJAC0008,066037,1941,11,12.1,02,Y
IDCJAC0008,066037,1941,12,11.2,06,Y
IDCJAC0008,066037,1942,01,11.7,27,Y
IDCJAC0008,066037,1942,02,14.0,05,Y
IDCJAC0008,066037,1942,03,13.4,19,Y
IDCJAC0008,066037,1942,04,8.4,05,Y
IDCJAC0008,066037,1942,05,6.6,30,Y
IDCJAC0008,066037,1942,06,4.1,26,Y
IDCJAC0008,066037,1942,07,2.7,07,Y
IDCJAC0008,066037,1942,08,4.6,07,Y
IDCJAC0008,066037,1942,09,5.5,08,Y
IDCJAC0008,066037,1942,10,5.8,13,Y
IDCJAC0008,066037,1942,11,10.8,07,Y
IDCJAC0008,066037,1942,12,10.0,04,Y
IDCJAC0008,066037,1943,01,9.8,19,Y
IDCJAC0008,066037,1943,02,13.9,23,Y
IDCJAC0008,066037,1943,03,13.3,08,Y
IDCJAC0008,066037,1943,04,7.8,09,Y
IDCJAC0008,066037,1943,05,8.1,20,Y
IDCJAC0008,066037,1943,06,2.8,24,Y
IDCJAC0008,066037,1943,07,-0.1,23,Y
IDCJAC0008,066037,1943,08,3.1,04,Y
IDCJAC0008,066037,1943,09,2.5,21,Y
IDCJAC0008,066037,1943,10,9.9,03,Y
IDCJAC0008,066037,1943,11,9.6,08,Y
IDCJAC0008,066037,1943,12,8.2,07,Y
IDCJAC0008,066037,1944,01,13.8,20,Y
IDCJAC0008,066037,1944,02,12.9,22,Y
IDCJAC0008,066037,1944,03,11.9,16,Y
IDCJAC0008,066037,1944,04,6.2,25,Y
IDCJAC0008,066037,1944,05,6.1,16,Y
IDCJAC0008,066037,1944,06,3.9,25,Y
IDCJAC0008,066037,1944,07,2.3,20,Y
IDCJAC0008,066037,1944,08,3.5,02,Y
IDCJAC0008,066037,1944,09,3.8,17,Y
IDCJAC0008,066037,1944,10,6.9,20,Y
IDCJAC0008,066037,1944,11,10.7,08,Y
IDCJAC0008,066037,1944,12,10.7,15,Y
IDCJAC0008,066037,1945,01,14.6,18,Y
IDCJAC0008,066037,1945,02,13.9,20,Y
IDCJAC0008,066037,1945,03,11.7,12,Y
IDCJAC0008,066037,1945,04,9.2,03,Y
IDCJAC0008,066037,1945,05,5.6,16,Y
IDCJAC0008,066037,1945,06,4.6,26,Y
IDCJAC0008,066037,1945,07,2.1,08,Y
IDCJAC0008,066037,1945,08,5.6,13,Y
IDCJAC0008,066037,1945,09,3.5,02,Y
IDCJAC0008,066037,1945,10,8.5,19,Y
IDCJAC0008,066037,1945,11,8.3,22,Y
IDCJAC0008,066037,1945,12,12.6,28,Y
IDCJAC0008,066037,1946,01,17.3,08,Y
IDCJAC0008,066037,1946,02,15.7,04,Y
IDCJAC0008,066037,1946,03,12.2,11,Y
IDCJAC0008,066037,1946,04,8.9,10,Y
IDCJAC0008,066037,1946,05,5.7,19,Y
IDCJAC0008,066037,1946,06,3.2,19,Y
IDCJAC0008,066037,1946,07,4.6,07,Y
IDCJAC0008,066037,1946,08,3.6,26,Y
IDCJAC0008,066037,1946,09,3.6,08,Y
IDCJAC0008,066037,1946,10,5.7,04,Y
IDCJAC0008,066037,1946,11,11.6,03,Y
IDCJAC0008,066037,1946,12,10.3,16,Y
IDCJAC0008,066037,1947,01,14.1,05,Y
IDCJAC0008,066037,1947,02,15.6,20,Y
IDCJAC0008,066037,1947,03,12.6,24,Y
IDCJAC0008,066037,1947,04,9.8,15,Y
IDCJAC0008,066037,1947,05,7.9,29,Y
IDCJAC0008,066037,1947,06,3.5,15,Y
IDCJAC0008,066037,1947,07,2.6,19,Y
IDCJAC0008,066037,1947,08,2.4,04,Y
IDCJAC0008,066037,1947,09,4.4,10,Y
IDCJAC0008,066037,1947,10,8.5,24,Y
IDCJAC0008,066037,1947,11,11.3,06,Y
IDCJAC0008,066037,1947,12,13.3,26,Y
IDCJAC0008,066037,1948,01,11.6,04,Y
IDCJAC0008,066037,1948,02,14.4,25,Y
IDCJAC0008,066037,1948,03,10.2,30,Y
IDCJAC0008,066037,1948,04,6.4,14,Y
IDCJAC0008,066037,1948,05,5.0,18,Y
IDCJAC0008,066037,1948,06,2.6,30,Y
IDCJAC0008,066037,1948,07,1.6,01,Y
IDCJAC0008,066037,1948,08,4.4,27,Y
IDCJAC0008,066037,1948,09,5.1,10,Y
IDCJAC0008,066037,1948,10,6.7,16,Y
IDCJAC0008,066037,1948,11,9.4,11,Y
IDCJAC0008,066037,1948,12,13.1,20,Y
IDCJAC0008,066037,1949,01,9.7,18,Y
IDCJAC0008,066037,1949,02,12.5,24,Y
