Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,069134,1991,11,8.3,17,Y
IDCJAC0008,069134,1991,12,6.2,01,Y
IDCJAC0008,069134,1992,01,11.0,30,Y
IDCJAC0008,069134,1992,02,10.0,26,Y
IDCJAC0008,069134,1992,03,10.4,19,Y
IDCJAC0008,069134,1992,04,6.5,26,Y
IDCJAC0008,069134,1992,05,2.2,25,Y
IDCJAC0008,069134,1992,06,-0.5,09,Y
IDCJAC0008,069134,1992,07,-1.0,27,Y
IDCJAC0008,069134,1992,08,-0.3,10,Y
IDCJAC0008,069134,1992,09,1.0,14,Y
IDCJAC0008,069134,1992,10,5.0,01,Y
IDCJAC0008,069134,1992,11,6.9,27,Y
IDCJAC0008,069134,1992,12,9.3,15,Y
IDCJAC0008,069134,1993,01,11.8,02,Y
IDCJAC0008,069134,1993,02,7.4,23,Y
IDCJAC0008,069134,1993,03,9.0,05,Y
IDCJAC0008,069134,1993,04,4.0,04,Y
IDCJAC0008,069134,1993,05,-1.0,17,Y
IDCJAC0008,069134,1993,06,0.0,25,Y
IDCJAC0008,069134,1993,07,1.0,22,Y
IDCJAC0008,069134,1993,08,0.5,06,Y
IDCJAC0008,069134,1993,09,2.5,04,Y
IDCJAC0008,069134,1993,10,1.9,11,Y
IDCJAC0008,069134,1993,11,5.5,05,Y
IDCJAC0008,069134,1993,12,8.3,27,Y
IDCJAC0008,069134,1994,01,8.0,22,Y
IDCJAC0008,069134,1994,02,12.6,13,Y
IDCJAC0008,069134,1994,03,7.8,18,Y
IDCJAC0008,069134,1994,04,7.2,08,Y
IDCJAC0008,069134,1994,05,2.8,20,Y
IDCJAC0008,069134,1994,06,1.9,22,Y
IDCJAC0008,069134,1994,07,-0.8,27,Y
IDCJAC0008,069134,1994,08,-1.0,16,Y
IDCJAC0008,069134,1994,09,1.3,22,Y
IDCJAC0008,069134,1994,10,0.0,30,Y
IDCJAC0008,069134,1994,11,1.0,04,Y
IDCJAC0008,069134,1994,12,6.1,11,Y
IDCJAC0008,069134,1995,01,9.4,22,Y
IDCJAC0008,069134,1995,02,10.5,02,Y
IDCJAC0008,069134,1995,03,8.6,14,Y
IDCJAC0008,069134,1995,04,4.6,08,Y
IDCJAC0008,069134,1995,05,4.5,27,Y
IDCJAC0008,069134,1995,06,0.4,24,Y
IDCJAC0008,069134,1995,07,-1.8,10,Y
IDCJAC0008,069134,1995,08,-1.4,09,Y
IDCJAC0008,069134,1995,09,1.4,06,Y
IDCJAC0008,069134,1995,10,4.9,10,Y
IDCJAC0008,069134,1995,11,5.7,01,Y
IDCJAC0008,069134,1995,12,6.6,13,Y
IDCJAC0008,069134,1996,01,10.4,27,Y
IDCJAC0008,069134,1996,02,9.0,12,Y
IDCJAC0008,069134,1996,03,7.5,21,Y
IDCJAC0008,069134,1996,04,4.9,20,Y
IDCJAC0008,069134,1996,05,2.6,31,Y
IDCJAC0008,069134,1996,06,0.8,09,Y
IDCJAC0008,069134,1996,07,-0.7,10,Y
IDCJAC0008,069134,1996,08,-0.7,20,Y
IDCJAC0008,069134,1996,09,2.4,22,Y
IDCJAC0008,069134,1996,10,3.9,21,Y
IDCJAC0008,069134,1996,11,3.8,11,Y
IDCJAC0008,069134,1996,12,9.1,09,Y
IDCJAC0008,069134,1997,01,9.6,08,Y
IDCJAC0008,069134,1997,02,13.5,05,Y
IDCJAC0008,069134,1997,03,11.0,23,Y
IDCJAC0008,069134,1997,04,5.0,08,Y
IDCJAC0008,069134,1997,05,1.5,31,Y
IDCJAC0008,069134,1997,06,0.9,16,Y
IDCJAC0008,069134,1997,07,-0.5,30,Y
IDCJAC0008,069134,1997,08,0.5,25,Y
IDCJAC0008,069134,1997,09,3.8,29,Y
IDCJAC0008,069134,1997,10,2.6,04,Y
IDCJAC0008,069134,1997,11,5.7,25,Y
IDCJAC0008,069134,1997,12,10.0,01,Y
IDCJAC0008,069134,1998,01,9.9,06,Y
IDCJAC0008,069134,1998,02,7.7,17,Y
IDCJAC0008,069134,1998,03,9.8,07,Y
IDCJAC0008,069134,1998,04,5.0,14,Y
IDCJAC0008,069134,1998,05,1.9,10,Y
IDCJAC0008,069134,1998,06,0.6,19,Y
IDCJAC0008,069134,1998,07,-0.7,12,Y
IDCJAC0008,069134,1998,08,0.4,01,Y
IDCJAC0008,069134,1998,09,3.1,17,Y
IDCJAC0008,069134,1998,10,2.2,08,Y
IDCJAC0008,069134,1998,11,7.0,04,Y
IDCJAC0008,069134,1998,12,10.0,06,Y
IDCJAC0008,069134,1999,01,14.4,15,Y
IDCJAC0008,069134,1999,02,10.7,19,Y
IDCJAC0008,069134,1999,03,7.8,30,Y
IDCJAC0008,069134,1999,04,4.6,26,Y
IDCJAC0008,069134,1999,05,0.8,17,Y
IDCJAC0008,069134,1999,06,1.2,17,Y
IDCJAC0008,069134,1999,07,0.7,24,Y
IDCJAC0008,069134,1999,08,1.5,05,Y
IDCJAC0008,069134,1999,09,2.2,19,Y
IDCJAC0008,069134,1999,10,5.8,20,Y
IDCJAC0008,069134,1999,11,5.2,11,Y
IDCJAC0008,069134,1999,12,7.5,20,Y
IDCJAC0008,069134,2000,01,7.9,24,Y
IDCJAC0008,069134,2000,02,12.9,16,Y
IDCJAC0008,069134,2000,03,7.1,24,Y
IDCJAC0008,069134,2000,04,1.1,23,Y
IDCJAC0008,069134,2000,05,0.4,19,Y
IDCJAC0008,069134,2000,06,-0.5,15,Y
IDCJAC0008,069134,2000,07,-0.4,28,Y
IDCJAC0008,069134,2000,08,2.0,21,Y
IDCJAC0008,069134,2000,09,3.4,13,Y
IDCJAC0008,069134,2000,10,4.0,02,Y
IDCJAC0008,069134,2000,11,10.2,02,Y
IDCJAC0008,069134,2000,12,6.8,02,Y
IDCJAC0008,069134,2001,01,10.6,11,Y
IDCJAC0008,069134,2001,02,10.9,17,Y
IDCJAC0008,069134,2001,03,8.0,27,Y
IDCJAC0008,069134,2001,04,3.0,13,Y
IDCJAC0008,069134,2001,05,1.1,25,Y
IDCJAC0008,069134,2001,06,-1.5,20,Y
IDCJAC0008,069134,2001,07,1.4,20,Y
IDCJAC0008,069134,2001,08,0.0,24,Y
IDCJAC0008,069134,2001,09,3.8,06,Y
IDCJAC0008,069134,2001,10,3.2,09,Y
IDCJAC0008,069134,2001,11,5.7,13,Y
IDCJAC0008,069134,2001,12,6.0,27,Y
IDCJAC0008,069134,2002,01,9.5,13,Y
IDCJAC0008,069134,2002,02,11.5,23,Y
IDCJAC0008,069134,2002,03,11.0,10,Y
IDCJAC0008,069134,2002,04,5.7,05,Y
IDCJAC0008,069134,2002,05,2.5,18,Y
IDCJAC0008,069134,2002,06,-0.8,27,Y
IDCJAC0008,069134,2002,07,-2.9,12,Y
IDCJAC0008,069134,2002,08,-1.6,24,Y
IDCJAC0008,069134,2002,09,-0.5,11,Y
