Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,069147,1998,02,9.0,24,Y
IDCJAC0008,069147,1998,03,8.0,25,Y
IDCJAC0008,069147,1998,04,6.0,15,Y
IDCJAC0008,069147,1998,05,3.0,27,Y
IDCJAC0008,069147,1998,06,1.0,29,Y
IDCJAC0008,069147,1998,07,0.0,17,Y
IDCJAC0008,069147,1998,08,1.0,01,Y
IDCJAC0008,069147,1998,09,2.0,07,Y
IDCJAC0008,069147,1998,10,3.0,09,Y
IDCJAC0008,069147,1998,11,5.0,04,Y
IDCJAC0008,069147,1998,12,7.0,06,Y
IDCJAC0008,069147,1999,01,14.0,14,Y
IDCJAC0008,069147,1999,02,8.0,27,Y
IDCJAC0008,069147,1999,03,6.0,08,Y
IDCJAC0008,069147,1999,04,4.0,26,Y
IDCJAC0008,069147,1999,05,-2.0,18,Y
IDCJAC0008,069147,1999,06,-1.0,06,Y
IDCJAC0008,069147,1999,07,-2.0,29,Y
IDCJAC0008,069147,1999,08,0.0,19,Y
IDCJAC0008,069147,1999,09,1.0,13,Y
IDCJAC0008,069147,1999,10,6.0,21,Y
IDCJAC0008,069147,1999,11,5.0,17,Y
IDCJAC0008,069147,1999,12,8.0,21,Y
IDCJAC0008,069147,2000,01,8.0,24,Y
IDCJAC0008,069147,2000,02,12.0,17,Y
IDCJAC0008,069147,2000,03,9.0,26,Y
IDCJAC0008,069147,2000,04,6.0,24,Y
IDCJAC0008,069147,2000,05,1.0,28,Y
IDCJAC0008,069147,2000,06,0.0,15,Y
IDCJAC0008,069147,2000,07,1.0,29,Y
IDCJAC0008,069147,2000,08,1.0,21,Y
IDCJAC0008,069147,2000,09,1.0,07,Y
IDCJAC0008,069147,2000,10,3.0,11,Y
IDCJAC0008,069147,2000,11,8.0,08,Y
IDCJAC0008,069147,2000,12,7.0,28,Y
IDCJAC0008,069147,2001,01,11.0,10,Y
IDCJAC0008,069147,2001,02,11.0,18,Y
IDCJAC0008,069147,2001,03,8.0,27,Y
IDCJAC0008,069147,2001,04,4.0,13,Y
IDCJAC0008,069147,2001,05,4.0,24,Y
IDCJAC0008,069147,2001,06,0.0,28,Y
IDCJAC0008,069147,2001,07,-2.0,13,Y
IDCJAC0008,069147,2001,08,1.0,25,Y
IDCJAC0008,069147,2001,09,4.0,27,Y
IDCJAC0008,069147,2001,10,4.0,21,Y
IDCJAC0008,069147,2001,11,6.0,08,Y
IDCJAC0008,069147,2001,12,8.0,26,Y
IDCJAC0008,069147,2002,01,9.0,11,Y
IDCJAC0008,069147,2002,02,11.0,23,Y
IDCJAC0008,069147,2002,03,7.0,22,Y
IDCJAC0008,069147,2002,04,7.0,05,Y
IDCJAC0008,069147,2002,05,5.0,30,Y
IDCJAC0008,069147,2002,06,-1.0,27,Y
IDCJAC0008,069147,2002,07,-1.0,22,Y
IDCJAC0008,069147,2002,08,0.0,26,Y
IDCJAC0008,069147,2002,09,1.0,10,Y
IDCJAC0008,069147,2002,10,4.0,28,Y
IDCJAC0008,069147,2002,11,2.0,05,Y
IDCJAC0008,069147,2002,12,7.0,11,Y
IDCJAC0008,069147,2003,01,9.0,23,Y
IDCJAC0008,069147,2003,02,8.0,18,Y
IDCJAC0008,069147,2003,03,7.0,21,Y
IDCJAC0008,069147,2003,04,8.0,08,Y
IDCJAC0008,069147,2003,05,5.0,30,Y
IDCJAC0008,069147,2003,06,1.0,14,Y
IDCJAC0008,069147,2003,07,0.0,29,Y
IDCJAC0008,069147,2003,08,0.0,02,Y
IDCJAC0008,069147,2003,09,0.0,05,Y
IDCJAC0008,069147,2003,10,3.0,30,Y
IDCJAC0008,069147,2003,11,4.0,02,Y
IDCJAC0008,069147,2003,12,9.0,28,Y
IDCJAC0008,069147,2004,01,7.0,09,Y
IDCJAC0008,069147,2004,02,11.0,27,Y
IDCJAC0008,069147,2004,03,8.0,02,Y
IDCJAC0008,069147,2004,04,7.0,29,Y
IDCJAC0008,069147,2004,05,2.0,30,Y
IDCJAC0008,069147,2004,06,-1.0,28,Y
IDCJAC0008,069147,2004,07,-2.0,07,Y
IDCJAC0008,069147,2004,08,1.0,16,Y
IDCJAC0008,069147,2004,09,2.0,07,Y
IDCJAC0008,069147,2004,10,4.0,17,Y
IDCJAC0008,069147,2004,11,5.0,14,Y
IDCJAC0008,069147,2004,12,8.0,31,Y
IDCJAC0008,069147,2005,01,9.0,17,Y
IDCJAC0008,069147,2005,02,9.0,17,Y
IDCJAC0008,069147,2005,03,9.0,31,Y
IDCJAC0008,069147,2005,04,6.0,20,Y
IDCJAC0008,069147,2005,05,3.0,28,Y
IDCJAC0008,069147,2005,06,1.0,17,Y
IDCJAC0008,069147,2005,07,0.0,22,Y
IDCJAC0008,069147,2005,08,0.0,24,Y
IDCJAC0008,069147,2005,09,2.0,16,Y
IDCJAC0008,069147,2005,10,4.0,12,Y
IDCJAC0008,069147,2005,11,8.0,18,Y
IDCJAC0008,069147,2005,12,8.0,11,Y
IDCJAC0008,069147,2006,01,11.0,05,Y
IDCJAC0008,069147,2006,02,10.0,27,Y
IDCJAC0008,069147,2006,03,10.0,20,Y
IDCJAC0008,069147,2006,04,4.0,17,Y
IDCJAC0008,069147,2006,05,4.0,28,Y
IDCJAC0008,069147,2006,06,2.0,30,Y
IDCJAC0008,069147,2006,07,1.0,12,Y
IDCJAC0008,069147,2006,08,-1.0,08,Y
IDCJAC0008,069147,2006,09,2.0,25,Y
IDCJAC0008,069147,2006,10,3.0,10,Y
IDCJAC0008,069147,2006,11,6.0,30,Y
IDCJAC0008,069147,2006,12,5.0,03,Y
IDCJAC0008,069147,2007,01,8.0,29,Y
IDCJAC0008,069147,2007,02,9.0,01,Y
IDCJAC0008,069147,2007,03,8.0,30,Y
IDCJAC0008,069147,2007,04,8.0,13,Y
IDCJAC0008,069147,2007,05,1.0,31,Y
IDCJAC0008,069147,2007,06,1.0,22,Y
IDCJAC0008,069147,2007,07,1.0,17,Y
IDCJAC0008,069147,2007,08,0.0,04,Y
IDCJAC0008,069147,2007,09,2.0,29,Y
IDCJAC0008,069147,2007,10,2.0,04,Y
IDCJAC0008,069147,2007,11,8.0,13,Y
IDCJAC0008,069147,2007,12,8.0,18,Y
IDCJAC0008,069147,2008,01,3.0,22,Y
IDCJAC0008,069147,2008,02,9.0,25,Y
IDCJAC0008,069147,2008,03,7.0,29,Y
IDCJAC0008,069147,2008,04,4.0,30,Y
IDCJAC0008,069147,2008,05,2.0,23,Y
IDCJAC0008,069147,2008,06,1.0,26,Y
IDCJAC0008,069147,2008,07,0.0,19,Y
IDCJAC0008,069147,2008,08,0.0,10,Y
IDCJAC0008,069147,2008,09,2.0,18,Y
IDCJAC0008,069147,2008,10,3.0,24,Y
IDCJAC0008,069147,2008,11,4.0,05,Y
IDCJAC0008,069147,2008,12,8.0,02,Y
IDCJAC0008,069147,2009,01,7.0,18,Y
IDCJAC0008,069147,2009,02,9.0,25,Y
IDCJAC0008,069147,2009,03,7.0,16,Y
IDCJAC0008,069147,2009,04,5.0,29,Y
IDCJAC0008,069147,2009,05,3.0,18,Y
IDCJAC0008,069147,2009,06,2.0,18,Y
IDCJAC0008,069147,2009,07,1.0,24,Y
IDCJAC0008,069147,2009,08,1.0,22,Y
IDCJAC0008,069147,2009,09,2.0,05,Y
IDCJAC0008,069147,2009,10,4.0,24,Y
IDCJAC0008,069147,2009,11,9.0,14,Y
IDCJAC0008,069147,2009,12,9.0,12,Y
IDCJAC0008,069147,2010,01,9.0,20,Y
IDCJAC0008,069147,2010,02,10.0,24,Y
IDCJAC0008,069147,2010,03,9.0,02,Y
IDCJAC0008,069147,2010,04,6.0,14,Y
IDCJAC0008,069147,2010,05,3.0,23,Y
IDCJAC0008,069147,2010,06,1.0,30,Y
IDCJAC0008,069147,2010,07,0.0,18,Y
IDCJAC0008,069147,2010,08,0.0,21,Y
IDCJAC0008,069147,2010,09,2.0,07,Y
IDCJAC0008,069147,2010,10,5.0,18,Y
IDCJAC0008,069147,2010,11,7.3,07,Y
IDCJAC0008,069147,2010,12,7.9,28,Y
IDCJAC0008,069147,2011,01,11.0,29,Y
IDCJAC0008,069147,2011,02,7.8,07,Y
IDCJAC0008,069147,2011,03,8.9,02,Y
IDCJAC0008,069147,2011,04,5.6,03,Y
IDCJAC0008,069147,2011,05,2.9,16,Y
IDCJAC0008,069147,2011,06,0.5,07,Y
IDCJAC0008,069147,2011,07,-0.8,10,Y
IDCJAC0008,069147,2011,08,3.5,15,Y
IDCJAC0008,069147,2011,09,2.0,07,Y
IDCJAC0008,069147,2011,10,3.9,12,Y
IDCJAC0008,069147,2011,11,8.2,04,Y
IDCJAC0008,069147,2011,12,6.5,03,Y
IDCJAC0008,069147,2012,01,11.5,14,Y
IDCJAC0008,069147,2012,02,12.5,11,Y
IDCJAC0008,069147,2012,03,5.7,24,Y
IDCJAC0008,069147,2012,04,4.9,30,Y
IDCJAC0008,069147,2012,05,2.8,23,Y
IDCJAC0008,069147,2012,06,0.7,24,Y
IDCJAC0008,069147,2012,07,0.9,09,Y
IDCJAC0008,069147,2012,08,0.6,07,Y
IDCJAC0008,069147,2012,09,0.2,02,Y
IDCJAC0008,069147,2012,10,3.6,02,Y
IDCJAC0008,069147,2012,11,6.2,17,Y
IDCJAC0008,069147,2012,12,7.5,05,Y
IDCJAC0008,069147,2013,01,8.4,15,Y
IDCJAC0008,069147,2013,02,11.7,14,Y
IDCJAC0008,069147,2013,03,8.3,30,Y
IDCJAC0008,069147,2013,04,6.4,24,Y
IDCJAC0008,069147,2013,05,3.4,20,Y
IDCJAC0008,069147,2013,06,1.5,09,Y
IDCJAC0008,069147,2013,07,-0.4,22,Y
IDCJAC0008,069147,2013,08,0.6,22,Y
IDCJAC0008,069147,2013,09,2.0,13,Y
IDCJAC0008,069147,2013,10,2.4,18,Y
IDCJAC0008,069147,2013,11,5.1,06,Y
IDCJAC0008,069147,2013,12,7.3,07,Y
IDCJAC0008,069147,2014,01,9.4,26,Y
IDCJAC0008,069147,2014,02,9.6,21,Y
IDCJAC0008,069147,2014,03,7.1,17,Y
IDCJAC0008,069147,2014,04,6.4,25,Y
IDCJAC0008,069147,2014,05,4.9,09,Y
IDCJAC0008,069147,2014,06,2.4,29,Y
IDCJAC0008,069147,2014,07,0.6,04,Y
IDCJAC0008,069147,2014,08,-0.6,04,Y
IDCJAC0008,069147,2014,09,4.3,22,Y
IDCJAC0008,069147,2014,10,3.9,16,Y
IDCJAC0008,069147,2014,11,5.4,03,Y
IDCJAC0008,069147,2014,12,9.3,20,Y
IDCJAC0008,069147,2015,01,12.5,19,Y
IDCJAC0008,069147,2015,02,11.5,03,Y
IDCJAC0008,069147,2015,03,6.3,27,Y
IDCJAC0008,069147,2015,04,7.2,29,Y
IDCJAC0008,069147,2015,05,2.0,26,Y
IDCJAC0008,069147,2015,06,0.5,22,Y
IDCJAC0008,069147,2015,07,0.6,09,Y
IDCJAC0008,069147,2015,08,0.0,18,Y
IDCJAC0008,069147,2015,09,1.6,02,Y
IDCJAC0008,069147,2015,10,7.0,02,Y
IDCJAC0008,069147,2015,11,8.3,15,Y
IDCJAC0008,069147,2015,12,7.4,03,Y
IDCJAC0008,069147,2016,01,11.3,17,Y
IDCJAC0008,069147,2016,02,13.2,09,Y
IDCJAC0008,069147,2016,03,10.0,23,Y
IDCJAC0008,069147,2016,04,7.6,27,Y
IDCJAC0008,069147,2016,05,3.4,03,Y
IDCJAC0008,069147,2016,06,1.6,14,Y
IDCJAC0008,069147,2016,07,1.1,24,Y
IDCJAC0008,069147,2016,08,1.4,24,Y
IDCJAC0008,069147,2016,09,3.8,28,Y
IDCJAC0008,069147,2016,10,2.6,14,Y
IDCJAC0008,069147,2016,11,4.8,02,Y
IDCJAC0008,069147,2016,12,8.5,10,Y
IDCJAC0008,069147,2017,01,9.4,19,Y
IDCJAC0008,069147,2017,02,9.0,21,Y
IDCJAC0008,069147,2017,03,11.6,31,Y
IDCJAC0008,069147,2017,04,6.2,10,Y
IDCJAC0008,069147,2017,05,3.7,17,Y
IDCJAC0008,069147,2017,06,2.1,25,Y
IDCJAC0008,069147,2017,07,-0.7,03,Y
