Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,040913,1999,12,16.0,26,Y
IDCJAC0008,040913,2000,01,17.0,11,Y
IDCJAC0008,040913,2000,02,17.0,20,Y
IDCJAC0008,040913,2000,03,18.0,06,Y
IDCJAC0008,040913,2000,04,15.0,23,Y
IDCJAC0008,040913,2000,05,7.0,31,Y
IDCJAC0008,040913,2000,06,6.0,07,Y
IDCJAC0008,040913,2000,07,3.0,28,Y
IDCJAC0008,040913,2000,08,6.0,24,Y
IDCJAC0008,040913,2000,09,7.0,01,Y
IDCJAC0008,040913,2000,10,13.0,15,Y
IDCJAC0008,040913,2000,11,14.0,09,Y
IDCJAC0008,040913,2000,12,17.0,06,Y
IDCJAC0008,040913,2001,01,17.0,02,Y
IDCJAC0008,040913,2001,02,18.0,21,Y
IDCJAC0008,040913,2001,03,18.0,31,Y
IDCJAC0008,040913,2001,04,13.0,24,Y
IDCJAC0008,040913,2001,05,7.0,29,Y
IDCJAC0008,040913,2001,06,6.0,16,Y
IDCJAC0008,040913,2001,07,3.0,08,Y
IDCJAC0008,040913,2001,08,5.0,21,Y
IDCJAC0008,040913,2001,09,8.0,03,Y
IDCJAC0008,040913,2001,10,13.0,23,Y
IDCJAC0008,040913,2001,11,13.0,13,Y
IDCJAC0008,040913,2001,12,17.0,17,Y
IDCJAC0008,040913,2002,01,18.0,20,Y
IDCJAC0008,040913,2002,02,19.0,10,Y
IDCJAC0008,040913,2002,03,17.0,30,Y
IDCJAC0008,040913,2002,04,14.0,22,Y
IDCJAC0008,040913,2002,05,8.0,31,Y
IDCJAC0008,040913,2002,06,5.0,28,Y
IDCJAC0008,040913,2002,07,5.0,13,Y
IDCJAC0008,040913,2002,08,7.0,14,Y
IDCJAC0008,040913,2002,09,10.0,12,Y
IDCJAC0008,040913,2002,10,12.0,15,Y
IDCJAC0008,040913,2002,11,16.0,21,Y
IDCJAC0008,040913,2002,12,14.0,12,Y
IDCJAC0008,040913,2003,01,17.0,08,Y
IDCJAC0008,040913,2003,02,19.6,02,Y
IDCJAC0008,040913,2003,03,16.4,03,Y
IDCJAC0008,040913,2003,04,14.2,19,Y
IDCJAC0008,040913,2003,05,9.1,25,Y
IDCJAC0008,040913,2003,06,6.4,17,Y
IDCJAC0008,040913,2003,07,3.5,25,Y
IDCJAC0008,040913,2003,08,6.3,01,Y
IDCJAC0008,040913,2003,09,9.0,03,Y
IDCJAC0008,040913,2003,10,10.7,12,Y
IDCJAC0008,040913,2003,11,13.2,05,Y
IDCJAC0008,040913,2003,12,17.0,07,Y
IDCJAC0008,040913,2004,01,17.9,31,Y
IDCJAC0008,040913,2004,02,16.5,01,Y
IDCJAC0008,040913,2004,03,16.9,26,Y
IDCJAC0008,040913,2004,04,14.3,11,Y
IDCJAC0008,040913,2004,05,6.6,31,Y
IDCJAC0008,040913,2004,06,5.6,30,Y
IDCJAC0008,040913,2004,07,3.6,08,Y
IDCJAC0008,040913,2004,08,5.0,09,Y
IDCJAC0008,040913,2004,09,9.3,05,Y
IDCJAC0008,040913,2004,10,13.0,06,Y
IDCJAC0008,040913,2004,11,14.4,01,Y
IDCJAC0008,040913,2004,12,15.8,29,Y
IDCJAC0008,040913,2005,01,17.9,12,Y
IDCJAC0008,040913,2005,02,18.3,15,Y
IDCJAC0008,040913,2005,03,15.4,27,Y
IDCJAC0008,040913,2005,04,14.5,29,Y
IDCJAC0008,040913,2005,05,10.1,29,Y
IDCJAC0008,040913,2005,06,6.4,24,Y
IDCJAC0008,040913,2005,07,6.2,17,Y
IDCJAC0008,040913,2005,08,6.6,11,Y
IDCJAC0008,040913,2005,09,8.9,15,Y
IDCJAC0008,040913,2005,10,13.1,10,Y
IDCJAC0008,040913,2005,11,16.2,18,Y
IDCJAC0008,040913,2005,12,16.1,04,Y
IDCJAC0008,040913,2006,01,20.5,01,Y
IDCJAC0008,040913,2006,02,18.8,09,Y
IDCJAC0008,040913,2006,03,17.3,26,Y
IDCJAC0008,040913,2006,04,11.4,08,Y
IDCJAC0008,040913,2006,05,5.0,31,Y
IDCJAC0008,040913,2006,06,5.9,01,Y
IDCJAC0008,040913,2006,07,6.8,18,Y
IDCJAC0008,040913,2006,08,6.1,03,Y
IDCJAC0008,040913,2006,09,11.3,20,Y
IDCJAC0008,040913,2006,10,13.1,12,Y
IDCJAC0008,040913,2006,11,10.8,17,Y
IDCJAC0008,040913,2006,12,15.3,29,Y
IDCJAC0008,040913,2007,01,17.5,06,Y
IDCJAC0008,040913,2007,02,18.4,19,Y
IDCJAC0008,040913,2007,03,16.5,29,Y
IDCJAC0008,040913,2007,04,12.7,30,Y
IDCJAC0008,040913,2007,05,12.0,23,Y
IDCJAC0008,040913,2007,06,6.6,22,Y
IDCJAC0008,040913,2007,07,3.8,19,Y
IDCJAC0008,040913,2007,08,5.4,06,Y
IDCJAC0008,040913,2007,09,11.1,24,Y
IDCJAC0008,040913,2007,10,13.3,20,Y
IDCJAC0008,040913,2007,11,15.3,14,Y
IDCJAC0008,040913,2007,12,17.7,03,Y
IDCJAC0008,040913,2008,01,17.6,04,Y
IDCJAC0008,040913,2008,02,18.5,15,Y
IDCJAC0008,040913,2008,03,12.2,30,Y
IDCJAC0008,040913,2008,04,10.0,30,Y
IDCJAC0008,040913,2008,05,8.6,20,Y
IDCJAC0008,040913,2008,06,8.0,15,Y
IDCJAC0008,040913,2008,07,3.7,31,Y
IDCJAC0008,040913,2008,08,4.1,12,Y
IDCJAC0008,040913,2008,09,11.0,28,Y
IDCJAC0008,040913,2008,10,10.6,23,Y
IDCJAC0008,040913,2008,11,13.8,24,Y
IDCJAC0008,040913,2008,12,17.0,01,Y
IDCJAC0008,040913,2009,01,18.6,12,Y
IDCJAC0008,040913,2009,02,19.2,28,Y
IDCJAC0008,040913,2009,03,17.3,27,Y
IDCJAC0008,040913,2009,04,12.1,29,Y
IDCJAC0008,040913,2009,05,9.0,16,Y
IDCJAC0008,040913,2009,06,5.5,12,Y
IDCJAC0008,040913,2009,07,6.2,15,Y
IDCJAC0008,040913,2009,08,8.2,09,Y
IDCJAC0008,040913,2009,09,8.5,01,Y
IDCJAC0008,040913,2009,10,11.8,08,Y
IDCJAC0008,040913,2009,11,14.2,02,Y
IDCJAC0008,040913,2009,12,17.1,04,Y
IDCJAC0008,040913,2010,01,17.3,19,Y
IDCJAC0008,040913,2010,02,19.6,26,Y
IDCJAC0008,040913,2010,03,17.2,20,Y
IDCJAC0008,040913,2010,04,13.0,30,Y
IDCJAC0008,040913,2010,05,9.7,14,Y
IDCJAC0008,040913,2010,06,7.3,28,Y
IDCJAC0008,040913,2010,07,6.7,04,Y
IDCJAC0008,040913,2010,08,6.1,14,Y
IDCJAC0008,040913,2010,09,11.6,08,Y
IDCJAC0008,040913,2010,10,9.7,17,Y
IDCJAC0008,040913,2010,11,14.9,03,Y
IDCJAC0008,040913,2010,12,14.7,21,Y
IDCJAC0008,040913,2011,01,18.8,23,Y
IDCJAC0008,040913,2011,02,18.2,23,Y
IDCJAC0008,040913,2011,03,16.3,25,Y
IDCJAC0008,040913,2011,04,15.3,10,Y
IDCJAC0008,040913,2011,05,7.9,13,Y
IDCJAC0008,040913,2011,06,5.9,20,Y
IDCJAC0008,040913,2011,07,5.6,13,Y
IDCJAC0008,040913,2011,08,5.3,09,Y
IDCJAC0008,040913,2011,09,7.0,11,Y
IDCJAC0008,040913,2011,10,10.6,04,Y
IDCJAC0008,040913,2011,11,15.8,07,Y
IDCJAC0008,040913,2011,12,15.8,03,Y
IDCJAC0008,040913,2012,01,17.4,04,Y
IDCJAC0008,040913,2012,02,19.6,16,Y
IDCJAC0008,040913,2012,03,16.8,27,Y
IDCJAC0008,040913,2012,04,11.6,26,Y
IDCJAC0008,040913,2012,05,8.1,15,Y
IDCJAC0008,040913,2012,06,8.2,21,Y
IDCJAC0008,040913,2012,07,6.0,03,Y
IDCJAC0008,040913,2012,08,4.1,03,Y
IDCJAC0008,040913,2012,09,7.3,02,Y
IDCJAC0008,040913,2012,10,8.8,13,Y
IDCJAC0008,040913,2012,11,14.1,13,Y
IDCJAC0008,040913,2012,12,17.3,15,Y
IDCJAC0008,040913,2013,01,19.8,07,Y
IDCJAC0008,040913,2013,02,19.0,04,Y
IDCJAC0008,040913,2013,03,17.5,19,Y
IDCJAC0008,040913,2013,04,12.0,21,Y
IDCJAC0008,040913,2013,05,8.3,20,Y
IDCJAC0008,040913,2013,06,5.7,25,Y
IDCJAC0008,040913,2013,07,7.9,24,Y
IDCJAC0008,040913,2013,08,6.0,23,Y
IDCJAC0008,040913,2013,09,10.9,21,Y
IDCJAC0008,040913,2013,10,12.7,05,Y
IDCJAC0008,040913,2013,11,14.5,07,Y
IDCJAC0008,040913,2013,12,15.0,07,Y
IDCJAC0008,040913,2014,01,19.1,15,Y
IDCJAC0008,040913,2014,02,19.0,04,Y
IDCJAC0008,040913,2014,03,18.0,06,Y
IDCJAC0008,040913,2014,04,14.5,30,Y
IDCJAC0008,040913,2014,05,8.5,05,Y
IDCJAC0008,040913,2014,06,5.2,30,Y
IDCJAC0008,040913,2014,07,2.6,12,Y
IDCJAC0008,040913,2014,08,9.0,07,Y
IDCJAC0008,040913,2014,09,9.1,05,Y
IDCJAC0008,040913,2014,10,12.7,23,Y
IDCJAC0008,040913,2014,11,15.3,04,Y
IDCJAC0008,040913,2014,12,17.5,16,Y
IDCJAC0008,040913,2015,01,19.5,28,Y
IDCJAC0008,040913,2015,02,19.5,16,Y
IDCJAC0008,040913,2015,03,17.8,15,Y
IDCJAC0008,040913,2015,04,11.1,27,Y
IDCJAC0008,040913,2015,05,8.1,15,Y
IDCJAC0008,040913,2015,06,7.0,05,Y
IDCJAC0008,040913,2015,07,5.4,15,Y
IDCJAC0008,040913,2015,08,6.1,06,Y
IDCJAC0008,040913,2015,09,7.2,02,Y
IDCJAC0008,040913,2015,10,12.9,06,Y
IDCJAC0008,040913,2015,11,16.1,18,Y
IDCJAC0008,040913,2015,12,16.9,05,Y
IDCJAC0008,040913,2016,01,18.0,17,Y
IDCJAC0008,040913,2016,02,19.8,25,Y
IDCJAC0008,040913,2016,03,19.0,23,Y
IDCJAC0008,040913,2016,04,15.9,16,Y
IDCJAC0008,040913,2016,05,9.3,12,Y
IDCJAC0008,040913,2016,06,6.6,26,Y
IDCJAC0008,040913,2016,07,7.2,03,Y
IDCJAC0008,040913,2016,08,9.1,26,Y
IDCJAC0008,040913,2016,09,10.4,28,Y
IDCJAC0008,040913,2016,10,12.1,05,Y
IDCJAC0008,040913,2016,11,13.0,02,Y
IDCJAC0008,040913,2016,12,17.8,13,Y
IDCJAC0008,040913,2017,01,19.3,09,Y
IDCJAC0008,040913,2017,02,19.6,28,Y
IDCJAC0008,040913,2017,03,19.5,10,Y
IDCJAC0008,040913,2017,04,13.0,28,Y
IDCJAC0008,040913,2017,05,11.2,31,Y
IDCJAC0008,040913,2017,06,9.4,08,Y
IDCJAC0008,040913,2017,07,5.9,24,Y
IDCJAC0008,040913,2017,08,7.5,28,Y
IDCJAC0008,040913,2017,09,8.2,06,Y
IDCJAC0008,040913,2017,10,13.9,22,Y
IDCJAC0008,040913,2017,11,14.6,13,Y
IDCJAC0008,040913,2017,12,17.4,07,Y
IDCJAC0008,040913,2018,01,17.4,19,Y
IDCJAC0008,040913,2018,02,17.8,04,Y
IDCJAC0008,040913,2018,03,18.3,12,Y
IDCJAC0008,040913,2018,04,14.9,30,Y
IDCJAC0008,040913,2018,05,8.3,31,Y
IDCJAC0008,040913,2018,06,6.9,16,Y
IDCJAC0008,040913,2018,07,5.2,15,Y
IDCJAC0008,040913,2018,08,5.2,22,Y
IDCJAC0008,040913,2018,09,12.1,11,Y
