Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,054038,2001,07,-1.0,18,Y
IDCJAC0008,054038,2001,08,0.0,24,Y
IDCJAC0008,054038,2001,09,4.0,10,Y
IDCJAC0008,054038,2001,10,4.0,20,Y
IDCJAC0008,054038,2001,11,6.0,13,Y
IDCJAC0008,054038,2001,12,11.0,28,Y
IDCJAC0008,054038,2002,01,10.0,04,Y
IDCJAC0008,054038,2002,02,11.0,09,Y
IDCJAC0008,054038,2002,03,11.0,02,Y
IDCJAC0008,054038,2002,04,9.0,21,Y
IDCJAC0008,054038,2002,05,-1.0,30,Y
IDCJAC0008,054038,2002,06,-3.0,30,Y
IDCJAC0008,054038,2002,07,-6.0,02,Y
IDCJAC0008,054038,2002,08,-3.0,14,Y
IDCJAC0008,054038,2002,09,2.0,11,Y
IDCJAC0008,054038,2002,10,4.0,01,Y
IDCJAC0008,054038,2002,11,9.0,05,Y
IDCJAC0008,054038,2002,12,11.0,07,Y
IDCJAC0008,054038,2003,01,15.0,02,Y
IDCJAC0008,054038,2003,02,17.0,10,Y
IDCJAC0008,054038,2003,03,7.0,23,Y
IDCJAC0008,054038,2003,04,9.0,08,Y
IDCJAC0008,054038,2003,05,0.0,23,Y
IDCJAC0008,054038,2003,06,0.9,16,Y
IDCJAC0008,054038,2003,07,-2.5,29,Y
IDCJAC0008,054038,2003,08,-2.8,01,Y
IDCJAC0008,054038,2003,09,0.1,02,Y
IDCJAC0008,054038,2003,10,2.3,11,Y
IDCJAC0008,054038,2003,11,4.3,02,Y
IDCJAC0008,054038,2003,12,12.2,08,Y
IDCJAC0008,054038,2004,01,12.4,31,Y
IDCJAC0008,054038,2004,02,12.5,28,Y
IDCJAC0008,054038,2004,03,12.1,28,Y
IDCJAC0008,054038,2004,04,1.9,25,Y
IDCJAC0008,054038,2004,05,-1.5,30,Y
IDCJAC0008,054038,2004,06,-2.7,29,Y
IDCJAC0008,054038,2004,07,-2.7,19,Y
IDCJAC0008,054038,2004,08,-2.3,11,Y
IDCJAC0008,054038,2004,09,-0.1,13,Y
IDCJAC0008,054038,2004,10,5.3,09,Y
IDCJAC0008,054038,2004,11,9.3,14,Y
IDCJAC0008,054038,2004,12,15.8,06,Y
IDCJAC0008,054038,2005,01,12.3,08,Y
IDCJAC0008,054038,2005,02,9.2,03,Y
IDCJAC0008,054038,2005,03,8.5,28,Y
IDCJAC0008,054038,2005,04,8.0,27,Y
IDCJAC0008,054038,2005,05,-0.4,28,Y
IDCJAC0008,054038,2005,06,1.5,18,Y
IDCJAC0008,054038,2005,07,1.1,29,Y
IDCJAC0008,054038,2005,08,-1.4,12,Y
IDCJAC0008,054038,2005,09,1.6,13,Y
IDCJAC0008,054038,2005,10,4.6,10,Y
IDCJAC0008,054038,2005,11,9.1,12,Y
IDCJAC0008,054038,2005,12,10.7,19,Y
IDCJAC0008,054038,2006,01,18.0,30,Y
IDCJAC0008,054038,2006,02,12.3,11,Y
IDCJAC0008,054038,2006,03,10.1,27,Y
IDCJAC0008,054038,2006,04,2.1,23,Y
IDCJAC0008,054038,2006,05,-3.0,24,Y
IDCJAC0008,054038,2006,06,-3.2,16,Y
IDCJAC0008,054038,2006,07,-3.6,09,Y
IDCJAC0008,054038,2006,08,-1.2,14,Y
IDCJAC0008,054038,2006,09,2.1,09,Y
IDCJAC0008,054038,2006,10,6.5,01,Y
IDCJAC0008,054038,2006,11,6.2,18,Y
IDCJAC0008,054038,2006,12,10.3,27,Y
IDCJAC0008,054038,2007,01,13.2,29,Y
IDCJAC0008,054038,2007,02,16.3,11,Y
IDCJAC0008,054038,2007,03,7.7,31,Y
IDCJAC0008,054038,2007,04,6.1,23,Y
IDCJAC0008,054038,2007,05,4.3,24,Y
IDCJAC0008,054038,2007,06,0.5,16,Y
IDCJAC0008,054038,2007,07,-4.1,17,Y
IDCJAC0008,054038,2007,08,-0.8,07,Y
IDCJAC0008,054038,2007,09,1.0,18,Y
IDCJAC0008,054038,2007,10,5.7,14,Y
IDCJAC0008,054038,2007,11,8.5,05,Y
IDCJAC0008,054038,2007,12,12.6,23,Y
IDCJAC0008,054038,2008,01,15.8,28,Y
IDCJAC0008,054038,2008,02,12.9,09,Y
IDCJAC0008,054038,2008,03,4.1,30,Y
IDCJAC0008,054038,2008,04,0.3,30,Y
IDCJAC0008,054038,2008,05,2.3,06,Y
IDCJAC0008,054038,2008,06,0.2,29,Y
IDCJAC0008,054038,2008,07,-1.5,31,Y
IDCJAC0008,054038,2008,08,-3.6,12,Y
IDCJAC0008,054038,2008,09,1.6,11,Y
IDCJAC0008,054038,2008,10,3.7,23,Y
IDCJAC0008,054038,2008,11,7.7,23,Y
IDCJAC0008,054038,2008,12,10.5,16,Y
IDCJAC0008,054038,2009,01,15.0,01,Y
IDCJAC0008,054038,2009,02,13.1,28,Y
IDCJAC0008,054038,2009,03,9.6,07,Y
IDCJAC0008,054038,2009,04,2.3,30,Y
IDCJAC0008,054038,2009,05,1.8,15,Y
IDCJAC0008,054038,2009,06,-2.4,11,Y
IDCJAC0008,054038,2009,07,-1.5,04,Y
IDCJAC0008,054038,2009,08,-1.3,03,Y
IDCJAC0008,054038,2009,09,0.3,28,Y
IDCJAC0008,054038,2009,10,2.1,08,Y
IDCJAC0008,054038,2009,11,12.9,10,Y
IDCJAC0008,054038,2009,12,12.3,12,Y
IDCJAC0008,054038,2010,01,8.4,19,Y
IDCJAC0008,054038,2010,02,16.5,26,Y
IDCJAC0008,054038,2010,03,12.0,18,Y
IDCJAC0008,054038,2010,04,5.2,27,Y
IDCJAC0008,054038,2010,05,-1.4,13,Y
IDCJAC0008,054038,2010,06,-3.2,30,Y
IDCJAC0008,054038,2010,07,-0.8,04,Y
IDCJAC0008,054038,2010,08,-1.8,07,Y
IDCJAC0008,054038,2010,09,1.4,18,Y
IDCJAC0008,054038,2010,10,4.4,18,Y
IDCJAC0008,054038,2010,11,6.1,03,Y
IDCJAC0008,054038,2010,12,12.4,22,Y
IDCJAC0008,054038,2011,01,15.6,23,Y
IDCJAC0008,054038,2011,02,14.5,24,Y
IDCJAC0008,054038,2011,03,10.6,26,Y
