Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,031209,2000,07,27.0,26,Y
IDCJAC0005,031209,2000,08,33.0,24,Y
IDCJAC0005,031209,2000,09,33.0,02,Y
IDCJAC0005,031209,2000,10,35.0,31,Y
IDCJAC0005,031209,2000,11,38.0,03,Y
IDCJAC0005,031209,2000,12,32.0,28,Y
IDCJAC0005,031209,2001,01,37.0,19,Y
IDCJAC0005,031209,2001,02,35.0,02,Y
IDCJAC0005,031209,2001,03,33.0,05,Y
IDCJAC0005,031209,2001,04,30.0,26,Y
IDCJAC0005,031209,2001,05,29.0,18,Y
IDCJAC0005,031209,2001,06,29.0,16,Y
IDCJAC0005,031209,2001,07,29.0,26,Y
IDCJAC0005,031209,2001,08,29.0,31,Y
IDCJAC0005,031209,2001,09,31.0,02,Y
IDCJAC0005,031209,2001,10,35.0,18,Y
IDCJAC0005,031209,2001,11,35.0,20,Y
IDCJAC0005,031209,2001,12,38.0,09,Y
IDCJAC0005,031209,2002,01,36.0,31,Y
IDCJAC0005,031209,2002,02,36.0,02,Y
IDCJAC0005,031209,2002,03,33.0,31,Y
IDCJAC0005,031209,2002,04,31.0,23,Y
IDCJAC0005,031209,2002,05,29.0,30,Y
IDCJAC0005,031209,2002,06,31.0,17,Y
IDCJAC0005,031209,2002,07,28.0,10,Y
IDCJAC0005,031209,2002,08,28.0,23,Y
IDCJAC0005,031209,2002,09,30.2,29,Y
IDCJAC0005,031209,2002,10,38.0,24,Y
IDCJAC0005,031209,2002,11,36.3,30,Y
IDCJAC0005,031209,2002,12,38.3,01,Y
IDCJAC0005,031209,2003,01,32.7,03,Y
IDCJAC0005,031209,2003,02,34.2,24,Y
IDCJAC0005,031209,2003,03,32.8,02,Y
IDCJAC0005,031209,2003,04,31.4,17,Y
IDCJAC0005,031209,2003,05,29.2,01,Y
IDCJAC0005,031209,2003,06,29.2,04,Y
IDCJAC0005,031209,2003,07,30.4,01,Y
IDCJAC0005,031209,2003,08,32.8,01,Y
IDCJAC0005,031209,2003,09,36.3,15,Y
IDCJAC0005,031209,2003,10,37.0,29,Y
IDCJAC0005,031209,2003,11,35.2,24,Y
IDCJAC0005,031209,2003,12,36.8,06,Y
IDCJAC0005,031209,2004,01,36.7,08,Y
IDCJAC0005,031209,2004,02,35.7,23,Y
IDCJAC0005,031209,2004,03,34.1,23,Y
IDCJAC0005,031209,2004,04,30.2,03,Y
IDCJAC0005,031209,2004,05,29.0,09,Y
IDCJAC0005,031209,2004,06,27.8,06,Y
IDCJAC0005,031209,2004,07,26.7,11,Y
IDCJAC0005,031209,2004,08,28.9,15,Y
IDCJAC0005,031209,2004,09,30.0,01,Y
IDCJAC0005,031209,2004,10,31.2,20,Y
IDCJAC0005,031209,2004,11,32.7,20,Y
