Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,031108,1968,08,33.9,29,Y
IDCJAC0005,031108,1968,09,31.3,26,Y
IDCJAC0005,031108,1968,10,34.2,25,Y
IDCJAC0005,031108,1968,11,36.7,30,Y
IDCJAC0005,031108,1968,12,34.8,02,Y
IDCJAC0005,031108,1969,01,33.4,16,Y
IDCJAC0005,031108,1969,02,33.6,12,Y
IDCJAC0005,031108,1969,03,30.2,12,Y
IDCJAC0005,031108,1969,04,30.6,15,Y
IDCJAC0005,031108,1969,05,28.8,29,Y
IDCJAC0005,031108,1969,06,28.0,09,Y
IDCJAC0005,031108,1969,07,25.7,21,Y
IDCJAC0005,031108,1969,08,27.2,29,Y
IDCJAC0005,031108,1969,09,33.4,15,Y
IDCJAC0005,031108,1969,10,35.8,31,Y
IDCJAC0005,031108,1969,11,37.1,29,Y
IDCJAC0005,031108,1969,12,37.2,04,Y
IDCJAC0005,031108,1970,01,34.9,19,Y
IDCJAC0005,031108,1970,02,32.6,17,Y
IDCJAC0005,031108,1970,03,34.1,11,Y
IDCJAC0005,031108,1970,04,30.3,04,Y
IDCJAC0005,031108,1970,05,27.8,06,Y
IDCJAC0005,031108,1970,06,29.4,03,Y
IDCJAC0005,031108,1970,07,24.6,27,Y
IDCJAC0005,031108,1970,08,31.0,28,Y
IDCJAC0005,031108,1970,09,31.6,10,Y
IDCJAC0005,031108,1970,10,33.7,31,Y
IDCJAC0005,031108,1970,11,33.3,03,Y
IDCJAC0005,031108,1970,12,33.2,13,Y
IDCJAC0005,031108,1971,01,35.8,05,Y
IDCJAC0005,031108,1971,02,34.9,03,Y
IDCJAC0005,031108,1971,03,28.9,06,Y
IDCJAC0005,031108,1971,04,27.6,28,Y
IDCJAC0005,031108,1971,05,27.8,30,Y
IDCJAC0005,031108,1971,06,26.9,03,Y
IDCJAC0005,031108,1971,07,26.6,16,Y
IDCJAC0005,031108,1971,08,32.3,29,Y
IDCJAC0005,031108,1971,09,33.6,26,Y
IDCJAC0005,031108,1971,10,36.1,22,Y
IDCJAC0005,031108,1971,11,38.2,19,Y
IDCJAC0005,031108,1971,12,35.8,01,Y
IDCJAC0005,031108,1972,01,33.4,01,Y
IDCJAC0005,031108,1972,02,32.0,12,Y
IDCJAC0005,031108,1972,03,29.6,22,Y
IDCJAC0005,031108,1972,04,29.8,03,Y
IDCJAC0005,031108,1972,05,25.1,13,Y
IDCJAC0005,031108,1972,06,26.2,30,Y
IDCJAC0005,031108,1972,07,26.7,20,Y
IDCJAC0005,031108,1972,08,29.6,12,Y
IDCJAC0005,031108,1972,09,28.4,30,Y
IDCJAC0005,031108,1972,10,35.6,07,Y
IDCJAC0005,031108,1972,11,36.4,04,Y
IDCJAC0005,031108,1972,12,34.0,24,Y
IDCJAC0005,031108,1973,01,36.2,05,Y
IDCJAC0005,031108,1973,02,32.8,14,Y
IDCJAC0005,031108,1973,03,31.0,01,Y
IDCJAC0005,031108,1973,04,28.1,20,Y
IDCJAC0005,031108,1973,05,30.5,02,Y
IDCJAC0005,031108,1973,06,28.8,08,Y
IDCJAC0005,031108,1973,07,28.0,06,Y
IDCJAC0005,031108,1973,08,29.0,28,Y
IDCJAC0005,031108,1973,09,31.5,24,Y
IDCJAC0005,031108,1973,10,34.0,11,Y
IDCJAC0005,031108,1973,11,32.0,01,Y
IDCJAC0005,031108,1973,12,33.4,06,Y
IDCJAC0005,031108,1974,01,30.3,12,Y
IDCJAC0005,031108,1974,02,30.9,06,Y
IDCJAC0005,031108,1974,03,32.5,13,Y
IDCJAC0005,031108,1974,04,29.0,29,Y
IDCJAC0005,031108,1974,05,28.1,23,Y
IDCJAC0005,031108,1974,06,26.4,26,Y
IDCJAC0005,031108,1974,07,27.8,19,Y
IDCJAC0005,031108,1974,08,29.2,02,Y
IDCJAC0005,031108,1974,09,31.7,24,Y
IDCJAC0005,031108,1974,10,31.7,13,Y
IDCJAC0005,031108,1974,11,34.6,26,Y
IDCJAC0005,031108,1974,12,35.6,20,Y
IDCJAC0005,031108,1975,01,32.3,06,Y
IDCJAC0005,031108,1975,02,29.5,28,Y
IDCJAC0005,031108,1975,03,30.3,13,Y
IDCJAC0005,031108,1975,04,29.5,01,Y
IDCJAC0005,031108,1975,05,27.7,01,Y
IDCJAC0005,031108,1975,06,29.3,26,Y
IDCJAC0005,031108,1975,07,27.0,14,Y
IDCJAC0005,031108,1975,08,30.0,12,Y
IDCJAC0005,031108,1975,09,30.4,02,Y
IDCJAC0005,031108,1975,10,33.7,12,Y
IDCJAC0005,031108,1975,11,36.8,23,Y
IDCJAC0005,031108,1975,12,30.9,18,Y
IDCJAC0005,031108,1976,01,33.0,26,Y
IDCJAC0005,031108,1976,02,31.4,22,Y
IDCJAC0005,031108,1976,03,30.7,07,Y
IDCJAC0005,031108,1976,04,28.3,28,Y
IDCJAC0005,031108,1976,05,26.5,11,Y
IDCJAC0005,031108,1976,06,27.0,29,Y
