Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,054038,2001,07,21.0,22,Y
IDCJAC0005,054038,2001,08,23.0,16,Y
IDCJAC0005,054038,2001,09,29.0,25,Y
IDCJAC0005,054038,2001,10,33.0,29,Y
IDCJAC0005,054038,2001,11,33.0,24,Y
IDCJAC0005,054038,2001,12,40.0,21,Y
IDCJAC0005,054038,2002,01,39.0,02,Y
IDCJAC0005,054038,2002,02,38.0,01,Y
IDCJAC0005,054038,2002,03,40.0,20,Y
IDCJAC0005,054038,2002,04,31.0,26,Y
IDCJAC0005,054038,2002,05,27.0,10,Y
IDCJAC0005,054038,2002,06,26.0,07,Y
IDCJAC0005,054038,2002,07,24.0,29,Y
IDCJAC0005,054038,2002,08,28.0,31,Y
IDCJAC0005,054038,2002,09,32.0,25,Y
IDCJAC0005,054038,2002,10,39.0,19,Y
IDCJAC0005,054038,2002,11,41.0,10,Y
IDCJAC0005,054038,2002,12,40.0,03,Y
IDCJAC0005,054038,2003,01,43.0,19,Y
IDCJAC0005,054038,2003,02,39.0,14,Y
IDCJAC0005,054038,2003,03,33.0,26,Y
IDCJAC0005,054038,2003,04,29.0,13,Y
IDCJAC0005,054038,2003,05,27.0,19,Y
IDCJAC0005,054038,2003,06,23.9,01,Y
IDCJAC0005,054038,2003,07,21.5,23,Y
IDCJAC0005,054038,2003,08,26.5,13,Y
IDCJAC0005,054038,2003,09,34.9,23,Y
IDCJAC0005,054038,2003,10,33.3,28,Y
IDCJAC0005,054038,2003,11,38.0,20,Y
IDCJAC0005,054038,2003,12,41.1,26,Y
IDCJAC0005,054038,2004,01,43.5,07,Y
IDCJAC0005,054038,2004,02,42.8,21,Y
IDCJAC0005,054038,2004,03,38.9,09,Y
IDCJAC0005,054038,2004,04,32.2,02,Y
IDCJAC0005,054038,2004,05,26.1,18,Y
IDCJAC0005,054038,2004,06,23.8,14,Y
IDCJAC0005,054038,2004,07,23.0,04,Y
IDCJAC0005,054038,2004,08,27.7,29,Y
IDCJAC0005,054038,2004,09,33.4,28,Y
IDCJAC0005,054038,2004,10,36.0,14,Y
IDCJAC0005,054038,2004,11,38.5,29,Y
IDCJAC0005,054038,2004,12,35.6,23,Y
IDCJAC0005,054038,2005,01,39.8,22,Y
IDCJAC0005,054038,2005,02,40.3,02,Y
IDCJAC0005,054038,2005,03,35.7,03,Y
IDCJAC0005,054038,2005,04,33.1,19,Y
IDCJAC0005,054038,2005,05,26.8,09,Y
IDCJAC0005,054038,2005,06,23.8,10,Y
IDCJAC0005,054038,2005,07,21.0,07,Y
IDCJAC0005,054038,2005,08,25.3,31,Y
IDCJAC0005,054038,2005,09,30.1,24,Y
IDCJAC0005,054038,2005,10,34.6,06,Y
IDCJAC0005,054038,2005,11,36.7,20,Y
IDCJAC0005,054038,2005,12,40.0,24,Y
IDCJAC0005,054038,2006,01,41.4,12,Y
IDCJAC0005,054038,2006,02,42.9,02,Y
IDCJAC0005,054038,2006,03,35.8,07,Y
IDCJAC0005,054038,2006,04,32.2,12,Y
IDCJAC0005,054038,2006,05,26.3,20,Y
IDCJAC0005,054038,2006,06,22.2,09,Y
IDCJAC0005,054038,2006,07,23.4,12,Y
IDCJAC0005,054038,2006,08,25.8,22,Y
IDCJAC0005,054038,2006,09,33.9,23,Y
IDCJAC0005,054038,2006,10,35.6,15,Y
IDCJAC0005,054038,2006,11,42.1,29,Y
IDCJAC0005,054038,2006,12,36.6,14,Y
IDCJAC0005,054038,2007,01,41.3,13,Y
IDCJAC0005,054038,2007,02,39.7,06,Y
IDCJAC0005,054038,2007,03,37.1,03,Y
IDCJAC0005,054038,2007,04,31.9,17,Y
IDCJAC0005,054038,2007,05,29.7,04,Y
IDCJAC0005,054038,2007,06,21.8,02,Y
IDCJAC0005,054038,2007,07,22.0,27,Y
IDCJAC0005,054038,2007,08,25.9,30,Y
IDCJAC0005,054038,2007,09,32.3,26,Y
IDCJAC0005,054038,2007,10,35.9,03,Y
IDCJAC0005,054038,2007,11,33.7,20,Y
IDCJAC0005,054038,2007,12,36.7,08,Y
IDCJAC0005,054038,2008,01,38.1,13,Y
IDCJAC0005,054038,2008,02,37.9,22,Y
IDCJAC0005,054038,2008,03,34.6,13,Y
IDCJAC0005,054038,2008,04,30.0,13,Y
IDCJAC0005,054038,2008,05,26.1,11,Y
IDCJAC0005,054038,2008,06,23.4,01,Y
IDCJAC0005,054038,2008,07,23.4,20,Y
IDCJAC0005,054038,2008,08,25.6,30,Y
IDCJAC0005,054038,2008,09,31.4,28,Y
IDCJAC0005,054038,2008,10,38.0,31,Y
IDCJAC0005,054038,2008,11,34.6,14,Y
IDCJAC0005,054038,2008,12,36.6,11,Y
IDCJAC0005,054038,2009,01,39.7,16,Y
IDCJAC0005,054038,2009,02,42.4,09,Y
IDCJAC0005,054038,2009,03,35.7,01,Y
