Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,070351,2008,09,16.6,23,Y
IDCJAC0006,070351,2008,10,15.3,22,Y
IDCJAC0006,070351,2008,11,13.0,22,Y
IDCJAC0006,070351,2008,12,19.8,14,Y
IDCJAC0006,070351,2009,01,21.9,09,Y
IDCJAC0006,070351,2009,02,16.9,12,Y
IDCJAC0006,070351,2009,03,21.7,15,Y
IDCJAC0006,070351,2009,04,11.1,27,Y
IDCJAC0006,070351,2009,05,12.7,29,Y
IDCJAC0006,070351,2009,06,4.1,12,Y
IDCJAC0006,070351,2009,07,9.0,06,Y
IDCJAC0006,070351,2009,08,10.9,25,Y
IDCJAC0006,070351,2009,09,9.2,27,Y
IDCJAC0006,070351,2009,10,11.0,07,Y
IDCJAC0006,070351,2009,11,18.5,23,Y
IDCJAC0006,070351,2009,12,18.2,26,Y
IDCJAC0006,070351,2010,01,20.7,18,Y
IDCJAC0006,070351,2010,02,19.5,13,Y
IDCJAC0006,070351,2010,03,20.1,02,Y
IDCJAC0006,070351,2010,04,14.2,27,Y
IDCJAC0006,070351,2010,05,12.4,30,Y
IDCJAC0006,070351,2010,06,7.7,09,Y
IDCJAC0006,070351,2010,07,7.1,02,Y
IDCJAC0006,070351,2010,08,7.9,11,Y
IDCJAC0006,070351,2010,09,12.4,05,Y
IDCJAC0006,070351,2010,10,11.3,16,Y
IDCJAC0006,070351,2010,11,13.4,04,Y
IDCJAC0006,070351,2010,12,17.7,20,Y
IDCJAC0006,070351,2011,01,20.1,03,Y
IDCJAC0006,070351,2011,02,21.3,16,Y
IDCJAC0006,070351,2011,03,19.7,26,Y
IDCJAC0006,070351,2011,04,14.1,12,Y
IDCJAC0006,070351,2011,05,10.7,11,Y
IDCJAC0006,070351,2011,06,8.2,08,Y
IDCJAC0006,070351,2011,07,7.0,24,Y
IDCJAC0006,070351,2011,08,9.5,18,Y
IDCJAC0006,070351,2011,09,12.6,29,Y
IDCJAC0006,070351,2011,10,13.9,26,Y
IDCJAC0006,070351,2011,11,16.2,25,Y
IDCJAC0006,070351,2011,12,18.2,06,Y
IDCJAC0006,070351,2012,01,18.6,11,Y
IDCJAC0006,070351,2012,02,17.4,03,Y
IDCJAC0006,070351,2012,03,16.6,03,Y
IDCJAC0006,070351,2012,04,11.7,24,Y
IDCJAC0006,070351,2012,05,9.8,25,Y
IDCJAC0006,070351,2012,06,9.3,26,Y
IDCJAC0006,070351,2012,07,10.3,10,Y
IDCJAC0006,070351,2012,08,9.2,24,Y
IDCJAC0006,070351,2012,09,11.3,07,Y
IDCJAC0006,070351,2012,10,8.6,11,Y
IDCJAC0006,070351,2012,11,18.6,03,Y
IDCJAC0006,070351,2012,12,18.2,25,Y
IDCJAC0006,070351,2013,01,22.8,14,Y
IDCJAC0006,070351,2013,02,19.7,28,Y
IDCJAC0006,070351,2013,03,18.3,02,Y
IDCJAC0006,070351,2013,04,14.9,19,Y
IDCJAC0006,070351,2013,05,11.2,26,Y
IDCJAC0006,070351,2013,06,10.0,24,Y
IDCJAC0006,070351,2013,07,8.0,02,Y
IDCJAC0006,070351,2013,08,10.2,20,Y
IDCJAC0006,070351,2013,09,13.6,16,Y
IDCJAC0006,070351,2013,10,15.6,14,Y
IDCJAC0006,070351,2013,11,11.9,10,Y
IDCJAC0006,070351,2013,12,17.4,05,Y
IDCJAC0006,070351,2014,01,24.5,09,Y
IDCJAC0006,070351,2014,02,18.4,28,Y
IDCJAC0006,070351,2014,03,17.6,24,Y
IDCJAC0006,070351,2014,04,15.5,04,Y
IDCJAC0006,070351,2014,05,11.7,03,Y
IDCJAC0006,070351,2014,06,8.5,24,Y
IDCJAC0006,070351,2014,07,7.0,09,Y
IDCJAC0006,070351,2014,08,8.4,01,Y
IDCJAC0006,070351,2014,09,11.9,02,Y
IDCJAC0006,070351,2014,10,8.7,14,Y
IDCJAC0006,070351,2014,11,18.0,16,Y
IDCJAC0006,070351,2014,12,22.2,12,Y
IDCJAC0006,070351,2015,01,18.3,27,Y
IDCJAC0006,070351,2015,02,21.8,04,Y
IDCJAC0006,070351,2015,03,20.3,27,Y
IDCJAC0006,070351,2015,04,13.8,21,Y
IDCJAC0006,070351,2015,05,11.8,13,Y
IDCJAC0006,070351,2015,06,10.7,18,Y
IDCJAC0006,070351,2015,07,7.3,05,Y
IDCJAC0006,070351,2015,08,7.5,12,Y
IDCJAC0006,070351,2015,09,12.8,24,Y
IDCJAC0006,070351,2015,10,16.7,23,Y
IDCJAC0006,070351,2015,11,15.3,14,Y
IDCJAC0006,070351,2015,12,22.4,26,Y
IDCJAC0006,070351,2016,01,17.1,05,Y
IDCJAC0006,070351,2016,02,22.1,01,Y
IDCJAC0006,070351,2016,03,19.6,18,Y
IDCJAC0006,070351,2016,04,19.0,22,Y
IDCJAC0006,070351,2016,05,11.9,28,Y
IDCJAC0006,070351,2016,06,7.8,30,Y
IDCJAC0006,070351,2016,07,7.1,13,Y
IDCJAC0006,070351,2016,08,10.1,02,Y
IDCJAC0006,070351,2016,09,10.5,02,Y
IDCJAC0006,070351,2016,10,13.8,22,Y
IDCJAC0006,070351,2016,11,17.6,05,Y
IDCJAC0006,070351,2016,12,14.8,15,Y
IDCJAC0006,070351,2017,01,23.7,19,Y
IDCJAC0006,070351,2017,02,21.7,20,Y
IDCJAC0006,070351,2017,03,19.9,23,Y
IDCJAC0006,070351,2017,04,13.5,26,Y
IDCJAC0006,070351,2017,05,11.0,31,Y
IDCJAC0006,070351,2017,06,9.9,15,Y
IDCJAC0006,070351,2017,07,8.8,31,Y
IDCJAC0006,070351,2017,08,9.5,04,Y
IDCJAC0006,070351,2017,09,9.6,05,Y
IDCJAC0006,070351,2017,10,17.7,31,Y
IDCJAC0006,070351,2017,11,14.6,06,Y
IDCJAC0006,070351,2017,12,15.7,04,Y
IDCJAC0006,070351,2018,01,20.4,14,Y
IDCJAC0006,070351,2018,02,17.1,25,Y
IDCJAC0006,070351,2018,03,17.6,26,Y
IDCJAC0006,070351,2018,04,18.2,15,Y
IDCJAC0006,070351,2018,05,12.3,11,Y
IDCJAC0006,070351,2018,06,8.5,17,Y
IDCJAC0006,070351,2018,07,10.1,15,Y
IDCJAC0006,070351,2018,08,9.7,07,Y
IDCJAC0006,070351,2018,09,13.4,08,Y
