Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,031209,2000,07,22.0,28,Y
IDCJAC0006,031209,2000,08,25.0,17,Y
IDCJAC0006,031209,2000,09,27.0,18,Y
IDCJAC0006,031209,2000,10,29.0,05,Y
IDCJAC0006,031209,2000,11,29.0,29,Y
IDCJAC0006,031209,2000,12,27.0,12,Y
IDCJAC0006,031209,2001,01,28.0,07,Y
IDCJAC0006,031209,2001,02,25.0,24,Y
IDCJAC0006,031209,2001,03,29.0,31,Y
IDCJAC0006,031209,2001,04,28.0,19,Y
IDCJAC0006,031209,2001,05,26.0,30,Y
IDCJAC0006,031209,2001,06,24.0,22,Y
IDCJAC0006,031209,2001,07,25.0,30,Y
IDCJAC0006,031209,2001,08,24.0,10,Y
IDCJAC0006,031209,2001,09,28.0,30,Y
IDCJAC0006,031209,2001,10,29.0,27,Y
IDCJAC0006,031209,2001,11,30.0,30,Y
IDCJAC0006,031209,2001,12,31.0,19,Y
IDCJAC0006,031209,2002,01,31.0,27,Y
IDCJAC0006,031209,2002,02,31.0,25,Y
IDCJAC0006,031209,2002,03,29.0,20,Y
IDCJAC0006,031209,2002,04,29.0,30,Y
IDCJAC0006,031209,2002,05,23.0,14,Y
IDCJAC0006,031209,2002,06,23.0,30,Y
IDCJAC0006,031209,2002,07,25.0,24,Y
IDCJAC0006,031209,2002,08,25.0,29,Y
IDCJAC0006,031209,2002,09,26.0,14,Y
IDCJAC0006,031209,2002,10,28.3,02,Y
IDCJAC0006,031209,2002,11,29.8,14,Y
IDCJAC0006,031209,2002,12,30.5,23,Y
IDCJAC0006,031209,2003,01,29.6,18,Y
IDCJAC0006,031209,2003,02,30.8,27,Y
IDCJAC0006,031209,2003,03,26.9,12,Y
IDCJAC0006,031209,2003,04,28.2,25,Y
IDCJAC0006,031209,2003,05,27.4,06,Y
IDCJAC0006,031209,2003,06,25.3,18,Y
IDCJAC0006,031209,2003,07,25.1,18,Y
IDCJAC0006,031209,2003,08,23.8,02,Y
IDCJAC0006,031209,2003,09,26.9,07,Y
IDCJAC0006,031209,2003,10,29.3,14,Y
IDCJAC0006,031209,2003,11,30.0,14,Y
IDCJAC0006,031209,2003,12,28.2,29,Y
IDCJAC0006,031209,2004,01,29.9,15,Y
IDCJAC0006,031209,2004,02,29.2,06,Y
IDCJAC0006,031209,2004,03,27.1,18,Y
IDCJAC0006,031209,2004,04,25.2,17,Y
IDCJAC0006,031209,2004,05,26.1,29,Y
IDCJAC0006,031209,2004,06,23.1,18,Y
IDCJAC0006,031209,2004,07,23.1,20,Y
IDCJAC0006,031209,2004,08,24.7,13,Y
IDCJAC0006,031209,2004,09,26.4,03,Y
IDCJAC0006,031209,2004,10,26.5,15,Y
IDCJAC0006,031209,2004,11,29.6,24,Y
IDCJAC0006,031209,2004,12,29.0,31,Y
IDCJAC0006,031209,2005,01,28.7,20,Y
IDCJAC0006,031209,2005,02,30.4,15,Y
