Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,069134,1991,11,17.8,30,Y
IDCJAC0006,069134,1991,12,18.5,12,Y
IDCJAC0006,069134,1992,01,19.1,08,Y
IDCJAC0006,069134,1992,02,17.8,24,Y
IDCJAC0006,069134,1992,03,19.0,22,Y
IDCJAC0006,069134,1992,04,17.7,22,Y
IDCJAC0006,069134,1992,05,16.1,22,Y
IDCJAC0006,069134,1992,06,13.2,15,Y
IDCJAC0006,069134,1992,07,13.3,20,Y
IDCJAC0006,069134,1992,08,13.3,29,Y
IDCJAC0006,069134,1992,09,15.2,19,Y
IDCJAC0006,069134,1992,10,16.0,21,Y
IDCJAC0006,069134,1992,11,17.0,29,Y
IDCJAC0006,069134,1992,12,17.9,15,Y
IDCJAC0006,069134,1993,01,18.5,06,Y
IDCJAC0006,069134,1993,02,21.1,10,Y
IDCJAC0006,069134,1993,03,21.1,12,Y
IDCJAC0006,069134,1993,04,18.7,25,Y
IDCJAC0006,069134,1993,05,16.0,15,Y
IDCJAC0006,069134,1993,06,13.5,12,Y
IDCJAC0006,069134,1993,07,10.7,23,Y
IDCJAC0006,069134,1993,08,14.9,04,Y
IDCJAC0006,069134,1993,09,14.0,13,Y
IDCJAC0006,069134,1993,10,16.1,11,Y
IDCJAC0006,069134,1993,11,17.3,10,Y
IDCJAC0006,069134,1993,12,19.2,05,Y
IDCJAC0006,069134,1994,01,20.4,14,Y
IDCJAC0006,069134,1994,02,19.7,18,Y
IDCJAC0006,069134,1994,03,20.2,17,Y
IDCJAC0006,069134,1994,04,14.7,12,Y
IDCJAC0006,069134,1994,05,15.1,09,Y
IDCJAC0006,069134,1994,06,12.5,27,Y
IDCJAC0006,069134,1994,07,14.8,22,Y
IDCJAC0006,069134,1994,08,14.4,19,Y
IDCJAC0006,069134,1994,09,14.9,07,Y
IDCJAC0006,069134,1994,10,14.5,20,Y
IDCJAC0006,069134,1994,11,16.2,13,Y
IDCJAC0006,069134,1994,12,16.5,08,Y
IDCJAC0006,069134,1995,01,17.9,02,Y
IDCJAC0006,069134,1995,02,19.7,10,Y
IDCJAC0006,069134,1995,03,19.0,28,Y
IDCJAC0006,069134,1995,04,16.2,27,Y
IDCJAC0006,069134,1995,05,15.9,30,Y
IDCJAC0006,069134,1995,06,11.9,15,Y
IDCJAC0006,069134,1995,07,12.0,21,Y
IDCJAC0006,069134,1995,08,15.1,05,Y
IDCJAC0006,069134,1995,09,13.8,25,Y
IDCJAC0006,069134,1995,10,12.5,21,Y
