Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,014015,1941,02,28.8,23,Y
IDCJAC0006,014015,1941,03,28.2,26,Y
IDCJAC0006,014015,1941,04,31.0,18,Y
IDCJAC0006,014015,1941,05,26.6,25,Y
IDCJAC0006,014015,1941,06,26.7,23,Y
IDCJAC0006,014015,1941,07,27.9,24,Y
IDCJAC0006,014015,1941,08,26.9,21,Y
IDCJAC0006,014015,1941,09,28.1,22,Y
IDCJAC0006,014015,1941,10,29.4,12,Y
IDCJAC0006,014015,1941,11,29.1,14,Y
IDCJAC0006,014015,1941,12,30.1,02,Y
IDCJAC0006,014015,1942,01,26.9,02,Y
IDCJAC0006,014015,1942,02,28.1,02,Y
IDCJAC0006,014015,1942,03,29.4,26,Y
IDCJAC0006,014015,1942,04,32.0,17,Y
IDCJAC0006,014015,1942,05,31.1,23,Y
IDCJAC0006,014015,1942,06,30.7,04,Y
IDCJAC0006,014015,1942,07,30.1,31,Y
IDCJAC0006,014015,1942,08,30.1,14,Y
IDCJAC0006,014015,1942,09,31.1,05,Y
IDCJAC0006,014015,1942,10,31.6,30,Y
IDCJAC0006,014015,1942,11,30.0,24,Y
IDCJAC0006,014015,1942,12,27.8,08,Y
IDCJAC0006,014015,1943,01,30.5,11,Y
IDCJAC0006,014015,1943,02,27.0,27,Y
IDCJAC0006,014015,1943,03,27.1,08,Y
IDCJAC0006,014015,1943,04,28.2,13,Y
IDCJAC0006,014015,1943,05,28.4,23,Y
IDCJAC0006,014015,1943,06,26.2,16,Y
IDCJAC0006,014015,1943,07,26.9,23,Y
IDCJAC0006,014015,1943,08,27.8,28,Y
IDCJAC0006,014015,1943,09,28.3,08,Y
IDCJAC0006,014015,1943,10,30.4,04,Y
IDCJAC0006,014015,1943,11,30.9,01,Y
IDCJAC0006,014015,1943,12,29.3,28,Y
IDCJAC0006,014015,1944,01,27.4,27,Y
IDCJAC0006,014015,1944,02,27.6,09,Y
IDCJAC0006,014015,1944,03,27.1,04,Y
IDCJAC0006,014015,1944,04,30.1,02,Y
IDCJAC0006,014015,1944,05,28.8,16,Y
IDCJAC0006,014015,1944,06,27.6,20,Y
IDCJAC0006,014015,1944,07,25.7,08,Y
IDCJAC0006,014015,1944,08,29.6,30,Y
IDCJAC0006,014015,1944,09,30.3,10,Y
IDCJAC0006,014015,1944,10,31.4,01,Y
IDCJAC0006,014015,1944,11,30.0,20,Y
IDCJAC0006,014015,1944,12,29.0,27,Y
IDCJAC0006,014015,1945,01,28.0,28,Y
IDCJAC0006,014015,1945,02,29.7,25,Y
IDCJAC0006,014015,1945,03,26.1,08,Y
IDCJAC0006,014015,1945,04,27.7,01,Y
IDCJAC0006,014015,1945,05,28.7,10,Y
IDCJAC0006,014015,1945,06,28.4,14,Y
IDCJAC0006,014015,1945,07,24.9,16,Y
IDCJAC0006,014015,1945,08,29.8,10,Y
IDCJAC0006,014015,1945,09,31.0,30,Y
IDCJAC0006,014015,1945,10,29.8,26,Y
IDCJAC0006,014015,1945,11,30.1,28,Y
IDCJAC0006,014015,1945,12,26.4,21,Y
IDCJAC0006,014015,1946,01,28.2,29,Y
IDCJAC0006,014015,1946,02,27.6,07,Y
IDCJAC0006,014015,1946,06,25.6,28,Y
IDCJAC0006,014015,1946,07,27.4,21,Y
IDCJAC0006,014015,1946,08,28.9,18,Y
IDCJAC0006,014015,1946,09,29.4,14,Y
IDCJAC0006,014015,1946,10,30.9,19,Y
IDCJAC0006,014015,1946,11,30.3,06,Y
