Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,066037,1939,04,16.1,19,Y
IDCJAC0006,066037,1939,05,16.5,31,Y
IDCJAC0006,066037,1939,06,13.2,29,Y
IDCJAC0006,066037,1939,07,13.1,02,Y
IDCJAC0006,066037,1939,08,12.6,11,Y
IDCJAC0006,066037,1939,09,13.8,12,Y
IDCJAC0006,066037,1939,10,15.6,09,Y
IDCJAC0006,066037,1939,11,19.4,22,Y
IDCJAC0006,066037,1939,12,19.5,09,Y
IDCJAC0006,066037,1940,01,20.0,13,Y
IDCJAC0006,066037,1940,02,21.0,20,Y
IDCJAC0006,066037,1940,03,22.1,21,Y
IDCJAC0006,066037,1940,04,18.4,27,Y
IDCJAC0006,066037,1940,05,15.1,20,Y
IDCJAC0006,066037,1940,06,14.2,21,Y
IDCJAC0006,066037,1940,07,13.2,07,Y
IDCJAC0006,066037,1940,08,14.7,03,Y
IDCJAC0006,066037,1940,09,13.8,03,Y
IDCJAC0006,066037,1940,10,15.6,01,Y
IDCJAC0006,066037,1940,11,17.6,16,Y
IDCJAC0006,066037,1940,12,19.4,10,Y
IDCJAC0006,066037,1941,01,20.4,27,Y
IDCJAC0006,066037,1941,02,18.9,26,Y
IDCJAC0006,066037,1941,03,18.9,10,Y
IDCJAC0006,066037,1941,04,16.1,27,Y
IDCJAC0006,066037,1941,05,14.5,25,Y
IDCJAC0006,066037,1941,06,13.0,12,Y
IDCJAC0006,066037,1941,07,13.2,11,Y
IDCJAC0006,066037,1941,08,12.4,15,Y
IDCJAC0006,066037,1941,09,14.2,06,Y
IDCJAC0006,066037,1941,10,13.8,01,Y
IDCJAC0006,066037,1941,11,16.2,07,Y
IDCJAC0006,066037,1941,12,19.3,10,Y
IDCJAC0006,066037,1942,01,19.3,31,Y
IDCJAC0006,066037,1942,02,19.5,03,Y
IDCJAC0006,066037,1942,03,17.4,19,Y
IDCJAC0006,066037,1942,04,16.9,14,Y
IDCJAC0006,066037,1942,05,17.1,08,Y
IDCJAC0006,066037,1942,06,14.1,02,Y
IDCJAC0006,066037,1942,07,13.2,30,Y
IDCJAC0006,066037,1942,08,14.1,06,Y
