Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,031108,1977,06,18.1,02,Y
IDCJAC0006,031108,1977,07,18.6,02,Y
IDCJAC0006,031108,1977,08,20.8,15,Y
IDCJAC0006,031108,1977,09,21.6,26,Y
IDCJAC0006,031108,1977,10,23.9,10,Y
IDCJAC0006,031108,1977,11,24.9,26,Y
IDCJAC0006,031108,1977,12,24.5,22,Y
IDCJAC0006,031108,1978,01,25.7,14,Y
IDCJAC0006,031108,1978,02,24.6,26,Y
IDCJAC0006,031108,1978,03,25.2,14,Y
IDCJAC0006,031108,1978,04,23.3,29,Y
IDCJAC0006,031108,1978,05,19.3,13,Y
IDCJAC0006,031108,1978,06,20.0,13,Y
IDCJAC0006,031108,1978,07,20.6,05,Y
IDCJAC0006,031108,1978,08,20.4,04,Y
IDCJAC0006,031108,1978,09,23.6,16,Y
IDCJAC0006,031108,1978,10,22.1,09,Y
IDCJAC0006,031108,1978,11,25.5,26,Y
IDCJAC0006,031108,1978,12,25.3,08,Y
IDCJAC0006,031108,1979,01,22.3,03,Y
IDCJAC0006,031108,1979,02,25.0,02,Y
IDCJAC0006,031108,1979,03,24.9,14,Y
IDCJAC0006,031108,1979,04,21.3,14,Y
IDCJAC0006,031108,1979,05,20.2,16,Y
IDCJAC0006,031108,1979,06,18.5,19,Y
IDCJAC0006,031108,1979,07,18.4,16,Y
IDCJAC0006,031108,1979,08,19.1,15,Y
IDCJAC0006,031108,1979,09,21.9,03,Y
IDCJAC0006,031108,1979,10,24.5,03,Y
IDCJAC0006,031108,1979,11,25.7,04,Y
IDCJAC0006,031108,1979,12,26.9,30,Y
IDCJAC0006,031108,1980,01,27.4,06,Y
IDCJAC0006,031108,1980,02,27.4,14,Y
IDCJAC0006,031108,1980,03,25.3,17,Y
IDCJAC0006,031108,1980,04,23.6,30,Y
IDCJAC0006,031108,1980,05,22.0,22,Y
IDCJAC0006,031108,1980,06,20.6,23,Y
IDCJAC0006,031108,1980,07,21.4,23,Y
IDCJAC0006,031108,1980,08,21.0,11,Y
IDCJAC0006,031108,1980,09,25.2,29,Y
IDCJAC0006,031108,1980,10,25.3,05,Y
IDCJAC0006,031108,1980,11,27.2,11,Y
IDCJAC0006,031108,1980,12,26.2,20,Y
IDCJAC0006,031108,1981,01,22.0,11,Y
IDCJAC0006,031108,1981,02,23.3,26,Y
IDCJAC0006,031108,1981,03,25.6,26,Y
IDCJAC0006,031108,1981,04,23.7,27,Y
IDCJAC0006,031108,1981,05,17.5,21,Y
IDCJAC0006,031108,1981,06,21.2,22,Y
IDCJAC0006,031108,1981,07,19.8,11,Y
IDCJAC0006,031108,1981,08,22.8,03,Y
IDCJAC0006,031108,1981,09,21.5,07,Y
IDCJAC0006,031108,1981,10,23.5,06,Y
IDCJAC0006,031108,1981,11,25.1,08,Y
IDCJAC0006,031108,1981,12,27.1,16,Y
IDCJAC0006,031108,1982,01,26.2,28,Y
IDCJAC0006,031108,1982,02,26.1,06,Y
IDCJAC0006,031108,1982,03,25.7,25,Y
IDCJAC0006,031108,1982,04,21.6,30,Y
IDCJAC0006,031108,1982,05,19.3,01,Y
IDCJAC0006,031108,1982,06,19.0,05,Y
IDCJAC0006,031108,1982,07,19.7,15,Y
IDCJAC0006,031108,1982,08,17.9,09,Y
IDCJAC0006,031108,1982,09,22.6,02,Y
IDCJAC0006,031108,1982,10,23.5,02,Y
IDCJAC0006,031108,1982,11,24.5,04,Y
IDCJAC0006,031108,1982,12,25.5,24,Y
IDCJAC0006,031108,1983,01,27.9,27,Y
IDCJAC0006,031108,1983,02,28.0,21,Y
IDCJAC0006,031108,1983,03,23.7,07,Y
IDCJAC0006,031108,1983,04,24.0,28,Y
IDCJAC0006,031108,1983,05,20.4,12,Y
IDCJAC0006,031108,1983,06,19.9,12,Y
IDCJAC0006,031108,1983,07,17.5,09,Y
IDCJAC0006,031108,1983,08,17.6,05,Y
IDCJAC0006,031108,1983,09,23.9,01,Y
IDCJAC0006,031108,1983,10,25.5,09,Y
IDCJAC0006,031108,1983,11,26.5,25,Y
IDCJAC0006,031108,1983,12,26.0,09,Y
IDCJAC0006,031108,1984,01,27.8,11,Y
IDCJAC0006,031108,1984,02,23.7,26,Y
IDCJAC0006,031108,1984,03,25.0,04,Y
IDCJAC0006,031108,1984,04,21.5,30,Y
IDCJAC0006,031108,1984,05,22.4,31,Y
IDCJAC0006,031108,1984,06,20.0,30,Y
IDCJAC0006,031108,1984,07,20.8,01,Y
IDCJAC0006,031108,1984,08,22.0,02,Y
IDCJAC0006,031108,1984,09,27.0,03,Y
IDCJAC0006,031108,1984,10,23.4,08,Y
IDCJAC0006,031108,1984,11,25.8,26,Y
IDCJAC0006,031108,1984,12,25.8,25,Y
IDCJAC0006,031108,1985,01,24.2,16,Y
IDCJAC0006,031108,1985,02,25.5,20,Y
IDCJAC0006,031108,1985,03,22.5,30,Y
IDCJAC0006,031108,1985,04,24.2,29,Y
IDCJAC0006,031108,1985,05,19.4,21,Y
IDCJAC0006,031108,1985,06,18.6,07,Y
IDCJAC0006,031108,1985,07,18.5,26,Y
IDCJAC0006,031108,1985,08,20.0,02,Y
IDCJAC0006,031108,1985,09,20.2,07,Y
IDCJAC0006,031108,1985,10,23.3,01,Y
IDCJAC0006,031108,1985,11,27.1,12,Y
IDCJAC0006,031108,1985,12,26.7,04,Y
IDCJAC0006,031108,1986,01,21.7,30,Y
IDCJAC0006,031108,1986,02,22.5,01,Y
IDCJAC0006,031108,1986,03,25.0,05,Y
IDCJAC0006,031108,1986,04,21.0,14,Y
IDCJAC0006,031108,1986,05,20.6,31,Y
IDCJAC0006,031108,1986,06,20.4,25,Y
IDCJAC0006,031108,1986,07,20.1,29,Y
IDCJAC0006,031108,1986,08,23.3,01,Y
IDCJAC0006,031108,1986,09,21.0,02,Y
IDCJAC0006,031108,1986,10,25.7,23,Y
IDCJAC0006,031108,1986,11,26.2,06,Y
IDCJAC0006,031108,1986,12,27.1,04,Y
IDCJAC0006,031108,1987,01,29.2,15,Y
IDCJAC0006,031108,1987,02,24.8,13,Y
IDCJAC0006,031108,1987,03,25.3,26,Y
IDCJAC0006,031108,1987,04,22.2,25,Y
IDCJAC0006,031108,1987,05,20.0,29,Y
IDCJAC0006,031108,1987,06,20.4,06,Y
IDCJAC0006,031108,1987,07,17.9,08,Y
IDCJAC0006,031108,1987,08,20.3,07,Y
IDCJAC0006,031108,1987,09,22.2,27,Y
IDCJAC0006,031108,1987,10,24.3,31,Y
IDCJAC0006,031108,1987,11,24.2,01,Y
IDCJAC0006,031108,1987,12,26.5,04,Y
IDCJAC0006,031108,1988,01,27.0,08,Y
IDCJAC0006,031108,1988,02,26.3,17,Y
IDCJAC0006,031108,1988,03,23.8,21,Y
IDCJAC0006,031108,1988,04,24.4,24,Y
IDCJAC0006,031108,1988,05,22.6,13,Y
IDCJAC0006,031108,1988,06,19.0,25,Y
IDCJAC0006,031108,1988,07,20.6,01,Y
IDCJAC0006,031108,1988,08,20.7,10,Y
IDCJAC0006,031108,1988,09,22.6,01,Y
IDCJAC0006,031108,1988,10,27.2,31,Y
IDCJAC0006,031108,1988,11,25.1,02,Y
IDCJAC0006,031108,1988,12,24.4,13,Y
IDCJAC0006,031108,1989,01,24.4,30,Y
IDCJAC0006,031108,1989,02,24.3,02,Y
IDCJAC0006,031108,1989,03,23.1,07,Y
IDCJAC0006,031108,1989,04,23.4,23,Y
IDCJAC0006,031108,1989,05,22.0,29,Y
IDCJAC0006,031108,1989,06,19.2,12,Y
IDCJAC0006,031108,1989,07,19.6,20,Y
IDCJAC0006,031108,1989,08,19.0,09,Y
IDCJAC0006,031108,1989,09,20.5,08,Y
IDCJAC0006,031108,1989,10,24.2,29,Y
IDCJAC0006,031108,1989,11,22.8,21,Y
IDCJAC0006,031108,1989,12,22.9,16,Y
IDCJAC0006,031108,1990,01,27.8,22,Y
IDCJAC0006,031108,1990,02,29.1,24,Y
IDCJAC0006,031108,1990,03,23.8,30,Y
IDCJAC0006,031108,1990,04,23.2,18,Y
IDCJAC0006,031108,1990,05,18.1,25,Y
IDCJAC0006,031108,1990,06,19.3,20,Y
IDCJAC0006,031108,1990,07,19.3,01,Y
IDCJAC0006,031108,1990,08,22.0,17,Y
IDCJAC0006,031108,1990,09,21.9,19,Y
IDCJAC0006,031108,1990,10,22.9,01,Y
IDCJAC0006,031108,1990,11,25.4,21,Y
IDCJAC0006,031108,1990,12,24.2,23,Y
IDCJAC0006,031108,1991,01,25.4,13,Y
IDCJAC0006,031108,1991,02,25.2,01,Y
IDCJAC0006,031108,1991,03,23.9,14,Y
IDCJAC0006,031108,1991,04,21.0,20,Y
IDCJAC0006,031108,1991,05,20.8,14,Y
IDCJAC0006,031108,1991,06,21.0,01,Y
IDCJAC0006,031108,1991,07,20.7,19,Y
IDCJAC0006,031108,1991,08,20.6,10,Y
IDCJAC0006,031108,1991,09,23.3,07,Y
IDCJAC0006,031108,1991,10,25.9,30,Y
IDCJAC0006,031108,1991,11,26.3,24,Y
IDCJAC0006,031108,1991,12,28.2,09,Y
IDCJAC0006,031108,1992,01,26.9,23,Y
IDCJAC0006,031108,1992,02,26.8,28,Y
IDCJAC0006,031108,1992,03,24.9,31,Y
IDCJAC0006,031108,1992,04,23.6,12,Y
IDCJAC0006,031108,1992,05,20.7,31,Y
IDCJAC0006,031108,1992,06,20.9,22,Y
IDCJAC0006,031108,1992,07,19.3,13,Y
IDCJAC0006,031108,1992,08,23.6,23,Y
IDCJAC0006,031108,1992,09,23.7,21,Y
IDCJAC0006,031108,1992,10,24.4,05,Y
IDCJAC0006,031108,1992,11,27.2,01,Y
IDCJAC0006,031108,1992,12,23.3,19,Y
IDCJAC0006,031108,1993,01,24.7,30,Y
IDCJAC0006,031108,1993,02,26.3,05,Y
IDCJAC0006,031108,1993,03,27.0,05,Y
IDCJAC0006,031108,1993,04,23.1,18,Y
IDCJAC0006,031108,1993,05,22.4,29,Y
IDCJAC0006,031108,1993,06,19.8,25,Y
IDCJAC0006,031108,1993,07,18.9,09,Y
IDCJAC0006,031108,1993,08,20.1,27,Y
IDCJAC0006,031108,1993,09,22.9,25,Y
IDCJAC0006,031108,1993,10,24.6,01,Y
IDCJAC0006,031108,1993,11,26.9,27,Y
IDCJAC0006,031108,1993,12,26.5,01,Y
IDCJAC0006,031108,1994,01,23.6,31,Y
IDCJAC0006,031108,1994,02,25.1,18,Y
IDCJAC0006,031108,1994,03,24.3,20,Y
IDCJAC0006,031108,1994,04,23.2,24,Y
IDCJAC0006,031108,1994,05,21.8,21,Y
IDCJAC0006,031108,1994,06,19.8,29,Y
IDCJAC0006,031108,1994,07,18.9,07,Y
IDCJAC0006,031108,1994,08,19.1,12,Y
IDCJAC0006,031108,1994,09,22.2,12,Y
IDCJAC0006,031108,1994,10,25.3,26,Y
IDCJAC0006,031108,1994,11,27.0,29,Y
IDCJAC0006,031108,1994,12,26.2,06,Y
IDCJAC0006,031108,1995,01,27.2,21,Y
IDCJAC0006,031108,1995,02,22.8,26,Y
IDCJAC0006,031108,1995,03,22.8,13,Y
IDCJAC0006,031108,1995,04,24.6,28,Y
IDCJAC0006,031108,1995,05,21.4,07,Y
IDCJAC0006,031108,1995,06,17.9,19,Y
IDCJAC0006,031108,1995,07,21.3,05,Y
IDCJAC0006,031108,1995,08,17.8,06,Y
IDCJAC0006,031108,1995,09,22.7,07,Y
IDCJAC0006,031108,1995,10,24.0,10,Y
IDCJAC0006,031108,1995,11,26.7,13,Y
IDCJAC0006,031108,1995,12,24.8,25,Y
IDCJAC0006,031108,1996,01,26.2,01,Y
IDCJAC0006,031108,1996,02,23.5,07,Y
IDCJAC0006,031108,1996,03,24.6,05,Y
IDCJAC0006,031108,1996,04,21.6,20,Y
IDCJAC0006,031108,1996,05,21.7,24,Y
IDCJAC0006,031108,1996,06,22.3,01,Y
IDCJAC0006,031108,1996,07,19.0,07,Y
IDCJAC0006,031108,1996,08,20.0,12,Y
IDCJAC0006,031108,1996,09,24.2,05,Y
IDCJAC0006,031108,1996,10,21.9,09,Y
IDCJAC0006,031108,1996,11,26.3,05,Y
IDCJAC0006,031108,1996,12,25.5,22,Y
IDCJAC0006,031108,1997,01,25.2,22,Y
IDCJAC0006,031108,1997,02,24.8,27,Y
IDCJAC0006,031108,1997,03,22.9,23,Y
IDCJAC0006,031108,1997,04,22.2,12,Y
IDCJAC0006,031108,1997,05,20.7,17,Y
IDCJAC0006,031108,1997,06,18.8,18,Y
IDCJAC0006,031108,1997,07,19.2,20,Y
IDCJAC0006,031108,1997,08,19.5,03,Y
IDCJAC0006,031108,1997,09,21.4,14,Y
IDCJAC0006,031108,1997,10,24.2,22,Y
IDCJAC0006,031108,1997,11,26.3,23,Y
IDCJAC0006,031108,1997,12,24.2,31,Y
IDCJAC0006,031108,1998,01,25.5,02,Y
IDCJAC0006,031108,1998,02,25.3,25,Y
IDCJAC0006,031108,1998,03,22.0,04,Y
IDCJAC0006,031108,1998,04,25.8,08,Y
IDCJAC0006,031108,1998,05,21.5,28,Y
IDCJAC0006,031108,1998,06,21.2,24,Y
IDCJAC0006,031108,1998,07,19.4,11,Y
IDCJAC0006,031108,1998,08,19.8,01,Y
IDCJAC0006,031108,1998,09,24.6,09,Y
IDCJAC0006,031108,1998,10,25.2,01,Y
IDCJAC0006,031108,1998,11,24.9,06,Y
IDCJAC0006,031108,1998,12,26.0,11,Y
IDCJAC0006,031108,1999,01,25.1,20,Y
IDCJAC0006,031108,1999,02,23.5,11,Y
IDCJAC0006,031108,1999,03,23.0,11,Y
IDCJAC0006,031108,1999,04,21.6,23,Y
IDCJAC0006,031108,1999,05,22.2,06,Y
IDCJAC0006,031108,1999,06,17.6,23,Y
IDCJAC0006,031108,1999,07,16.7,04,Y
IDCJAC0006,031108,1999,08,18.5,06,Y
IDCJAC0006,031108,1999,09,22.2,01,Y
IDCJAC0006,031108,1999,10,26.1,09,Y
IDCJAC0006,031108,1999,11,22.6,28,Y
IDCJAC0006,031108,1999,12,25.5,02,Y
IDCJAC0006,031108,2000,01,25.3,13,Y
IDCJAC0006,031108,2000,02,23.0,08,Y
IDCJAC0006,031108,2000,03,24.2,01,Y
IDCJAC0006,031108,2000,04,21.6,27,Y
IDCJAC0006,031108,2000,05,20.2,31,Y
IDCJAC0006,031108,2000,06,19.4,10,Y
IDCJAC0006,031108,2000,07,19.2,28,Y
IDCJAC0006,031108,2000,08,21.3,01,Y
IDCJAC0006,031108,2000,09,23.4,17,Y
IDCJAC0006,031108,2000,10,24.5,20,Y
IDCJAC0006,031108,2000,11,24.6,11,Y
IDCJAC0006,031108,2000,12,22.1,12,Y
IDCJAC0006,031108,2001,01,25.3,04,Y
IDCJAC0006,031108,2001,02,22.2,18,Y
IDCJAC0006,031108,2001,03,25.4,15,Y
IDCJAC0006,031108,2001,04,23.9,01,Y
IDCJAC0006,031108,2001,05,22.5,31,Y
IDCJAC0006,031108,2001,06,21.0,22,Y
IDCJAC0006,031108,2001,07,20.5,07,Y
IDCJAC0006,031108,2001,08,22.0,30,Y
IDCJAC0006,031108,2001,09,25.1,24,Y
IDCJAC0006,031108,2001,10,22.1,22,Y
IDCJAC0006,031108,2001,11,28.5,06,Y
IDCJAC0006,031108,2001,12,28.3,14,Y
IDCJAC0006,031108,2002,01,27.3,19,Y
IDCJAC0006,031108,2002,02,26.4,18,Y
IDCJAC0006,031108,2002,03,26.0,25,Y
IDCJAC0006,031108,2002,04,24.8,16,Y
IDCJAC0006,031108,2002,05,24.0,06,Y
IDCJAC0006,031108,2002,06,20.0,30,Y
IDCJAC0006,031108,2002,07,20.5,07,Y
IDCJAC0006,031108,2002,08,21.7,18,Y
IDCJAC0006,031108,2002,09,23.0,13,Y
IDCJAC0006,031108,2002,10,25.0,02,Y
IDCJAC0006,031108,2002,11,26.5,19,Y
IDCJAC0006,031108,2002,12,27.9,18,Y
IDCJAC0006,031108,2003,01,25.0,26,Y
IDCJAC0006,031108,2003,02,26.1,27,Y
IDCJAC0006,031108,2003,03,22.6,12,Y
IDCJAC0006,031108,2003,04,21.3,20,Y
IDCJAC0006,031108,2003,05,22.3,05,Y
IDCJAC0006,031108,2003,06,21.0,11,Y
IDCJAC0006,031108,2003,07,19.2,05,Y
IDCJAC0006,031108,2003,08,19.4,01,Y
IDCJAC0006,031108,2003,09,22.4,04,Y
IDCJAC0006,031108,2003,10,24.2,14,Y
IDCJAC0006,031108,2003,11,26.3,05,Y
IDCJAC0006,031108,2003,12,25.6,01,Y
IDCJAC0006,031108,2004,01,26.4,20,Y
IDCJAC0006,031108,2004,02,23.7,05,Y
IDCJAC0006,031108,2004,03,23.4,18,Y
IDCJAC0006,031108,2004,04,21.6,17,Y
IDCJAC0006,031108,2004,05,21.2,30,Y
IDCJAC0006,031108,2004,06,18.2,23,Y
IDCJAC0006,031108,2004,07,19.3,08,Y
IDCJAC0006,031108,2004,08,22.4,12,Y
IDCJAC0006,031108,2004,09,22.0,03,Y
IDCJAC0006,031108,2004,10,23.6,13,Y
IDCJAC0006,031108,2004,11,25.4,25,Y
IDCJAC0006,031108,2004,12,26.3,31,Y
IDCJAC0006,031108,2005,01,24.0,21,Y
IDCJAC0006,031108,2005,02,27.2,15,Y
IDCJAC0006,031108,2005,03,23.2,12,Y
IDCJAC0006,031108,2005,04,22.8,23,Y
IDCJAC0006,031108,2005,05,21.5,31,Y
IDCJAC0006,031108,2005,06,18.8,23,Y
IDCJAC0006,031108,2005,07,18.5,24,Y
IDCJAC0006,031108,2005,08,20.3,14,Y
IDCJAC0006,031108,2005,09,22.6,20,Y
IDCJAC0006,031108,2005,10,26.3,06,Y
IDCJAC0006,031108,2005,11,26.6,18,Y
IDCJAC0006,031108,2005,12,27.3,24,Y
IDCJAC0006,031108,2006,01,25.5,30,Y
IDCJAC0006,031108,2006,02,26.0,23,Y
IDCJAC0006,031108,2006,03,25.0,20,Y
IDCJAC0006,031108,2006,04,22.0,21,Y
IDCJAC0006,031108,2006,05,21.0,03,Y
IDCJAC0006,031108,2006,06,21.0,19,Y
IDCJAC0006,031108,2006,07,19.4,21,Y
IDCJAC0006,031108,2006,08,20.0,09,Y
IDCJAC0006,031108,2006,09,21.1,14,Y
IDCJAC0006,031108,2006,10,23.6,12,Y
IDCJAC0006,031108,2006,11,25.5,20,Y
IDCJAC0006,031108,2006,12,24.8,19,Y
IDCJAC0006,031108,2007,01,27.7,30,Y
