Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,032037,1965,01,26.1,29,Y
IDCJAC0006,032037,1965,02,25.0,16,Y
IDCJAC0006,032037,1965,03,26.1,18,Y
IDCJAC0006,032037,1965,04,25.6,10,Y
IDCJAC0006,032037,1965,05,23.9,04,Y
IDCJAC0006,032037,1965,06,19.4,24,Y
IDCJAC0006,032037,1965,07,21.1,13,Y
IDCJAC0006,032037,1965,08,21.9,30,Y
IDCJAC0006,032037,1965,09,25.0,04,Y
IDCJAC0006,032037,1965,10,25.6,16,Y
IDCJAC0006,032037,1965,11,27.4,22,Y
IDCJAC0006,032037,1965,12,26.7,24,Y
IDCJAC0006,032037,1966,01,25.9,09,Y
IDCJAC0006,032037,1966,02,25.9,07,Y
IDCJAC0006,032037,1966,03,25.7,26,Y
IDCJAC0006,032037,1966,04,24.4,16,Y
IDCJAC0006,032037,1966,05,21.2,27,Y
IDCJAC0006,032037,1966,06,22.8,27,Y
IDCJAC0006,032037,1966,07,19.9,31,Y
IDCJAC0006,032037,1966,08,21.1,01,Y
IDCJAC0006,032037,1966,09,24.4,10,Y
IDCJAC0006,032037,1966,11,27.2,21,Y
IDCJAC0006,032037,1966,12,26.9,02,Y
IDCJAC0006,032037,1967,01,28.3,20,Y
IDCJAC0006,032037,1967,02,26.7,03,Y
IDCJAC0006,032037,1967,03,24.4,14,Y
IDCJAC0006,032037,1967,04,23.9,29,Y
IDCJAC0006,032037,1967,05,23.2,24,Y
IDCJAC0006,032037,1967,06,19.0,20,Y
IDCJAC0006,032037,1967,07,21.5,05,Y
IDCJAC0006,032037,1967,08,21.8,16,Y
IDCJAC0006,032037,1967,09,24.6,10,Y
IDCJAC0006,032037,1967,10,26.7,16,Y
IDCJAC0006,032037,1967,11,27.4,11,Y
IDCJAC0006,032037,1967,12,28.2,07,Y
IDCJAC0006,032037,1968,01,25.4,27,Y
IDCJAC0006,032037,1968,02,25.1,05,Y
IDCJAC0006,032037,1968,03,27.3,27,Y
IDCJAC0006,032037,1968,04,26.7,12,Y
IDCJAC0006,032037,1968,05,21.7,20,Y
IDCJAC0006,032037,1968,06,22.5,15,Y
IDCJAC0006,032037,1968,07,18.8,24,Y
IDCJAC0006,032037,1968,08,16.8,17,Y
IDCJAC0006,032037,1968,09,24.1,28,Y
IDCJAC0006,032037,1968,10,26.0,14,Y
IDCJAC0006,032037,1968,11,28.0,02,Y
IDCJAC0006,032037,1968,12,29.2,08,Y
IDCJAC0006,032037,1969,01,26.1,26,Y
IDCJAC0006,032037,1969,02,27.1,20,Y
IDCJAC0006,032037,1969,04,24.8,28,Y
IDCJAC0006,032037,1969,05,21.7,09,Y
IDCJAC0006,032037,1969,06,20.3,19,Y
IDCJAC0006,032037,1969,07,21.2,30,Y
IDCJAC0006,032037,1969,08,21.9,19,Y
IDCJAC0006,032037,1969,09,23.9,23,Y
IDCJAC0006,032037,1969,10,26.6,05,Y
IDCJAC0006,032037,1969,11,26.6,24,Y
IDCJAC0006,032037,1969,12,27.3,27,Y
