Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0006,070351,2008,,,,,,,,,,,,,,,,,16.6,23,15.3,22,13.0,22,19.8,14,
IDCJAC0006,070351,2009,21.9,09,16.9,12,21.7,15,11.1,27,12.7,29,4.1,12,9.0,06,10.9,25,9.2,27,11.0,07,18.5,23,18.2,26,4.1
IDCJAC0006,070351,2010,20.7,18,19.5,13,20.1,02,14.2,27,12.4,30,7.7,09,7.1,02,7.9,11,12.4,05,11.3,16,13.4,04,17.7,20,7.1
IDCJAC0006,070351,2011,20.1,03,21.3,16,19.7,26,14.1,12,10.7,11,8.2,08,7.0,24,9.5,18,12.6,29,13.9,26,16.2,25,18.2,06,7.0
IDCJAC0006,070351,2012,18.6,11,17.4,03,16.6,03,11.7,24,9.8,25,9.3,26,10.3,10,9.2,24,11.3,07,8.6,11,18.6,03,18.2,25,8.6
IDCJAC0006,070351,2013,22.8,14,19.7,28,18.3,02,14.9,19,11.2,26,10.0,24,8.0,02,10.2,20,13.6,16,15.6,14,11.9,10,17.4,05,8.0
IDCJAC0006,070351,2014,24.5,09,18.4,28,17.6,24,15.5,04,11.7,03,8.5,24,7.0,09,8.4,01,11.9,02,8.7,14,18.0,16,22.2,12,7.0
IDCJAC0006,070351,2015,18.3,27,21.8,04,20.3,27,13.8,21,11.8,13,10.7,18,7.3,05,7.5,12,12.8,24,16.7,23,15.3,14,22.4,26,7.3
IDCJAC0006,070351,2016,17.1,05,22.1,01,19.6,18,19.0,22,11.9,28,7.8,30,7.1,13,10.1,02,10.5,02,13.8,22,17.6,05,14.8,15,7.1
IDCJAC0006,070351,2017,23.7,19,21.7,20,19.9,23,13.5,26,11.0,31,9.9,15,8.8,31,9.5,04,9.6,05,17.7,31,14.6,06,15.7,04,8.8
IDCJAC0006,070351,2018,20.4,14,17.1,25,17.6,26,18.2,15,12.3,11,8.5,17,10.1,15,9.7,07,13.4,08,,,,,,,
