Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,069147,1998,02,21.0,28,Y
IDCJAC0006,069147,1998,03,20.0,15,Y
IDCJAC0006,069147,1998,04,17.0,09,Y
IDCJAC0006,069147,1998,05,15.0,03,Y
IDCJAC0006,069147,1998,06,12.0,24,Y
IDCJAC0006,069147,1998,07,12.0,20,Y
IDCJAC0006,069147,1998,08,12.0,13,Y
IDCJAC0006,069147,1998,09,16.0,05,Y
IDCJAC0006,069147,1998,10,15.0,27,Y
IDCJAC0006,069147,1998,11,16.0,18,Y
IDCJAC0006,069147,1998,12,19.0,05,Y
IDCJAC0006,069147,1999,01,20.0,21,Y
IDCJAC0006,069147,1999,02,19.0,27,Y
IDCJAC0006,069147,1999,03,17.0,16,Y
IDCJAC0006,069147,1999,04,15.0,28,Y
IDCJAC0006,069147,1999,05,16.0,16,Y
IDCJAC0006,069147,1999,06,16.0,27,Y
IDCJAC0006,069147,1999,07,14.0,24,Y
IDCJAC0006,069147,1999,08,13.0,14,Y
IDCJAC0006,069147,1999,09,16.0,10,Y
IDCJAC0006,069147,1999,10,15.0,23,Y
IDCJAC0006,069147,1999,11,15.0,08,Y
IDCJAC0006,069147,1999,12,19.0,30,Y
IDCJAC0006,069147,2000,01,20.0,25,Y
IDCJAC0006,069147,2000,02,20.0,14,Y
IDCJAC0006,069147,2000,03,19.0,23,Y
IDCJAC0006,069147,2000,04,17.0,05,Y
IDCJAC0006,069147,2000,05,13.0,30,Y
IDCJAC0006,069147,2000,06,11.0,16,Y
IDCJAC0006,069147,2000,07,14.0,27,Y
IDCJAC0006,069147,2000,08,12.0,15,Y
IDCJAC0006,069147,2000,09,15.0,26,Y
IDCJAC0006,069147,2000,10,17.0,28,Y
IDCJAC0006,069147,2000,11,17.0,06,Y
IDCJAC0006,069147,2000,12,20.0,01,Y
IDCJAC0006,069147,2001,01,21.0,28,Y
IDCJAC0006,069147,2001,02,21.0,10,Y
IDCJAC0006,069147,2001,03,21.0,28,Y
IDCJAC0006,069147,2001,04,17.0,20,Y
IDCJAC0006,069147,2001,05,16.0,28,Y
IDCJAC0006,069147,2001,06,14.0,15,Y
IDCJAC0006,069147,2001,07,12.0,06,Y
IDCJAC0006,069147,2001,08,12.0,01,Y
IDCJAC0006,069147,2001,09,17.0,26,Y
IDCJAC0006,069147,2001,10,16.0,19,Y
IDCJAC0006,069147,2001,11,16.0,07,Y
IDCJAC0006,069147,2001,12,18.0,08,Y
IDCJAC0006,069147,2002,01,20.0,16,Y
IDCJAC0006,069147,2002,02,18.0,10,Y
IDCJAC0006,069147,2002,03,21.0,31,Y
IDCJAC0006,069147,2002,04,17.0,14,Y
IDCJAC0006,069147,2002,05,15.0,23,Y
IDCJAC0006,069147,2002,06,13.0,29,Y
IDCJAC0006,069147,2002,07,14.0,25,Y
IDCJAC0006,069147,2002,08,14.0,14,Y
IDCJAC0006,069147,2002,09,16.0,20,Y
IDCJAC0006,069147,2002,10,17.0,11,Y
IDCJAC0006,069147,2002,11,18.0,01,Y
IDCJAC0006,069147,2002,12,18.0,09,Y
IDCJAC0006,069147,2003,01,20.0,27,Y
