Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,070351,2008,09,13.8,28,Y
IDCJAC0007,070351,2008,10,16.1,03,Y
IDCJAC0007,070351,2008,11,15.5,15,Y
IDCJAC0007,070351,2008,12,16.1,23,Y
IDCJAC0007,070351,2009,01,19.6,22,Y
IDCJAC0007,070351,2009,02,20.3,08,Y
IDCJAC0007,070351,2009,03,16.7,13,Y
IDCJAC0007,070351,2009,04,14.9,01,Y
IDCJAC0007,070351,2009,05,10.5,16,Y
IDCJAC0007,070351,2009,06,10.0,05,Y
IDCJAC0007,070351,2009,07,7.0,01,Y
IDCJAC0007,070351,2009,08,11.5,24,Y
IDCJAC0007,070351,2009,09,11.4,22,Y
IDCJAC0007,070351,2009,10,12.8,29,Y
IDCJAC0007,070351,2009,11,18.4,21,Y
IDCJAC0007,070351,2009,12,17.9,25,Y
IDCJAC0007,070351,2010,01,24.4,13,Y
IDCJAC0007,070351,2010,02,20.3,12,Y
IDCJAC0007,070351,2010,03,19.2,07,Y
IDCJAC0007,070351,2010,04,14.8,24,Y
IDCJAC0007,070351,2010,05,9.7,29,Y
IDCJAC0007,070351,2010,06,7.7,24,Y
IDCJAC0007,070351,2010,07,8.8,31,Y
IDCJAC0007,070351,2010,08,6.4,01,Y
IDCJAC0007,070351,2010,09,9.2,02,Y
IDCJAC0007,070351,2010,10,14.6,31,Y
IDCJAC0007,070351,2010,11,19.5,15,Y
IDCJAC0007,070351,2010,12,18.3,09,Y
IDCJAC0007,070351,2011,01,20.0,13,Y
IDCJAC0007,070351,2011,02,22.2,02,Y
IDCJAC0007,070351,2011,03,17.9,14,Y
IDCJAC0007,070351,2011,04,10.5,01,Y
IDCJAC0007,070351,2011,05,9.6,02,Y
IDCJAC0007,070351,2011,06,7.4,21,Y
IDCJAC0007,070351,2011,07,4.9,06,Y
IDCJAC0007,070351,2011,08,7.5,06,Y
IDCJAC0007,070351,2011,09,12.8,20,Y
IDCJAC0007,070351,2011,10,12.7,29,Y
IDCJAC0007,070351,2011,11,17.5,20,Y
IDCJAC0007,070351,2011,12,14.6,19,Y
IDCJAC0007,070351,2012,01,18.8,30,Y
IDCJAC0007,070351,2012,02,19.0,28,Y
IDCJAC0007,070351,2012,03,14.4,17,Y
IDCJAC0007,070351,2012,04,14.1,19,Y
IDCJAC0007,070351,2012,05,7.8,03,Y
IDCJAC0007,070351,2012,06,7.7,03,Y
IDCJAC0007,070351,2012,07,7.1,13,Y
IDCJAC0007,070351,2012,08,5.7,09,Y
IDCJAC0007,070351,2012,09,10.3,28,Y
IDCJAC0007,070351,2012,10,11.1,06,Y
IDCJAC0007,070351,2012,11,18.0,30,Y
IDCJAC0007,070351,2012,12,17.4,15,Y
IDCJAC0007,070351,2013,01,20.5,26,Y
IDCJAC0007,070351,2013,02,18.9,28,Y
IDCJAC0007,070351,2013,03,16.6,14,Y
IDCJAC0007,070351,2013,04,12.1,30,Y
IDCJAC0007,070351,2013,05,7.8,16,Y
IDCJAC0007,070351,2013,06,9.0,02,Y
IDCJAC0007,070351,2013,07,8.8,16,Y
IDCJAC0007,070351,2013,08,9.4,30,Y
IDCJAC0007,070351,2013,09,10.9,17,Y
IDCJAC0007,070351,2013,10,15.5,23,Y
IDCJAC0007,070351,2013,11,13.7,29,Y
IDCJAC0007,070351,2013,12,19.0,23,Y
IDCJAC0007,070351,2014,01,17.2,20,Y
IDCJAC0007,070351,2014,02,18.6,16,Y
IDCJAC0007,070351,2014,03,16.4,28,Y
IDCJAC0007,070351,2014,04,14.8,11,Y
IDCJAC0007,070351,2014,05,11.1,24,Y
IDCJAC0007,070351,2014,06,9.5,01,Y
IDCJAC0007,070351,2014,07,10.3,30,Y
IDCJAC0007,070351,2014,08,7.8,19,Y
IDCJAC0007,070351,2014,09,11.0,25,Y
IDCJAC0007,070351,2014,10,13.7,13,Y
IDCJAC0007,070351,2014,11,18.8,24,Y
IDCJAC0007,070351,2014,12,17.2,24,Y
IDCJAC0007,070351,2015,01,18.2,09,Y
IDCJAC0007,070351,2015,02,17.2,12,Y
IDCJAC0007,070351,2015,03,14.2,04,Y
IDCJAC0007,070351,2015,04,13.0,17,Y
IDCJAC0007,070351,2015,05,8.9,12,Y
IDCJAC0007,070351,2015,06,10.3,17,Y
IDCJAC0007,070351,2015,07,6.5,26,Y
IDCJAC0007,070351,2015,08,10.7,23,Y
IDCJAC0007,070351,2015,09,5.0,15,Y
IDCJAC0007,070351,2015,10,15.0,21,Y
IDCJAC0007,070351,2015,11,19.5,26,Y
IDCJAC0007,070351,2015,12,19.3,21,Y
IDCJAC0007,070351,2016,01,21.8,14,Y
IDCJAC0007,070351,2016,02,17.8,29,Y
IDCJAC0007,070351,2016,03,18.9,11,Y
IDCJAC0007,070351,2016,04,16.0,06,Y
IDCJAC0007,070351,2016,05,12.1,10,Y
IDCJAC0007,070351,2016,06,11.8,05,Y
IDCJAC0007,070351,2016,07,11.1,20,Y
IDCJAC0007,070351,2016,08,8.3,31,Y
IDCJAC0007,070351,2016,09,10.2,25,Y
IDCJAC0007,070351,2016,10,11.0,29,Y
IDCJAC0007,070351,2016,11,14.7,28,Y
