Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0007,070351,2008,,,,,,,,,,,,,,,,,13.8,28,16.1,03,15.5,15,16.1,23,
IDCJAC0007,070351,2009,19.6,22,20.3,08,16.7,13,14.9,01,10.5,16,10.0,05,7.0,01,11.5,24,11.4,22,12.8,29,18.4,21,17.9,25,20.3
IDCJAC0007,070351,2010,24.4,13,20.3,12,19.2,07,14.8,24,9.7,29,7.7,24,8.8,31,6.4,01,9.2,02,14.6,31,19.5,15,18.3,09,24.4
IDCJAC0007,070351,2011,20.0,13,22.2,02,17.9,14,10.5,01,9.6,02,7.4,21,4.9,06,7.5,06,12.8,20,12.7,29,17.5,20,14.6,19,22.2
IDCJAC0007,070351,2012,18.8,30,19.0,28,14.4,17,14.1,19,7.8,03,7.7,03,7.1,13,5.7,09,10.3,28,11.1,06,18.0,30,17.4,15,19.0
IDCJAC0007,070351,2013,20.5,26,18.9,28,16.6,14,12.1,30,7.8,16,9.0,02,8.8,16,9.4,30,10.9,17,15.5,23,13.7,29,19.0,23,20.5
IDCJAC0007,070351,2014,17.2,20,18.6,16,16.4,28,14.8,11,11.1,24,9.5,01,10.3,30,7.8,19,11.0,25,13.7,13,18.8,24,17.2,24,18.8
IDCJAC0007,070351,2015,18.2,09,17.2,12,14.2,04,13.0,17,8.9,12,10.3,17,6.5,26,10.7,23,5.0,15,15.0,21,19.5,26,19.3,21,19.5
IDCJAC0007,070351,2016,21.8,14,17.8,29,18.9,11,16.0,06,12.1,10,11.8,05,11.1,20,8.3,31,10.2,25,11.0,29,14.7,28,21.8,29,21.8
IDCJAC0007,070351,2017,21.7,24,20.4,06,18.2,21,11.2,22,9.8,19,5.7,08,7.6,26,8.3,11,12.7,24,14.2,20,16.4,29,22.8,20,22.8
IDCJAC0007,070351,2018,22.6,08,20.1,09,16.5,05,17.2,13,11.6,04,8.6,09,9.5,25,7.6,01,9.4,07,,,,,,,
