Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0007,031209,2000,,,,,,,,,,,,,21.0,24,22.0,13,24.0,30,25.0,25,26.0,20,26.0,03,
IDCJAC0007,031209,2001,26.0,24,26.0,11,25.0,30,26.0,27,24.0,06,24.0,12,23.0,18,22.0,25,23.0,30,26.0,22,27.0,24,27.0,18,27.0
IDCJAC0007,031209,2002,25.0,30,26.0,11,26.0,23,26.0,27,24.0,09,25.0,16,22.0,23,22.0,19,23.3,28,25.4,29,25.7,25,26.9,29,26.9
IDCJAC0007,031209,2003,27.1,12,26.7,22,26.7,29,26.0,02,25.6,03,23.5,09,22.4,25,22.8,12,23.7,29,25.0,06,25.7,27,27.5,16,27.5
IDCJAC0007,031209,2004,26.7,26,26.1,20,26.0,16,25.2,26,24.7,05,22.9,02,21.6,15,22.0,28,23.3,10,25.2,26,26.1,18,26.2,20,26.7
IDCJAC0007,031209,2005,26.7,18,27.2,19,26.6,03,26.9,01,24.0,10,22.9,01,23.1,02,22.4,26,23.2,22,25.6,28,26.2,07,27.6,20,27.6
IDCJAC0007,031209,2006,27.2,21,26.3,27,26.1,26,25.5,03,24.8,10,23.2,10,22.6,13,21.1,12,23.4,04,23.5,11,25.4,12,26.1,27,27.2
IDCJAC0007,031209,2007,26.6,06,26.1,02,25.6,13,25.5,02,24.6,23,24.6,06,20.9,26,22.7,31,23.2,24,26.0,30,26.5,11,26.8,20,26.8
IDCJAC0007,031209,2008,25.9,18,26.2,08,25.5,18,25.2,01,23.6,10,23.8,07,22.9,22,22.7,31,24.0,09,25.3,12,27.4,23,26.8,09,27.4
IDCJAC0007,031209,2009,24.8,27,25.6,20,26.4,15,26.2,08,24.6,03,23.1,01,22.3,21,22.9,29,23.9,13,24.9,19,25.9,26,26.2,04,26.4
IDCJAC0007,031209,2010,27.7,09,26.0,16,26.0,03,25.6,08,24.6,05,23.3,26,23.9,31,23.8,29,25.5,22,25.8,08,25.6,07,25.4,28,27.7
IDCJAC0007,031209,2011,25.5,17,26.3,09,26.3,04,25.5,25,23.3,05,22.4,08,22.1,16,23.1,31,23.1,28,25.8,18,26.9,30,26.2,11,26.9
IDCJAC0007,031209,2012,26.4,01,26.4,15,26.5,06,24.9,20,24.9,02,22.4,01,23.1,15,23.4,23,23.2,28,24.4,31,25.3,22,26.6,07,26.6
IDCJAC0007,031209,2013,26.7,28,27.0,05,26.0,04,25.1,26,24.3,04,22.5,11,22.9,08,22.7,17,23.4,28,25.0,17,26.5,28,26.5,18,27.0
IDCJAC0007,031209,2014,27.2,06,27.1,02,26.5,30,26.1,06,23.9,09,23.7,06,22.1,28,22.6,05,23.4,23,23.5,19,25.5,26,27.0,21,27.2
IDCJAC0007,031209,2015,26.7,22,26.7,09,25.7,22,25.7,09,24.2,29,23.5,04,22.7,24,22.8,23,23.3,10,24.7,25,26.4,23,26.7,04,26.7
IDCJAC0007,031209,2016,26.5,17,26.8,04,25.8,26,26.9,02,25.9,02,24.6,12,23.8,20,22.3,01,24.7,28,25.2,21,26.2,28,26.7,23,26.9
IDCJAC0007,031209,2017,26.6,30,25.9,01,26.7,28,26.0,09,24.2,17,23.0,29,23.6,11,23.0,20,23.6,16,25.1,06,25.8,25,26.9,18,26.9
IDCJAC0007,031209,2018,26.8,09,25.3,04,26.1,21,26.3,17,24.1,13,22.5,01,22.4,03,22.7,08,23.7,22,,,,,,,
