Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,014015,1950,03,27.7,04,Y
IDCJAC0007,014015,1950,04,26.6,10,Y
IDCJAC0007,014015,1950,05,23.9,30,Y
IDCJAC0007,014015,1950,06,24.2,04,Y
IDCJAC0007,014015,1950,07,23.1,04,Y
IDCJAC0007,014015,1950,08,23.9,21,Y
IDCJAC0007,014015,1950,09,25.3,30,Y
IDCJAC0007,014015,1950,10,26.0,30,Y
IDCJAC0007,014015,1950,11,26.8,09,Y
IDCJAC0007,014015,1950,12,26.7,20,Y
IDCJAC0007,014015,1951,01,27.6,07,Y
IDCJAC0007,014015,1951,02,25.9,27,Y
IDCJAC0007,014015,1951,03,27.0,06,Y
IDCJAC0007,014015,1951,04,26.8,13,Y
IDCJAC0007,014015,1951,05,24.2,08,Y
IDCJAC0007,014015,1951,06,24.1,03,Y
IDCJAC0007,014015,1951,07,22.4,29,Y
IDCJAC0007,014015,1951,08,23.6,22,Y
IDCJAC0007,014015,1951,09,24.8,29,Y
IDCJAC0007,014015,1951,10,26.9,23,Y
IDCJAC0007,014015,1951,11,27.8,18,Y
IDCJAC0007,014015,1951,12,29.2,09,Y
IDCJAC0007,014015,1952,01,28.9,22,Y
IDCJAC0007,014015,1952,02,27.7,28,Y
IDCJAC0007,014015,1952,03,27.4,05,Y
IDCJAC0007,014015,1952,04,27.2,13,Y
IDCJAC0007,014015,1952,05,26.1,24,Y
IDCJAC0007,014015,1952,06,22.2,09,Y
IDCJAC0007,014015,1952,07,24.6,05,Y
IDCJAC0007,014015,1952,08,23.9,24,Y
IDCJAC0007,014015,1952,09,26.4,30,Y
IDCJAC0007,014015,1952,10,27.4,25,Y
IDCJAC0007,014015,1952,11,27.9,02,Y
IDCJAC0007,014015,1952,12,28.6,19,Y
IDCJAC0007,014015,1953,01,27.8,14,Y
IDCJAC0007,014015,1953,02,27.5,06,Y
IDCJAC0007,014015,1953,03,27.3,25,Y
IDCJAC0007,014015,1953,04,25.9,16,Y
