Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,015590,1941,11,24.9,18,Y
IDCJAC0007,015590,1941,12,30.0,19,Y
IDCJAC0007,015590,1942,01,26.7,03,Y
IDCJAC0007,015590,1942,02,27.8,01,Y
IDCJAC0007,015590,1942,03,23.9,10,Y
IDCJAC0007,015590,1942,04,21.1,30,Y
IDCJAC0007,015590,1942,05,20.3,02,Y
IDCJAC0007,015590,1942,06,16.1,09,Y
IDCJAC0007,015590,1942,07,15.1,01,Y
IDCJAC0007,015590,1942,08,18.2,12,Y
IDCJAC0007,015590,1942,09,25.8,20,Y
IDCJAC0007,015590,1942,10,24.3,08,Y
IDCJAC0007,015590,1942,11,22.1,20,Y
IDCJAC0007,015590,1942,12,27.8,18,Y
IDCJAC0007,015590,1943,01,27.2,10,Y
IDCJAC0007,015590,1943,02,30.0,06,Y
IDCJAC0007,015590,1943,03,26.9,03,Y
IDCJAC0007,015590,1943,04,24.9,11,Y
IDCJAC0007,015590,1943,05,12.8,05,Y
IDCJAC0007,015590,1943,06,7.6,30,Y
IDCJAC0007,015590,1943,07,17.5,03,Y
IDCJAC0007,015590,1943,08,12.8,09,Y
IDCJAC0007,015590,1943,09,21.4,21,Y
IDCJAC0007,015590,1943,10,21.6,11,Y
IDCJAC0007,015590,1943,11,20.4,01,Y
IDCJAC0007,015590,1943,12,22.8,12,Y
IDCJAC0007,015590,1944,01,26.9,22,Y
IDCJAC0007,015590,1944,02,25.1,27,Y
IDCJAC0007,015590,1944,03,22.2,04,Y
IDCJAC0007,015590,1944,04,20.6,01,Y
IDCJAC0007,015590,1944,05,14.0,28,Y
IDCJAC0007,015590,1944,06,11.2,08,Y
IDCJAC0007,015590,1944,07,9.6,29,Y
IDCJAC0007,015590,1944,08,19.4,29,Y
IDCJAC0007,015590,1944,09,20.0,26,Y
IDCJAC0007,015590,1944,10,26.1,15,Y
IDCJAC0007,015590,1944,11,26.7,19,Y
IDCJAC0007,015590,1944,12,29.4,08,Y
IDCJAC0007,015590,1945,01,26.7,23,Y
IDCJAC0007,015590,1945,02,26.7,05,Y
IDCJAC0007,015590,1945,03,26.3,07,Y
IDCJAC0007,015590,1945,04,16.9,20,Y
IDCJAC0007,015590,1945,05,18.9,03,Y
IDCJAC0007,015590,1945,06,21.0,20,Y
IDCJAC0007,015590,1945,07,13.2,28,Y
IDCJAC0007,015590,1945,08,17.1,06,Y
IDCJAC0007,015590,1945,09,23.4,15,Y
IDCJAC0007,015590,1945,10,23.1,22,Y
IDCJAC0007,015590,1945,11,25.8,27,Y
IDCJAC0007,015590,1945,12,28.3,13,Y
IDCJAC0007,015590,1946,01,27.7,04,Y
IDCJAC0007,015590,1946,02,27.7,07,Y
IDCJAC0007,015590,1946,03,22.8,09,Y
IDCJAC0007,015590,1946,04,15.1,29,Y
IDCJAC0007,015590,1946,05,20.2,29,Y
IDCJAC0007,015590,1946,06,12.8,18,Y
IDCJAC0007,015590,1946,07,12.6,22,Y
IDCJAC0007,015590,1946,08,14.3,11,Y
IDCJAC0007,015590,1946,09,24.1,17,Y
IDCJAC0007,015590,1946,10,26.9,13,Y
IDCJAC0007,015590,1946,11,28.2,29,Y
IDCJAC0007,015590,1946,12,26.7,13,Y
IDCJAC0007,015590,1947,01,32.4,28,Y
IDCJAC0007,015590,1947,02,26.4,20,Y
IDCJAC0007,015590,1947,03,25.4,02,Y
IDCJAC0007,015590,1947,04,18.9,09,Y
IDCJAC0007,015590,1947,05,13.3,24,Y
IDCJAC0007,015590,1947,06,14.4,26,Y
IDCJAC0007,015590,1947,07,14.5,25,Y
IDCJAC0007,015590,1947,08,16.8,22,Y
IDCJAC0007,015590,1947,09,20.2,30,Y
IDCJAC0007,015590,1947,10,21.4,08,Y
IDCJAC0007,015590,1947,11,23.0,20,Y
IDCJAC0007,015590,1947,12,28.4,16,Y
IDCJAC0007,015590,1948,01,23.3,31,Y
IDCJAC0007,015590,1948,02,28.3,24,Y
IDCJAC0007,015590,1948,03,21.9,13,Y
IDCJAC0007,015590,1948,04,21.7,10,Y
IDCJAC0007,015590,1948,05,14.2,04,Y
IDCJAC0007,015590,1948,06,10.8,18,Y
IDCJAC0007,015590,1948,07,12.0,26,Y
IDCJAC0007,015590,1948,08,13.6,18,Y
IDCJAC0007,015590,1948,09,15.1,30,Y
IDCJAC0007,015590,1948,10,25.1,27,Y
IDCJAC0007,015590,1948,11,31.1,15,Y
IDCJAC0007,015590,1948,12,28.1,02,Y
IDCJAC0007,015590,1949,01,25.2,13,Y
IDCJAC0007,015590,1949,02,27.8,18,Y
IDCJAC0007,015590,1949,03,22.3,03,Y
IDCJAC0007,015590,1949,04,18.9,18,Y
IDCJAC0007,015590,1949,05,18.9,18,Y
IDCJAC0007,015590,1949,06,8.6,02,Y
IDCJAC0007,015590,1949,07,9.1,28,Y
IDCJAC0007,015590,1949,08,15.0,10,Y
IDCJAC0007,015590,1949,09,18.9,02,Y
IDCJAC0007,015590,1949,10,27.4,21,Y
IDCJAC0007,015590,1949,11,26.9,11,Y
IDCJAC0007,015590,1949,12,30.7,31,Y
IDCJAC0007,015590,1950,01,28.2,01,Y
IDCJAC0007,015590,1950,02,27.3,01,Y
IDCJAC0007,015590,1950,03,22.9,05,Y
