Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,031209,2000,07,21.0,24,Y
IDCJAC0007,031209,2000,08,22.0,13,Y
IDCJAC0007,031209,2000,09,24.0,30,Y
IDCJAC0007,031209,2000,10,25.0,25,Y
IDCJAC0007,031209,2000,11,26.0,20,Y
IDCJAC0007,031209,2000,12,26.0,03,Y
IDCJAC0007,031209,2001,01,26.0,24,Y
IDCJAC0007,031209,2001,02,26.0,11,Y
IDCJAC0007,031209,2001,03,25.0,30,Y
IDCJAC0007,031209,2001,04,26.0,27,Y
IDCJAC0007,031209,2001,05,24.0,06,Y
IDCJAC0007,031209,2001,06,24.0,12,Y
IDCJAC0007,031209,2001,07,23.0,18,Y
IDCJAC0007,031209,2001,08,22.0,25,Y
IDCJAC0007,031209,2001,09,23.0,30,Y
IDCJAC0007,031209,2001,10,26.0,22,Y
IDCJAC0007,031209,2001,11,27.0,24,Y
IDCJAC0007,031209,2001,12,27.0,18,Y
IDCJAC0007,031209,2002,01,25.0,30,Y
IDCJAC0007,031209,2002,02,26.0,11,Y
IDCJAC0007,031209,2002,03,26.0,23,Y
IDCJAC0007,031209,2002,04,26.0,27,Y
IDCJAC0007,031209,2002,05,24.0,09,Y
IDCJAC0007,031209,2002,06,25.0,16,Y
IDCJAC0007,031209,2002,07,22.0,23,Y
IDCJAC0007,031209,2002,08,22.0,19,Y
IDCJAC0007,031209,2002,09,23.3,28,Y
IDCJAC0007,031209,2002,10,25.4,29,Y
IDCJAC0007,031209,2002,11,25.7,25,Y
IDCJAC0007,031209,2002,12,26.9,29,Y
IDCJAC0007,031209,2003,01,27.1,12,Y
IDCJAC0007,031209,2003,02,26.7,22,Y
IDCJAC0007,031209,2003,03,26.7,29,Y
IDCJAC0007,031209,2003,04,26.0,02,Y
IDCJAC0007,031209,2003,05,25.6,03,Y
IDCJAC0007,031209,2003,06,23.5,09,Y
IDCJAC0007,031209,2003,07,22.4,25,Y
IDCJAC0007,031209,2003,08,22.8,12,Y
IDCJAC0007,031209,2003,09,23.7,29,Y
IDCJAC0007,031209,2003,10,25.0,06,Y
IDCJAC0007,031209,2003,11,25.7,27,Y
IDCJAC0007,031209,2003,12,27.5,16,Y
IDCJAC0007,031209,2004,01,26.7,26,Y
IDCJAC0007,031209,2004,02,26.1,20,Y
IDCJAC0007,031209,2004,03,26.0,16,Y
IDCJAC0007,031209,2004,04,25.2,26,Y
IDCJAC0007,031209,2004,05,24.7,05,Y
IDCJAC0007,031209,2004,06,22.9,02,Y
IDCJAC0007,031209,2004,07,21.6,15,Y
IDCJAC0007,031209,2004,08,22.0,28,Y
IDCJAC0007,031209,2004,09,23.3,10,Y
IDCJAC0007,031209,2004,10,25.2,26,Y
IDCJAC0007,031209,2004,11,26.1,18,Y
IDCJAC0007,031209,2004,12,26.2,20,Y
IDCJAC0007,031209,2005,01,26.7,18,Y
IDCJAC0007,031209,2005,02,27.2,19,Y
IDCJAC0007,031209,2005,03,26.6,03,Y
IDCJAC0007,031209,2005,04,26.9,01,Y
IDCJAC0007,031209,2005,05,24.0,10,Y
IDCJAC0007,031209,2005,06,22.9,01,Y
IDCJAC0007,031209,2005,07,23.1,02,Y
IDCJAC0007,031209,2005,08,22.4,26,Y
IDCJAC0007,031209,2005,09,23.2,22,Y
IDCJAC0007,031209,2005,10,25.6,28,Y
IDCJAC0007,031209,2005,11,26.2,07,Y
IDCJAC0007,031209,2005,12,27.6,20,Y
IDCJAC0007,031209,2006,01,27.2,21,Y
IDCJAC0007,031209,2006,02,26.3,27,Y
IDCJAC0007,031209,2006,03,26.1,26,Y
IDCJAC0007,031209,2006,04,25.5,03,Y
IDCJAC0007,031209,2006,05,24.8,10,Y
IDCJAC0007,031209,2006,06,23.2,10,Y
IDCJAC0007,031209,2006,07,22.6,13,Y
IDCJAC0007,031209,2006,08,21.1,12,Y
IDCJAC0007,031209,2006,09,23.4,04,Y
IDCJAC0007,031209,2006,10,23.5,11,Y
IDCJAC0007,031209,2006,11,25.4,12,Y
IDCJAC0007,031209,2006,12,26.1,27,Y
IDCJAC0007,031209,2007,01,26.6,06,Y
IDCJAC0007,031209,2007,02,26.1,02,Y
IDCJAC0007,031209,2007,03,25.6,13,Y
IDCJAC0007,031209,2007,04,25.5,02,Y
IDCJAC0007,031209,2007,05,24.6,23,Y
IDCJAC0007,031209,2007,06,24.6,06,Y
IDCJAC0007,031209,2007,07,20.9,26,Y
IDCJAC0007,031209,2007,08,22.7,31,Y
IDCJAC0007,031209,2007,09,23.2,24,Y
IDCJAC0007,031209,2007,10,26.0,30,Y
IDCJAC0007,031209,2007,11,26.5,11,Y
IDCJAC0007,031209,2007,12,26.8,20,Y
IDCJAC0007,031209,2008,01,25.9,18,Y
IDCJAC0007,031209,2008,02,26.2,08,Y
IDCJAC0007,031209,2008,03,25.5,18,Y
IDCJAC0007,031209,2008,04,25.2,01,Y
IDCJAC0007,031209,2008,05,23.6,10,Y
IDCJAC0007,031209,2008,06,23.8,07,Y
IDCJAC0007,031209,2008,07,22.9,22,Y
IDCJAC0007,031209,2008,08,22.7,31,Y
IDCJAC0007,031209,2008,09,24.0,09,Y
IDCJAC0007,031209,2008,10,25.3,12,Y
IDCJAC0007,031209,2008,11,27.4,23,Y
IDCJAC0007,031209,2008,12,26.8,09,Y
IDCJAC0007,031209,2009,01,24.8,27,Y
IDCJAC0007,031209,2009,02,25.6,20,Y
IDCJAC0007,031209,2009,03,26.4,15,Y
IDCJAC0007,031209,2009,04,26.2,08,Y
IDCJAC0007,031209,2009,05,24.6,03,Y
IDCJAC0007,031209,2009,06,23.1,01,Y
IDCJAC0007,031209,2009,07,22.3,21,Y
IDCJAC0007,031209,2009,08,22.9,29,Y
IDCJAC0007,031209,2009,09,23.9,13,Y
IDCJAC0007,031209,2009,10,24.9,19,Y
IDCJAC0007,031209,2009,11,25.9,26,Y
IDCJAC0007,031209,2009,12,26.2,04,Y
IDCJAC0007,031209,2010,01,27.7,09,Y
IDCJAC0007,031209,2010,02,26.0,16,Y
IDCJAC0007,031209,2010,03,26.0,03,Y
IDCJAC0007,031209,2010,04,25.6,08,Y
IDCJAC0007,031209,2010,05,24.6,05,Y
IDCJAC0007,031209,2010,06,23.3,26,Y
IDCJAC0007,031209,2010,07,23.9,31,Y
IDCJAC0007,031209,2010,08,23.8,29,Y
IDCJAC0007,031209,2010,09,25.5,22,Y
IDCJAC0007,031209,2010,10,25.8,08,Y
IDCJAC0007,031209,2010,11,25.6,07,Y
IDCJAC0007,031209,2010,12,25.4,28,Y
IDCJAC0007,031209,2011,01,25.5,17,Y
IDCJAC0007,031209,2011,02,26.3,09,Y
IDCJAC0007,031209,2011,03,26.3,04,Y
IDCJAC0007,031209,2011,04,25.5,25,Y
IDCJAC0007,031209,2011,05,23.3,05,Y
IDCJAC0007,031209,2011,06,22.4,08,Y
IDCJAC0007,031209,2011,07,22.1,16,Y
IDCJAC0007,031209,2011,08,23.1,31,Y
IDCJAC0007,031209,2011,09,23.1,28,Y
IDCJAC0007,031209,2011,10,25.8,18,Y
IDCJAC0007,031209,2011,11,26.9,30,Y
IDCJAC0007,031209,2011,12,26.2,11,Y
IDCJAC0007,031209,2012,01,26.4,01,Y
IDCJAC0007,031209,2012,02,26.4,15,Y
IDCJAC0007,031209,2012,03,26.5,06,Y
IDCJAC0007,031209,2012,04,24.9,20,Y
IDCJAC0007,031209,2012,05,24.9,02,Y
IDCJAC0007,031209,2012,06,22.4,01,Y
IDCJAC0007,031209,2012,07,23.1,15,Y
IDCJAC0007,031209,2012,08,23.4,23,Y
IDCJAC0007,031209,2012,09,23.2,28,Y
IDCJAC0007,031209,2012,10,24.4,31,Y
IDCJAC0007,031209,2012,11,25.3,22,Y
IDCJAC0007,031209,2012,12,26.6,07,Y
IDCJAC0007,031209,2013,01,26.7,28,Y
IDCJAC0007,031209,2013,02,27.0,05,Y
IDCJAC0007,031209,2013,03,26.0,04,Y
IDCJAC0007,031209,2013,04,25.1,26,Y
IDCJAC0007,031209,2013,05,24.3,04,Y
IDCJAC0007,031209,2013,06,22.5,11,Y
IDCJAC0007,031209,2013,07,22.9,08,Y
IDCJAC0007,031209,2013,08,22.7,17,Y
IDCJAC0007,031209,2013,09,23.4,28,Y
IDCJAC0007,031209,2013,10,25.0,17,Y
IDCJAC0007,031209,2013,11,26.5,28,Y
IDCJAC0007,031209,2013,12,26.5,18,Y
IDCJAC0007,031209,2014,01,27.2,06,Y
IDCJAC0007,031209,2014,02,27.1,02,Y
IDCJAC0007,031209,2014,03,26.5,30,Y
IDCJAC0007,031209,2014,04,26.1,06,Y
IDCJAC0007,031209,2014,05,23.9,09,Y
IDCJAC0007,031209,2014,06,23.7,06,Y
IDCJAC0007,031209,2014,07,22.1,28,Y
IDCJAC0007,031209,2014,08,22.6,05,Y
IDCJAC0007,031209,2014,09,23.4,23,Y
IDCJAC0007,031209,2014,10,23.5,19,Y
IDCJAC0007,031209,2014,11,25.5,26,Y
IDCJAC0007,031209,2014,12,27.0,21,Y
IDCJAC0007,031209,2015,01,26.7,22,Y
IDCJAC0007,031209,2015,02,26.7,09,Y
IDCJAC0007,031209,2015,03,25.7,22,Y
IDCJAC0007,031209,2015,04,25.7,09,Y
IDCJAC0007,031209,2015,05,24.2,29,Y
IDCJAC0007,031209,2015,06,23.5,04,Y
IDCJAC0007,031209,2015,07,22.7,24,Y
IDCJAC0007,031209,2015,08,22.8,23,Y
IDCJAC0007,031209,2015,09,23.3,10,Y
IDCJAC0007,031209,2015,10,24.7,25,Y
IDCJAC0007,031209,2015,11,26.4,23,Y
IDCJAC0007,031209,2015,12,26.7,04,Y
IDCJAC0007,031209,2016,01,26.5,17,Y
IDCJAC0007,031209,2016,02,26.8,04,Y
IDCJAC0007,031209,2016,03,25.8,26,Y
IDCJAC0007,031209,2016,04,26.9,02,Y
IDCJAC0007,031209,2016,05,25.9,02,Y
IDCJAC0007,031209,2016,06,24.6,12,Y
IDCJAC0007,031209,2016,07,23.8,20,Y
IDCJAC0007,031209,2016,08,22.3,01,Y
IDCJAC0007,031209,2016,09,24.7,28,Y
IDCJAC0007,031209,2016,10,25.2,21,Y
IDCJAC0007,031209,2016,11,26.2,28,Y
IDCJAC0007,031209,2016,12,26.7,23,Y
IDCJAC0007,031209,2017,01,26.6,30,Y
IDCJAC0007,031209,2017,02,25.9,01,Y
IDCJAC0007,031209,2017,03,26.7,28,Y
IDCJAC0007,031209,2017,04,26.0,09,Y
IDCJAC0007,031209,2017,05,24.2,17,Y
IDCJAC0007,031209,2017,06,23.0,29,Y
IDCJAC0007,031209,2017,07,23.6,11,Y
IDCJAC0007,031209,2017,08,23.0,20,Y
IDCJAC0007,031209,2017,09,23.6,16,Y
IDCJAC0007,031209,2017,10,25.1,06,Y
IDCJAC0007,031209,2017,11,25.8,25,Y
IDCJAC0007,031209,2017,12,26.9,18,Y
IDCJAC0007,031209,2018,01,26.8,09,Y
IDCJAC0007,031209,2018,02,25.3,04,Y
IDCJAC0007,031209,2018,03,26.1,21,Y
IDCJAC0007,031209,2018,04,26.3,17,Y
IDCJAC0007,031209,2018,05,24.1,13,Y
IDCJAC0007,031209,2018,06,22.5,01,Y
IDCJAC0007,031209,2018,07,22.4,03,Y
IDCJAC0007,031209,2018,08,22.7,08,Y
IDCJAC0007,031209,2018,09,23.7,22,Y
