Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,069134,1991,11,16.2,26,Y
IDCJAC0007,069134,1991,12,18.1,27,Y
IDCJAC0007,069134,1992,01,20.6,23,Y
IDCJAC0007,069134,1992,02,18.5,07,Y
IDCJAC0007,069134,1992,03,18.6,04,Y
IDCJAC0007,069134,1992,04,16.9,07,Y
IDCJAC0007,069134,1992,05,13.8,12,Y
IDCJAC0007,069134,1992,06,12.0,02,Y
IDCJAC0007,069134,1992,07,10.0,04,Y
IDCJAC0007,069134,1992,08,11.0,07,Y
IDCJAC0007,069134,1992,09,14.0,29,Y
IDCJAC0007,069134,1992,10,15.6,29,Y
IDCJAC0007,069134,1992,11,18.0,21,Y
IDCJAC0007,069134,1992,12,17.5,23,Y
IDCJAC0007,069134,1993,01,21.0,21,Y
IDCJAC0007,069134,1993,02,20.4,04,Y
IDCJAC0007,069134,1993,03,16.8,28,Y
IDCJAC0007,069134,1993,04,15.6,14,Y
IDCJAC0007,069134,1993,05,13.2,09,Y
IDCJAC0007,069134,1993,06,10.4,02,Y
IDCJAC0007,069134,1993,07,11.2,07,Y
IDCJAC0007,069134,1993,08,11.7,16,Y
IDCJAC0007,069134,1993,09,15.1,02,Y
IDCJAC0007,069134,1993,10,16.8,09,Y
IDCJAC0007,069134,1993,11,19.0,19,Y
IDCJAC0007,069134,1993,12,19.0,02,Y
IDCJAC0007,069134,1994,01,19.7,17,Y
IDCJAC0007,069134,1994,02,20.6,11,Y
IDCJAC0007,069134,1994,03,17.9,09,Y
IDCJAC0007,069134,1994,04,15.2,02,Y
IDCJAC0007,069134,1994,05,14.5,27,Y
IDCJAC0007,069134,1994,06,12.9,02,Y
IDCJAC0007,069134,1994,07,8.0,31,Y
IDCJAC0007,069134,1994,08,13.7,13,Y
IDCJAC0007,069134,1994,09,11.0,05,Y
IDCJAC0007,069134,1994,10,13.1,18,Y
IDCJAC0007,069134,1994,11,15.7,25,Y
IDCJAC0007,069134,1994,12,19.1,21,Y
IDCJAC0007,069134,1995,01,18.8,17,Y
IDCJAC0007,069134,1995,02,18.4,17,Y
IDCJAC0007,069134,1995,03,19.3,09,Y
IDCJAC0007,069134,1995,04,11.8,14,Y
IDCJAC0007,069134,1995,05,15.8,02,Y
IDCJAC0007,069134,1995,06,14.0,09,Y
IDCJAC0007,069134,1995,07,7.5,19,Y
IDCJAC0007,069134,1995,08,12.7,17,Y
IDCJAC0007,069134,1995,09,12.7,15,Y
IDCJAC0007,069134,1995,10,14.9,13,Y
IDCJAC0007,069134,1995,11,16.2,29,Y
IDCJAC0007,069134,1995,12,19.6,31,Y
IDCJAC0007,069134,1996,01,21.0,19,Y
IDCJAC0007,069134,1996,02,18.4,07,Y
IDCJAC0007,069134,1996,03,18.6,05,Y
IDCJAC0007,069134,1996,04,13.0,07,Y
IDCJAC0007,069134,1996,05,16.8,06,Y
IDCJAC0007,069134,1996,06,13.9,04,Y
IDCJAC0007,069134,1996,07,11.8,24,Y
IDCJAC0007,069134,1996,08,13.0,04,Y
IDCJAC0007,069134,1996,09,16.2,16,Y
IDCJAC0007,069134,1996,10,19.4,11,Y
IDCJAC0007,069134,1996,11,18.2,26,Y
IDCJAC0007,069134,1996,12,18.3,25,Y
IDCJAC0007,069134,1997,01,18.6,28,Y
IDCJAC0007,069134,1997,02,20.6,24,Y
IDCJAC0007,069134,1997,03,18.0,04,Y
IDCJAC0007,069134,1997,04,14.3,11,Y
IDCJAC0007,069134,1997,05,14.2,05,Y
IDCJAC0007,069134,1997,06,12.8,27,Y
IDCJAC0007,069134,1997,07,12.1,09,Y
IDCJAC0007,069134,1997,08,10.9,17,Y
IDCJAC0007,069134,1997,09,14.4,08,Y
IDCJAC0007,069134,1997,10,16.8,31,Y
IDCJAC0007,069134,1997,11,17.4,11,Y
IDCJAC0007,069134,1997,12,16.4,14,Y
IDCJAC0007,069134,1998,01,17.8,03,Y
IDCJAC0007,069134,1998,02,20.4,13,Y
IDCJAC0007,069134,1998,03,18.4,24,Y
IDCJAC0007,069134,1998,04,16.1,07,Y
IDCJAC0007,069134,1998,05,15.2,17,Y
IDCJAC0007,069134,1998,06,12.6,05,Y
IDCJAC0007,069134,1998,07,9.0,07,Y
IDCJAC0007,069134,1998,08,12.0,08,Y
IDCJAC0007,069134,1998,09,15.0,23,Y
IDCJAC0007,069134,1998,10,21.5,02,Y
IDCJAC0007,069134,1998,11,16.2,12,Y
IDCJAC0007,069134,1998,12,20.5,13,Y
IDCJAC0007,069134,1999,01,21.3,08,Y
IDCJAC0007,069134,1999,02,19.6,15,Y
IDCJAC0007,069134,1999,03,19.9,03,Y
IDCJAC0007,069134,1999,04,15.4,09,Y
IDCJAC0007,069134,1999,05,14.0,09,Y
IDCJAC0007,069134,1999,06,10.1,24,Y
IDCJAC0007,069134,1999,07,12.5,14,Y
IDCJAC0007,069134,1999,08,12.6,29,Y
IDCJAC0007,069134,1999,09,14.0,04,Y
IDCJAC0007,069134,1999,10,16.8,11,Y
IDCJAC0007,069134,1999,11,16.7,15,Y
IDCJAC0007,069134,1999,12,18.8,09,Y
IDCJAC0007,069134,2000,01,18.5,16,Y
IDCJAC0007,069134,2000,02,19.7,23,Y
IDCJAC0007,069134,2000,03,20.5,18,Y
IDCJAC0007,069134,2000,04,14.5,04,Y
IDCJAC0007,069134,2000,05,14.1,05,Y
IDCJAC0007,069134,2000,06,9.1,17,Y
IDCJAC0007,069134,2000,07,11.2,26,Y
IDCJAC0007,069134,2000,08,11.8,10,Y
IDCJAC0007,069134,2000,09,14.3,29,Y
IDCJAC0007,069134,2000,10,16.8,25,Y
IDCJAC0007,069134,2000,11,18.4,29,Y
IDCJAC0007,069134,2000,12,20.1,23,Y
IDCJAC0007,069134,2001,01,22.3,25,Y
IDCJAC0007,069134,2001,02,21.6,05,Y
IDCJAC0007,069134,2001,03,18.8,20,Y
IDCJAC0007,069134,2001,04,17.3,02,Y
IDCJAC0007,069134,2001,05,13.7,07,Y
IDCJAC0007,069134,2001,06,12.0,13,Y
