Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,075041,1970,08,8.1,23,Y
IDCJAC0007,075041,1970,09,9.4,09,Y
IDCJAC0007,075041,1970,10,22.2,05,Y
IDCJAC0007,075041,1970,11,20.1,30,Y
IDCJAC0007,075041,1970,12,27.5,04,Y
IDCJAC0007,075041,1971,01,20.7,27,Y
IDCJAC0007,075041,1971,02,19.8,21,Y
IDCJAC0007,075041,1971,03,19.8,18,Y
IDCJAC0007,075041,1971,04,18.7,12,Y
IDCJAC0007,075041,1971,05,9.1,21,Y
IDCJAC0007,075041,1971,06,6.6,08,Y
IDCJAC0007,075041,1971,08,7.3,21,Y
IDCJAC0007,075041,1971,09,14.6,20,Y
IDCJAC0007,075041,1971,10,19.3,26,Y
IDCJAC0007,075041,1971,11,15.7,04,Y
IDCJAC0007,075041,1971,12,20.8,22,Y
IDCJAC0007,075041,1972,01,22.9,10,Y
IDCJAC0007,075041,1972,03,17.6,19,Y
IDCJAC0007,075041,1972,04,17.1,09,Y
IDCJAC0007,075041,1972,05,12.8,10,Y
IDCJAC0007,075041,1972,06,5.1,30,Y
IDCJAC0007,075041,1972,07,6.2,15,Y
IDCJAC0007,075041,1972,08,9.6,29,Y
IDCJAC0007,075041,1972,09,12.5,29,Y
IDCJAC0007,075041,1972,10,16.6,31,Y
IDCJAC0007,075041,1972,11,19.4,27,Y
IDCJAC0007,075041,1972,12,24.4,22,Y
IDCJAC0007,075041,1973,01,27.6,25,Y
IDCJAC0007,075041,1973,02,28.8,06,Y
IDCJAC0007,075041,1973,03,18.6,12,Y
IDCJAC0007,075041,1973,04,16.7,05,Y
IDCJAC0007,075041,1973,06,11.2,21,Y
IDCJAC0007,075041,1973,07,9.3,26,Y
IDCJAC0007,075041,1973,08,12.6,07,Y
IDCJAC0007,075041,1973,09,15.7,12,Y
IDCJAC0007,075041,1974,02,20.0,18,Y
IDCJAC0007,075041,1974,03,20.0,08,Y
IDCJAC0007,075041,1974,04,17.5,08,Y
IDCJAC0007,075041,1974,05,16.0,15,Y
IDCJAC0007,075041,1974,06,9.8,04,Y
IDCJAC0007,075041,1974,07,11.7,18,Y
IDCJAC0007,075041,1974,08,8.3,23,Y
IDCJAC0007,075041,1974,09,12.7,30,Y
IDCJAC0007,075041,1974,10,15.7,16,Y
IDCJAC0007,075041,1974,11,17.2,12,Y
IDCJAC0007,075041,1974,12,12.2,02,Y
IDCJAC0007,075041,1975,01,19.0,25,Y
IDCJAC0007,075041,1975,02,22.5,06,Y
IDCJAC0007,075041,1975,03,18.8,15,Y
IDCJAC0007,075041,1975,04,16.3,05,Y
IDCJAC0007,075041,1975,05,11.5,06,Y
IDCJAC0007,075041,1975,06,7.7,25,Y
IDCJAC0007,075041,1975,07,14.1,31,Y
IDCJAC0007,075041,1975,08,10.0,11,Y
IDCJAC0007,075041,1975,09,16.8,13,Y
IDCJAC0007,075041,1975,10,17.7,30,Y
IDCJAC0007,075041,1975,11,23.2,30,Y
IDCJAC0007,075041,1975,12,27.0,12,Y
IDCJAC0007,075041,1976,01,21.2,31,Y
IDCJAC0007,075041,1976,02,24.0,16,Y
IDCJAC0007,075041,1976,03,22.0,19,Y
IDCJAC0007,075041,1976,04,17.5,04,Y
IDCJAC0007,075041,1976,05,12.0,16,Y
