num,exp,pop,sex,time,gen,round,comm,lat,lon
216,1,Darwin,Female,62.12,G2,1,,-12.42,130.85
237,1,Darwin,Female,51.28,G2,1,,-12.42,130.85
238,1,Darwin,Female,53.02,G2,1,,-12.42,130.85
245,1,Darwin,Female,47.45,G2,1,,-12.42,130.85
248,1,Darwin,Female,48.50,G2,1,,-12.42,130.85
5,1,Darwin,Male,40.88,G2,1,,-12.42,130.85
21,1,Darwin,Male,21.00,G2,1,,-12.42,130.85
22,1,Darwin,Male,22.52,G2,1,,-12.42,130.85
23,1,Darwin,Male,42.55,G2,1,,-12.42,130.85
35,1,Darwin,Male,55.72,G2,1,,-12.42,130.85
41,1,Darwin,Male,23.73,G2,1,,-12.42,130.85
58,1,Darwin,Male,36.27,G2,1,,-12.42,130.85
60,1,Darwin,Male,42.50,G2,1,,-12.42,130.85
75,1,Darwin,Male,52.88,G2,1,,-12.42,130.85
79,1,Darwin,Male,41.27,G2,1,,-12.42,130.85
82,1,Darwin,Male,36.78,G2,1,,-12.42,130.85
88,1,Darwin,Male,33.08,G2,1,,-12.42,130.85
99,1,Darwin,Male,40.92,G2,1,,-12.42,130.85
101,1,Darwin,Male,44.37,G2,1,,-12.42,130.85
115,1,Darwin,Male,59.32,G2,1,,-12.42,130.85
133,1,Darwin,Male,41.92,G2,1,,-12.42,130.85
134,1,Darwin,Male,32.43,G2,1,,-12.42,130.85
142,1,Darwin,Male,28.42,G2,1,,-12.42,130.85
144,1,Darwin,Male,28.25,G2,1,,-12.42,130.85
165,1,Darwin,Male,48.68,G2,1,,-12.42,130.85
166,1,Darwin,Male,45.75,G2,1,,-12.42,130.85
168,1,Darwin,Male,36.50,G2,1,,-12.42,130.85
193,1,Darwin,Male,45.80,G2,1,,-12.42,130.85
195,1,Darwin,Male,67.25,G2,1,,-12.42,130.85
198,1,Darwin,Male,16.93,G2,1,,-12.42,130.85
203,1,Darwin,Male,70.67,G2,1,,-12.42,130.85
225,1,Darwin,Male,18.13,G2,1,,-12.42,130.85
226,1,Darwin,Male,32.98,G2,1,,-12.42,130.85
228,1,Darwin,Male,45.83,G2,1,,-12.42,130.85
232,1,Darwin,Male,28.38,G2,1,,-12.42,130.85
1,1,S06,Female,18.02,G100-1,1,,-30.33,149.78
3,1,S06,Female,31.22,G100-1,1,,-30.33,149.78
26,1,S06,Female,43.53,G100-1,1,,-30.33,149.78
36,1,S06,Female,45.85,G100-1,1,,-30.33,149.78
46,1,S06,Female,43.68,G100-1,1,,-30.33,149.78
50,1,S06,Female,46.75,G100-1,1,,-30.33,149.78
56,1,S06,Female,26.97,G100-1,1,,-30.33,149.78
68,1,S06,Female,34.28,G100-1,1,,-30.33,149.78
72,1,S06,Female,38.37,G100-1,1,,-30.33,149.78
81,1,S06,Female,40.85,G100-1,1,,-30.33,149.78
84,1,S06,Female,28.90,G100-1,1,,-30.33,149.78
97,1,S06,Female,49.80,G100-1,1,,-30.33,149.78
104,1,S06,Female,41.50,G100-1,1,,-30.33,149.78
116,1,S06,Female,31.80,G100-1,1,,-30.33,149.78
131,1,S06,Female,75.13,G100-1,1,,-30.33,149.78
139,1,S06,Female,56.23,G100-1,1,,-30.33,149.78
162,1,S06,Female,33.07,G100-1,1,,-30.33,149.78
164,1,S06,Female,40.07,G100-1,1,,-30.33,149.78
169,1,S06,Female,41.62,G100-1,1,,-30.33,149.78
179,1,S06,Female,43.48,G100-1,1,,-30.33,149.78
194,1,S06,Female,75.43,G100-1,1,,-30.33,149.78
200,1,S06,Female,36.87,G100-1,1,,-30.33,149.78
210,1,S06,Female,72.15,G100-1,1,,-30.33,149.78
220,1,S06,Female,49.37,G100-1,1,,-30.33,149.78
234,1,S06,Female,43.37,G100-1,1,,-30.33,149.78
249,1,S06,Female,46.62,G100-1,1,,-30.33,149.78
250,1,S06,Female,35.90,G100-1,1,,-30.33,149.78
253,1,S06,Female,19.98,G100-1,1,,-30.33,149.78
14,1,S06,Male,19.70,G100-1,1,,-30.33,149.78
16,1,S06,Male,27.03,G100-1,1,,-30.33,149.78
20,1,S06,Male,44.78,G100-1,1,,-30.33,149.78
32,1,S06,Male,19.87,G100-1,1,,-30.33,149.78
52,1,S06,Male,26.20,G100-1,1,,-30.33,149.78
59,1,S06,Male,29.00,G100-1,1,,-30.33,149.78
62,1,S06,Male,41.10,G100-1,1,,-30.33,149.78
63,1,S06,Male,22.95,G100-1,1,,-30.33,149.78
77,1,S06,Male,43.47,G100-1,1,,-30.33,149.78
90,1,S06,Male,38.97,G100-1,1,,-30.33,149.78
96,1,S06,Male,33.48,G100-1,1,,-30.33,149.78
114,1,S06,Male,41.98,G100-1,1,,-30.33,149.78
120,1,S06,Male,32.52,G100-1,1,,-30.33,149.78
123,1,S06,Male,33.25,G100-1,1,,-30.33,149.78
125,1,S06,Male,33.45,G100-1,1,,-30.33,149.78
151,1,S06,Male,17.38,G100-1,1,,-30.33,149.78
154,1,S06,Male,36.28,G100-1,1,,-30.33,149.78
156,1,S06,Male,25.70,G100-1,1,,-30.33,149.78
174,1,S06,Male,43.98,G100-1,1,,-30.33,149.78
180,1,S06,Male,23.82,G100-1,1,,-30.33,149.78
186,1,S06,Male,30.90,G100-1,1,,-30.33,149.78
189,1,S06,Male,31.27,G100-1,1,,-30.33,149.78
205,1,S06,Male,46.83,G100-1,1,,-30.33,149.78
219,1,S06,Male,43.10,G100-1,1,,-30.33,149.78
223,1,S06,Male,48.05,G100-1,1,,-30.33,149.78
224,1,S06,Male,33.02,G100-1,1,,-30.33,149.78
242,1,S06,Male,54.62,G100-1,1,,-30.33,149.78
243,1,S06,Male,38.58,G100-1,1,,-30.33,149.78
254,1,S06,Male,24.98,G100-1,1,,-30.33,149.78
256,1,S06,Male,38.05,G100-1,1,,-30.33,149.78
6,1,Sydney,Female,38.53,G2,1,,-33.90,151.14
11,1,Sydney,Female,75.58,G2,1,,-33.90,151.14
24,1,Sydney,Female,75.57,G2,1,,-33.90,151.14
27,1,Sydney,Female,29.60,G2,1,,-33.90,151.14
43,1,Sydney,Female,26.68,G2,1,,-33.90,151.14
45,1,Sydney,Female,31.32,G2,1,,-33.90,151.14
61,1,Sydney,Female,44.07,G2,1,,-33.90,151.14
92,1,Sydney,Female,32.45,G2,1,,-33.90,151.14
93,1,Sydney,Female,47.50,G2,1,,-33.90,151.14
94,1,Sydney,Female,35.42,G2,1,,-33.90,151.14
95,1,Sydney,Female,37.37,G2,1,,-33.90,151.14
111,1,Sydney,Female,48.87,G2,1,,-33.90,151.14
119,1,Sydney,Female,27.57,G2,1,,-33.90,151.14
122,1,Sydney,Female,25.93,G2,1,,-33.90,151.14
127,1,Sydney,Female,42.63,G2,1,,-33.90,151.14
146,1,Sydney,Female,56.88,G2,1,,-33.90,151.14
147,1,Sydney,Female,27.83,G2,1,,-33.90,151.14
152,1,Sydney,Female,36.08,G2,1,,-33.90,151.14
153,1,Sydney,Female,33.33,G2,1,,-33.90,151.14
173,1,Sydney,Female,34.15,G2,1,,-33.90,151.14
175,1,Sydney,Female,43.70,G2,1,,-33.90,151.14
181,1,Sydney,Female,60.33,G2,1,,-33.90,151.14
196,1,Sydney,Female,27.27,G2,1,,-33.90,151.14
197,1,Sydney,Female,67.85,G2,1,,-33.90,151.14
202,1,Sydney,Female,44.35,G2,1,,-33.90,151.14
208,1,Sydney,Female,41.68,G2,1,,-33.90,151.14
227,1,Sydney,Female,25.38,G2,1,,-33.90,151.14
229,1,Sydney,Female,45.85,G2,1,,-33.90,151.14
231,1,Sydney,Female,53.97,G2,1,,-33.90,151.14
235,1,Sydney,Female,37.28,G2,1,,-33.90,151.14
7,1,Sydney,Male,28.80,G2,1,,-33.90,151.14
18,1,Sydney,Male,38.87,G2,1,,-33.90,151.14
30,1,Sydney,Male,39.33,G2,1,,-33.90,151.14
31,1,Sydney,Male,35.47,G2,1,,-33.90,151.14
48,1,Sydney,Male,22.37,G2,1,,-33.90,151.14
51,1,Sydney,Male,31.03,G2,1,,-33.90,151.14
54,1,Sydney,Male,38.77,G2,1,,-33.90,151.14
57,1,Sydney,Male,21.27,G2,1,,-33.90,151.14
74,1,Sydney,Male,48.98,G2,1,,-33.90,151.14
87,1,Sydney,Male,41.87,G2,1,,-33.90,151.14
89,1,Sydney,Male,35.08,G2,1,,-33.90,151.14
102,1,Sydney,Male,47.18,G2,1,,-33.90,151.14
118,1,Sydney,Male,32.15,G2,1,,-33.90,151.14
121,1,Sydney,Male,18.82,G2,1,,-33.90,151.14
124,1,Sydney,Male,32.42,G2,1,,-33.90,151.14
143,1,Sydney,Male,21.50,G2,1,,-33.90,151.14
145,1,Sydney,Male,37.42,G2,1,,-33.90,151.14
150,1,Sydney,Male,8.88,G2,1,,-33.90,151.14
170,1,Sydney,Male,46.07,G2,1,,-33.90,151.14
182,1,Sydney,Male,28.80,G2,1,,-33.90,151.14
183,1,Sydney,Male,24.28,G2,1,,-33.90,151.14
191,1,Sydney,Male,32.78,G2,1,,-33.90,151.14
206,1,Sydney,Male,70.25,G2,1,,-33.90,151.14
207,1,Sydney,Male,33.68,G2,1,,-33.90,151.14
211,1,Sydney,Male,39.18,G2,1,,-33.90,151.14
215,1,Sydney,Male,75.52,G2,1,,-33.90,151.14
230,1,Sydney,Male,40.28,G2,1,,-33.90,151.14
241,1,Sydney,Male,49.72,G2,1,,-33.90,151.14
251,1,Sydney,Male,36.20,G2,1,,-33.90,151.14
252,1,Sydney,Male,37.77,G2,1,,-33.90,151.14
10,2,Batemans Bay,Female,39.48,G2,1,,-35.70,150.19
26,2,Batemans Bay,Female,38.78,G2,1,,-35.70,150.19
61,2,Batemans Bay,Female,44.55,G2,1,,-35.70,150.19
68,2,Batemans Bay,Female,41.07,G2,1,,-35.70,150.19
73,2,Batemans Bay,Female,57.28,G2,1,,-35.70,150.19
76,2,Batemans Bay,Female,24.60,G2,1,,-35.70,150.19
107,2,Batemans Bay,Female,45.98,G2,1,,-35.70,150.19
115,2,Batemans Bay,Female,11.95,G2,1,,-35.70,150.19
127,2,Batemans Bay,Female,52.35,G2,1,,-35.70,150.19
144,2,Batemans Bay,Female,56.25,G2,1,,-35.70,150.19
164,2,Batemans Bay,Female,29.83,G2,1,,-35.70,150.19
222,2,Batemans Bay,Female,27.13,G2,1,,-35.70,150.19
228,2,Batemans Bay,Female,43.75,G2,1,,-35.70,150.19
271,2,Batemans Bay,Female,41.22,G2,1,,-35.70,150.19
295,2,Batemans Bay,Female,45.08,G2,1,,-35.70,150.19
301,2,Batemans Bay,Female,53.83,G2,2,,-35.70,150.19
328,2,Batemans Bay,Female,19.18,G2,2,,-35.70,150.19
330,2,Batemans Bay,Female,26.28,G2,2,,-35.70,150.19
360,2,Batemans Bay,Female,57.25,G2,2,,-35.70,150.19
363,2,Batemans Bay,Female,47.97,G2,2,,-35.70,150.19
369,2,Batemans Bay,Female,44.35,G2,2,,-35.70,150.19
393,2,Batemans Bay,Female,35.65,G2,2,,-35.70,150.19
412,2,Batemans Bay,Female,50.90,G2,2,,-35.70,150.19
490,2,Batemans Bay,Female,26.50,G2,2,,-35.70,150.19
509,2,Batemans Bay,Female,44.98,G2,2,,-35.70,150.19
559,2,Batemans Bay,Female,25.07,G2,2,,-35.70,150.19
566,2,Batemans Bay,Female,44.00,G2,2,,-35.70,150.19
569,2,Batemans Bay,Female,49.17,G2,2,,-35.70,150.19
571,2,Batemans Bay,Female,41.52,G2,2,,-35.70,150.19
582,2,Batemans Bay,Female,45.60,G2,2,,-35.70,150.19
7,2,Batemans Bay,Male,38.12,G2,1,,-35.70,150.19
16,2,Batemans Bay,Male,31.68,G2,1,,-35.70,150.19
32,2,Batemans Bay,Male,23.93,G2,1,,-35.70,150.19
51,2,Batemans Bay,Male,49.18,G2,1,,-35.70,150.19
52,2,Batemans Bay,Male,34.68,G2,1,,-35.70,150.19
63,2,Batemans Bay,Male,30.55,G2,1,,-35.70,150.19
90,2,Batemans Bay,Male,42.62,G2,1,,-35.70,150.19
94,2,Batemans Bay,Male,34.27,G2,1,,-35.70,150.19
131,2,Batemans Bay,Male,43.82,G2,1,,-35.70,150.19
163,2,Batemans Bay,Male,43.93,G2,1,,-35.70,150.19
216,2,Batemans Bay,Male,34.00,G2,1,,-35.70,150.19
254,2,Batemans Bay,Male,40.13,G2,1,,-35.70,150.19
259,2,Batemans Bay,Male,33.58,G2,1,,-35.70,150.19
269,2,Batemans Bay,Male,41.38,G2,1,,-35.70,150.19
298,2,Batemans Bay,Male,23.17,G2,1,,-35.70,150.19
320,2,Batemans Bay,Male,35.18,G2,2,,-35.70,150.19
321,2,Batemans Bay,Male,59.93,G2,2,,-35.70,150.19
338,2,Batemans Bay,Male,27.92,G2,2,,-35.70,150.19
343,2,Batemans Bay,Male,17.07,G2,2,,-35.70,150.19
344,2,Batemans Bay,Male,42.92,G2,2,,-35.70,150.19
371,2,Batemans Bay,Male,24.80,G2,2,,-35.70,150.19
388,2,Batemans Bay,Male,35.12,G2,2,,-35.70,150.19
429,2,Batemans Bay,Male,45.07,G2,2,,-35.70,150.19
447,2,Batemans Bay,Male,45.68,G2,2,,-35.70,150.19
474,2,Batemans Bay,Male,16.52,G2,2,,-35.70,150.19
479,2,Batemans Bay,Male,33.20,G2,2,,-35.70,150.19
507,2,Batemans Bay,Male,42.27,G2,2,,-35.70,150.19
541,2,Batemans Bay,Male,31.52,G2,2,,-35.70,150.19
562,2,Batemans Bay,Male,40.95,G2,2,,-35.70,150.19
596,2,Batemans Bay,Male,40.33,G2,2,,-35.70,150.19
41,2,Bega Valley,Female,34.32,G2,1,,-36.78,149.78
67,2,Bega Valley,Female,41.17,G2,1,,-36.78,149.78
74,2,Bega Valley,Female,22.72,G2,1,,-36.78,149.78
84,2,Bega Valley,Female,22.42,G2,1,,-36.78,149.78
88,2,Bega Valley,Female,31.62,G2,1,,-36.78,149.78
119,2,Bega Valley,Female,40.42,G2,1,,-36.78,149.78
142,2,Bega Valley,Female,55.57,G2,1,,-36.78,149.78
156,2,Bega Valley,Female,73.25,G2,1,,-36.78,149.78
191,2,Bega Valley,Female,44.70,G2,1,,-36.78,149.78
214,2,Bega Valley,Female,59.25,G2,1,,-36.78,149.78
252,2,Bega Valley,Female,47.17,G2,1,,-36.78,149.78
261,2,Bega Valley,Female,34.22,G2,1,,-36.78,149.78
286,2,Bega Valley,Female,22.82,G2,1,,-36.78,149.78
287,2,Bega Valley,Female,64.35,G2,1,,-36.78,149.78
294,2,Bega Valley,Female,49.30,G2,1,,-36.78,149.78
302,2,Bega Valley,Female,21.87,G2,2,,-36.78,149.78
307,2,Bega Valley,Female,58.92,G2,2,,-36.78,149.78
356,2,Bega Valley,Female,56.88,G2,2,,-36.78,149.78
367,2,Bega Valley,Female,77.05,G2,2,,-36.78,149.78
383,2,Bega Valley,Female,43.18,G2,2,,-36.78,149.78
400,2,Bega Valley,Female,48.80,G2,2,,-36.78,149.78
405,2,Bega Valley,Female,44.40,G2,2,,-36.78,149.78
434,2,Bega Valley,Female,41.77,G2,2,,-36.78,149.78
448,2,Bega Valley,Female,48.32,G2,2,,-36.78,149.78
449,2,Bega Valley,Female,51.55,G2,2,,-36.78,149.78
464,2,Bega Valley,Female,36.92,G2,2,,-36.78,149.78
473,2,Bega Valley,Female,29.55,G2,2,,-36.78,149.78
495,2,Bega Valley,Female,13.35,G2,2,,-36.78,149.78
598,2,Bega Valley,Female,36.57,G2,2,,-36.78,149.78
20,2,Bega Valley,Male,27.38,G2,1,,-36.78,149.78
36,2,Bega Valley,Male,40.10,G2,1,,-36.78,149.78
56,2,Bega Valley,Male,24.38,G2,1,,-36.78,149.78
60,2,Bega Valley,Male,30.17,G2,1,,-36.78,149.78
92,2,Bega Valley,Male,34.13,G2,1,,-36.78,149.78
98,2,Bega Valley,Male,34.45,G2,1,,-36.78,149.78
130,2,Bega Valley,Male,60.53,G2,1,,-36.78,149.78
169,2,Bega Valley,Male,57.20,G2,1,,-36.78,149.78
187,2,Bega Valley,Male,26.00,G2,1,,-36.78,149.78
206,2,Bega Valley,Male,54.65,G2,1,,-36.78,149.78
208,2,Bega Valley,Male,26.40,G2,1,,-36.78,149.78
221,2,Bega Valley,Male,27.10,G2,1,,-36.78,149.78
242,2,Bega Valley,Male,42.87,G2,1,,-36.78,149.78
248,2,Bega Valley,Male,19.03,G2,1,,-36.78,149.78
266,2,Bega Valley,Male,54.62,G2,1,,-36.78,149.78
364,2,Bega Valley,Male,29.68,G2,2,,-36.78,149.78
394,2,Bega Valley,Male,33.12,G2,2,,-36.78,149.78
397,2,Bega Valley,Male,20.90,G2,2,,-36.78,149.78
402,2,Bega Valley,Male,21.62,G2,2,,-36.78,149.78
409,2,Bega Valley,Male,49.22,G2,2,,-36.78,149.78
413,2,Bega Valley,Male,23.20,G2,2,,-36.78,149.78
433,2,Bega Valley,Male,41.62,G2,2,,-36.78,149.78
476,2,Bega Valley,Male,41.58,G2,2,,-36.78,149.78
528,2,Bega Valley,Male,17.18,G2,2,,-36.78,149.78
534,2,Bega Valley,Male,36.52,G2,2,,-36.78,149.78
538,2,Bega Valley,Male,15.28,G2,2,,-36.78,149.78
545,2,Bega Valley,Male,27.87,G2,2,,-36.78,149.78
567,2,Bega Valley,Male,35.32,G2,2,,-36.78,149.78
568,2,Bega Valley,Male,18.93,G2,2,,-36.78,149.78
589,2,Bega Valley,Male,40.60,G2,2,,-36.78,149.78
9,2,Canberra,Female,43.08,G2,1,,-35.27,149.11
21,2,Canberra,Female,43.78,G2,1,,-35.27,149.11
23,2,Canberra,Female,61.65,G2,1,,-35.27,149.11
66,2,Canberra,Female,32.92,G2,1,,-35.27,149.11
96,2,Canberra,Female,22.10,G2,1,,-35.27,149.11
100,2,Canberra,Female,37.32,G2,1,,-35.27,149.11
114,2,Canberra,Female,46.30,G2,1,,-35.27,149.11
154,2,Canberra,Female,67.88,G2,1,,-35.27,149.11
172,2,Canberra,Female,31.57,G2,1,,-35.27,149.11
178,2,Canberra,Female,35.78,G2,1,,-35.27,149.11
190,2,Canberra,Female,41.10,G2,1,,-35.27,149.11
192,2,Canberra,Female,54.30,G2,1,,-35.27,149.11
