Line,gens,rep,time,pop,collection,exp,gen
SYD2018,G0,2,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,29,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,59,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,53,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,38,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,41,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,62,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,41,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,26,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,29,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,38,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,35,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,2,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,38,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,41,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,41,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,44,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,29,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,50,Sydney,2018/2019,11,G0-2018/2019
SYD2018,G0,3,47,Sydney,2018/2019,11,G0-2018/2019
CT2018,G4,1,35,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,44,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,23,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,44,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,44,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,26,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,41,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,47,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,41,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,29,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,44,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,29,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,26,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,29,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,26,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,29,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,41,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,50,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,23,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,1,26,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,2,44,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,2,47,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,2,47,Cape Tribulation,2018/2019,12,G4-2018/2019
CT2018,G4,2,53,Cape Tribulation,2018/2019,12,G4-2018/2019
