Line,gens,rep,time,pop,collection,exp,gen
CT,G2,1,40,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,42,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,44,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,44,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,44,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,46,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,46,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,48,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,50,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,52,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,58,Cape Tribulation,2017/2018,3,G2-2017/2018
CT,G2,1,86,Cape Tribulation,2017/2018,3,G2-2017/2018
S06,G100,1,11,S06,2006,3,G100-2006
S06,G100,1,18,S06,2006,3,G100-2006
S06,G100,1,18,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,20,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,22,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,24,S06,2006,3,G100-2006
S06,G100,1,26,S06,2006,3,G100-2006
