Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,069147,1998,null,27.7,24.8,22.3,18.5,16.2,15.5,16.4,20.7,21.5,20.2,23.6,null
IDCJAC0002,069147,1999,24.7,23.2,21.7,20.1,19.7,17.4,16.9,17.4,19.5,19.8,21.1,22.8,20.4
IDCJAC0002,069147,2000,23.7,25.9,23.2,21.7,19.2,16.4,16.6,16.8,19.9,20.7,21.4,24.5,20.8
IDCJAC0002,069147,2001,25.3,24.8,23.6,21.2,18.5,17.2,15.9,17.4,19.9,20.3,20.5,21.8,20.5
IDCJAC0002,069147,2002,24.5,22.7,23.3,22.0,18.8,17.6,17.1,17.2,20.4,21.0,22.1,23.6,20.9
IDCJAC0002,069147,2003,24.9,24.8,22.4,21.1,19.1,17.1,16.4,16.8,19.2,18.4,20.3,23.1,20.3
IDCJAC0002,069147,2004,23.6,24.4,23.1,21.3,18.6,18.0,16.1,17.3,18.8,20.3,22.1,22.7,20.5
IDCJAC0002,069147,2005,23.7,23.5,22.0,22.8,18.8,17.4,17.1,17.3,17.7,21.3,21.2,23.5,20.5
IDCJAC0002,069147,2006,25.3,24.8,24.7,20.7,18.2,16.1,16.1,17.3,19.6,21.0,21.7,22.5,20.7
IDCJAC0002,069147,2007,24.5,25.5,24.4,21.4,20.7,15.6,15.7,18.7,18.7,21.8,21.3,23.5,21.0
IDCJAC0002,069147,2008,24.9,23.8,23.3,20.7,18.7,17.7,16.1,15.8,18.8,20.3,20.3,21.5,20.2
IDCJAC0002,069147,2009,24.6,23.4,23.7,20.8,18.5,16.0,17.3,19.7,20.5,18.7,22.6,24.3,20.8
IDCJAC0002,069147,2010,25.6,25.1,24.6,22.7,18.8,16.7,16.5,17.1,18.2,19.8,21.7,22.8,20.8
IDCJAC0002,069147,2011,24.4,25.3,23.4,21.4,18.5,17.1,16.4,17.9,19.1,20.2,23.2,22.1,20.8
IDCJAC0002,069147,2012,24.5,23.8,22.7,21.4,19.0,16.4,16.4,17.0,19.9,20.6,21.9,23.2,20.6
IDCJAC0002,069147,2013,26.4,25.0,24.2,22.0,19.2,16.3,17.3,18.7,20.8,22.4,21.6,23.6,21.5
IDCJAC0002,069147,2014,24.9,24.7,24.5,22.4,20.8,17.5,17.8,16.9,19.1,20.7,22.4,23.5,21.3
IDCJAC0002,069147,2015,24.6,25.1,23.6,20.5,19.9,16.2,15.7,16.5,18.9,23.2,22.9,24.3,20.9
IDCJAC0002,069147,2016,24.9,25.6,24.4,23.1,20.7,17.1,17.5,17.4,18.7,21.2,22.7,25.0,21.5
IDCJAC0002,069147,2017,26.6,24.9,24.5,22.0,19.4,17.0,17.3,17.4,20.7,21.0,22.2,23.7,21.4
IDCJAC0002,069147,2018,26.2,25.6,24.7,23.6,20.0,16.9,17.4,17.4,18.2,null,null,null,null
