Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,070351,2008,null,null,null,null,null,null,null,null,21.0,23.5,23.8,25.4,null
IDCJAC0002,070351,2009,31.3,29.3,27.1,19.9,16.7,12.9,12.6,14.7,17.7,19.1,29.4,29.2,21.7
IDCJAC0002,070351,2010,31.8,27.5,24.6,21.1,16.6,13.0,12.8,12.3,16.3,19.6,22.5,25.0,20.3
IDCJAC0002,070351,2011,28.8,26.7,23.3,19.6,15.8,13.6,12.3,16.0,18.2,20.6,25.4,23.6,20.3
IDCJAC0002,070351,2012,27.5,25.0,22.1,20.2,15.6,12.9,13.0,13.6,18.0,20.8,25.4,27.7,20.1
IDCJAC0002,070351,2013,32.3,27.4,25.7,22.1,17.4,13.9,13.4,14.8,19.9,21.9,23.8,28.5,21.8
IDCJAC0002,070351,2014,31.6,29.4,24.2,19.7,17.6,13.2,12.2,14.3,17.9,22.5,27.9,27.7,21.5
IDCJAC0002,070351,2015,27.4,28.1,26.3,19.4,16.3,13.8,11.5,13.7,17.4,24.8,25.3,29.3,21.1
IDCJAC0002,070351,2016,28.5,29.3,27.7,23.9,17.4,13.0,12.7,14.3,15.8,18.5,24.8,28.7,21.2
IDCJAC0002,070351,2017,32.8,30.1,25.9,19.9,16.4,13.6,12.9,13.9,18.1,23.2,24.3,27.8,21.6
IDCJAC0002,070351,2018,31.6,29.0,26.3,25.0,17.5,13.2,13.3,13.9,18.0,null,null,null,null
