Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,032037,1944,01,32.3,Y
IDCJAC0002,032037,1944,02,29.9,Y
IDCJAC0002,032037,1944,03,28.6,Y
IDCJAC0002,032037,1944,04,27.2,Y
IDCJAC0002,032037,1944,05,26.4,Y
IDCJAC0002,032037,1944,06,22.5,Y
IDCJAC0002,032037,1944,07,23.2,Y
IDCJAC0002,032037,1944,08,24.2,Y
IDCJAC0002,032037,1944,09,25.5,Y
IDCJAC0002,032037,1944,10,27.7,Y
IDCJAC0002,032037,1944,11,29.3,Y
IDCJAC0002,032037,1944,12,30.8,Y
IDCJAC0002,032037,1945,01,30.6,Y
IDCJAC0002,032037,1945,02,30.4,Y
IDCJAC0002,032037,1945,03,28.2,Y
IDCJAC0002,032037,1945,04,26.9,Y
IDCJAC0002,032037,1945,05,25.5,Y
IDCJAC0002,032037,1945,06,25.0,Y
IDCJAC0002,032037,1945,07,23.2,Y
IDCJAC0002,032037,1945,08,25.8,Y
IDCJAC0002,032037,1945,09,26.7,Y
IDCJAC0002,032037,1945,10,27.9,Y
IDCJAC0002,032037,1945,11,29.8,Y
IDCJAC0002,032037,1945,12,30.9,Y
IDCJAC0002,032037,1946,01,30.9,Y
IDCJAC0002,032037,1946,02,30.4,Y
IDCJAC0002,032037,1946,03,31.5,Y
IDCJAC0002,032037,1946,04,29.2,Y
IDCJAC0002,032037,1946,05,26.6,Y
IDCJAC0002,032037,1946,06,23.8,Y
IDCJAC0002,032037,1946,07,24.2,Y
IDCJAC0002,032037,1946,08,26.0,Y
IDCJAC0002,032037,1946,09,28.3,Y
IDCJAC0002,032037,1946,10,29.2,Y
IDCJAC0002,032037,1946,11,31.1,Y
IDCJAC0002,032037,1946,12,31.1,Y
IDCJAC0002,032037,1947,01,33.5,Y
IDCJAC0002,032037,1947,02,30.4,Y
IDCJAC0002,032037,1947,03,29.6,Y
IDCJAC0002,032037,1947,04,28.3,Y
IDCJAC0002,032037,1947,05,25.2,Y
